Vohenstrauss (49.62383, 12.33808) 沃恩施特劳斯
Vohburg an der Donau (48.76977, 11.61845) 沃堡安德多瑙
Vogtareuth (47.94694, 12.18126) 沃格塔罗伊特
Vogt (47.76667, 9.76667) 沃格特
Voegelsen (53.27447, 10.35372) 弗格尔森
Vogelsberg (51.13333, 11.25) 沃格尔斯贝格
Vogelsang (52.18235, 14.66366) 沃格尔桑
Voerde (51.59703, 6.6863) 福尔德
Vockerode (51.84698, 12.35208) 福克罗德
Vlotho (52.1653, 8.85996) 弗洛托
Vitzenburg (51.30172, 11.56811) 维岑堡
Visselhoevede (52.98546, 9.58265) 维塞尔霍韦德
Visbek (52.83333, 8.31667) 维斯贝克
Virneburg (50.35, 7.08333) 维尔内堡
Vippachedelhausen (51.08136, 11.20935) 维帕赫德尔豪森
Viol (54.57051, 9.17959) 维奥尔
Vinningen (49.15635, 7.55191) 维宁根
Vilshofen (48.62695, 13.19222) 维尔斯霍芬
Vilsheim (48.44882, 12.10686) 维尔斯海姆
Vilseck (49.6148, 11.80261) 维尔塞克
Vilsbiburg (48.45296, 12.35604) 维尔斯比堡
Villmar (50.39287, 8.1931) 维尔马尔
Villingendorf (48.2, 8.58333) 维林根多夫
Villenbach (48.50887, 10.61468) 维伦巴赫
Vilgertshofen (47.95, 10.91667) 维尔格特斯霍芬
Veitsrodt (49.75576, 7.30131) 费茨罗特
Viersen (51.25435, 6.39441) 菲尔森
Viernheim (49.54033, 8.5782) 菲尔恩海姆
Viernau (50.66225, 10.55778) 菲尔瑙
Vierkirchen (48.36667, 11.46667) 费尔基兴
Vierhofen (53.26667, 10.21667) 费尔霍芬
Viereck (53.54898, 14.04001) 费雷克
Vierden (53.33333, 9.5) 费尔登
Vienenburg (51.95242, 10.56374) 维嫩堡
Vielist (53.55401, 12.63877) 费利斯特
Vielbach (50.51056, 7.77194) 费尔巴赫
Vielank (53.23545, 11.13964) 费兰克
Viechtach (49.08001, 12.88566) 费希塔赫
Vettweiss (50.73333, 6.6) 费特魏斯
Vettelschoss (50.61667, 7.35) 费特尔肖斯
Vetschau (51.78638, 14.07941) 费绍
Vestenbergsgreuth (49.68764, 10.65157) 费斯滕贝格斯格罗伊特
Versmold (52.04009, 8.15272) 费尔斯莫尔德
Verl (51.88333, 8.51667) 费尔尔
Veringenstadt (48.18515, 9.21079) 费林根施塔特
Verden (52.92343, 9.23491) 费尔登
Venusberg (50.69918, 13.01854) 维纳斯贝格
Ventschow (53.78777, 11.58045) 文肖
Venningen (49.28167, 8.17361) 文宁根
Vendersheim (49.86639, 8.06861) 文德斯海姆
Veltenhof (52.30774, 10.48937) 费尔滕霍夫
Velten (52.69149, 13.17533) 费尔滕
Velpke (52.40797, 10.93637) 费尔普克
Vellberg (49.0843, 9.87914) 费尔贝格
Vellahn (53.40104, 10.96707) 费尔拉恩
Velgast (54.27204, 12.81075) 费尔加斯特
Veldenz (49.88867, 7.02206) 费尔登茨
Velden (48.36632, 12.25596) 费尔登
Velburg (49.23212, 11.6716) 费尔堡
Velbert (51.33537, 7.04348) 费尔贝特
Veitshochheim (49.83278, 9.88167) 费茨霍赫海姆
Veitsbronn (49.51239, 10.88797) 费茨布隆
Veilsdorf (50.40876, 10.80947) 费尔斯多夫
Vegesack (53.17923, 8.62228) 费格萨克
Veelboeken (53.74893, 11.18297) 费尔布肯
Veckenstedt (51.90113, 10.73203) 费肯施泰特
Vechta (52.72632, 8.28598) 费希塔
Vechelde (52.26038, 10.36491) 费赫尔德
Vatterode (51.59935, 11.4322) 法特罗德
Vaterstetten (48.10537, 11.76825) 法特施泰滕
Vastorf (53.19801, 10.54563) 法斯托夫
Varrel (52.6215, 8.7331) 法雷尔
Varel (53.39693, 8.13621) 法雷尔
Valwig (50.15, 7.21667) 法尔维希
Valley (32.81874, -85.17939) 瓦利
Vallendar (50.39586, 7.62427) 瓦伦达尔
Vaihingen an der Enz (48.93563, 8.96045) 瓦兴根安德恩茨
Vahldorf (52.2566, 11.49925) 瓦尔多夫
Vahlde (53.1851, 9.63209) 瓦尔德
Vahlbruch (51.92077, 9.34061) 瓦尔布鲁赫
Vagen (47.8741, 11.88446) 瓦根
Vachendorf (47.84256, 12.60606) 瓦亨多夫
Vachdorf (50.52632, 10.53733) 瓦赫多夫
Vacha (55.80029, 42.77455) 瓦哈
Vaalermoor (53.98506, 9.33913) 瓦勒穆尔
Vaale (54, 9.38333) 瓦勒
Uxheim (50.35, 6.75) 乌克斯海姆
Utzerath (50.21667, 6.93333) 乌策拉特
Utzenhain (50.13333, 7.63333) 乌岑海因
Utzenfeld (47.8, 7.91667) 乌岑费尔德
Utting am Ammersee (48.02608, 11.08612) 乌廷安阿默尔湖
Uttenweiler (48.15, 9.61667) 乌滕魏勒
Uttenreuth (49.59675, 11.07216) 乌滕罗伊特
Uthlede (53.31119, 8.57861) 乌特勒德
Uthleben (51.44912, 10.838) 乌特莱本
Utersum (54.71431, 8.40609) 乌特苏姆
Uetersen (53.68769, 9.66394) 乌特森
Utendorf (50.61667, 10.43333) 乌滕多夫
Utarp (53.61667, 7.48333) 乌塔普
Ustersbach (48.31667, 10.65) 乌斯特斯巴赫
