Qal'ahye Farsi (33.78529, 63.24735) 法尔西堡
Farkhar (36.57288, 69.85783) 法尔哈尔
Farah (32.37451, 62.11638) 法拉
Istalif (34.83268, 69.07756) 伊斯塔利夫
Eslam Qaleh (34.66667, 61.06667) 伊斯兰堡
Injil (34.30157, 62.2465) 英吉尔
Imam Sahib (37.18897, 68.93644) 伊玛目萨希卜
Doshi (35.60918, 68.68473) 多希
Dowlatyar (34.55132, 65.79302) 道拉特亚尔
Dowlat Shah (34.9504, 70.07102) 道拉特沙
Dowlatabad (32.79978, 51.69553) 道拉特阿巴德
Du Qal'ah (32.14237, 61.4469) 杜堡
Duab (35.56277, 67.82191) 杜阿布
De Narkhel Kelay (32.43205, 65.63484) 德纳尔赫尔克莱
Dehi (35.95806, 67.27998) 德希
Dehe Salah (35.69031, 69.31511) 德赫萨拉
Dehe Now (34.74767, 69.04784) 德赫诺
Dehdadi (36.66319, 66.99339) 德赫达迪
Dwah Manday (33.28159, 69.58531) 德瓦曼代
Dashte Qal'ah (37.1539, 69.4435) 达什特堡
Dashte Archi (37.13333, 69.16667) 达什特阿尔奇
Darzab (35.97744, 65.37828) 达尔扎布
Darqad (37.38414, 69.45294) 达尔卡德
Darayim (36.86667, 70.38333) 达拉伊姆
Dangam (34.99249, 71.41935) 丹加姆
Dandar (34.79095, 69.47504) 丹达尔
Tsowkey (34.69246, 70.92688) 佐基
Chiras (35.41674, 65.98234) 奇拉斯
Chishte Sharif (34.34731, 63.73966) 奇什特沙里夫
Chinar (42.10798, 48.14321) 奇纳尔
Chimtal (36.67818, 66.80325) 奇姆塔尔
Charkh (33.79712, 68.93749) 查尔赫
Charikar (35.01361, 69.17139) 查里卡尔
Dowre Rabat (36.69132, 68.79093) 多雷拉巴特
Tsaperai (33.83003, 69.9192) 扎佩莱
Tsamkani (33.80298, 69.81671) 扎姆卡尼
Chakaray (34.34099, 69.4377) 查卡雷
Chakaran (36.91112, 71.0688) 查卡兰
Chahar Qal'ah (33.55267, 68.29828) 查哈尔堡
Chahar Burj (34.24475, 62.19165) 查哈尔堡
Chah Ab (37.39773, 69.81464) 查阿布
Fayroz Koh (34.51952, 65.25093) 费罗兹科
Bulolah (34.87706, 68.0879) 布洛拉
Bal Chiragh (35.84026, 65.2309) 巴尔奇拉格
Bazare Talah (35.39205, 68.22317) 巴扎尔塔拉
Muhmand Dara (34.24749, 70.87218) 穆罕默德达拉
Burkah (36.22242, 69.15037) 布尔卡
Barge Matal (35.67283, 71.34339) 巴尔格马塔尔
Baraki Barak (33.96744, 68.9492) 巴拉基巴拉克
Banu (35.63348, 69.26019) 巴努
Bamyan (34.82156, 67.82734) 巴米扬
Balkh (36.75635, 66.8972) 巴尔赫
Baharak (37.00254, 70.90664) 巴哈拉克
Bagrami (34.49376, 69.27427) 巴格拉米
Baghlan (36.13068, 68.70829) 巴格兰
Hukumati Azrah (34.17355, 69.64573) 阿兹拉政府
Art Khwajah (37.08571, 69.47958) 阿尔特霍贾
'Alaqahdari Atghar (31.73506, 67.3574) 阿特加尔地区
Asmar (35.03333, 71.35809) 阿斯马尔
Ashkasham (36.68333, 71.53333) 阿什卡沙姆
Asadabad (34.78241, 48.12012) 阿萨达巴德
Arghestan (31.55981, 66.48926) 阿尔格斯坦
Aqchah (36.905, 66.18341) 阿克查
Andkhoy (36.95293, 65.12376) 安德霍伊
'Unabah (35.23251, 69.37719) 乌纳巴
Anar Darah (32.7587, 61.65397) 阿纳尔达拉
Amanzi (30.21144, 66.04765) 阿曼齐
'Alaqahdariye Almar (35.84616, 64.53074) 阿尔马尔地区
Wuluswali 'Alingar (34.83529, 70.3593) 阿林加尔区
'Ali Khel (33.94253, 69.71908) 阿里赫尔
'Alaqahdari Dishu (30.43206, 63.29802) 迪舒地区
Alah Say (34.8965, 69.72049) 阿拉赫赛
Pachir wa Agam (34.20011, 70.27806) 帕奇尔瓦阿甘
Afaqi (36.66172, 69.35095) 阿法基
Adraskan (33.64573, 62.26959) 阿德拉斯坎
Abe Kamari (35.08796, 63.0678) 阿贝卡马里
Khadir (33.92232, 65.93398) 哈迪尔
Ghulam 'Ali (34.95076, 69.2287) 古拉姆阿里
Qarah Bagh Bazar (34.8529, 69.17062) 卡拉巴格巴扎
Zargaran (34.78764, 69.05878) 扎尔加兰
Surkh Bilandi (34.68474, 69.02863) 苏尔赫比兰迪
Pule Sangi (34.59972, 69.25993) 普勒桑吉
Langar (35.99474, 68.05081) 兰加尔
Baghe Maidan (35.22156, 69.21397) 巴格迈丹
Ibrahim Khan (35.05352, 69.25654) 易卜拉欣汗
Qaranghu Toghai (37.21528, 67.63972) 卡兰古托盖
Bazarak (35.31292, 69.51519) 巴扎拉克
Sherwaniye Bala (35.01468, 69.59934) 谢尔瓦尼耶巴拉
Kiraman (35.2973, 69.68125) 基拉曼
'Alaqahdari Sarobi (32.79331, 69.0866) 萨罗比地区
Ziruk `Alaqahdari (33.15806, 69.31278) 齐鲁克地区
Kushkak (32.28991, 61.52194) 库什卡克
Khayr Kot (32.85355, 68.44971) 哈伊尔科特
Chowney (33.38278, 66.27233) 乔尼
Wutahpur (34.91914, 71.09863) 乌塔普尔
Karbori (34.96597, 71.2746) 卡尔博里
Sultanpure 'Ulya (34.41204, 70.29634) 苏丹普尔乌利亚
Baba Sahib (31.66144, 65.66098) 巴巴萨希卜
Chandal Ba'i (34.58469, 68.95524) 钱达尔拜
Dahane Jarf (34.92891, 68.46273) 达哈内贾尔夫
