Huettendorf (48.55, 16.53333) - 惠滕多夫
Huettenberg (46.94139, 14.55) - 惠滕贝格
Hutten (48.17856, 15.98579) - 胡滕
Penzing (48.2, 16.26667) - 彭青
Huettau (47.4161, 13.30775) - 惠陶
Huerm (48.15601, 15.41262) - 赫姆
Hundsheim (48.11749, 16.93581) - 洪兹海姆
Hoetting (47.26815, 11.36868) - 赫廷
Hoertendorf (46.63333, 14.4) - 赫滕多夫
Hoersching (48.22627, 14.17786) - 赫尔兴
Hornstein (47.88049, 16.44447) - 霍恩施泰因
Horn (53.55406, 10.08989) - 霍恩
Hoermsdorf (46.69306, 15.26306) - 赫姆斯多夫
Horitschon (47.58729, 16.54696) - 霍里雄
Hoergas (47.15, 15.3) - 赫尔加斯
Hoerbranz (47.55, 9.75) - 赫尔布兰茨
Hoenigthal (47.08333, 15.56667) - 赫尼格塔尔
Hoenigsberg (47.58038, 15.64808) - 赫尼格斯贝格
Holzhausen (48.22296, 14.09683) - 霍尔茨豪森
Hollenthon (47.58938, 16.26131) - 霍伦通
Hollenegg (46.79147, 15.21345) - 霍伦艾格
Hollabrunn (48.55, 16.08333) - 霍拉布伦
Hohenweiler (47.58449, 9.7795) - 霍恩魏勒
Hohenthurn (46.55774, 13.66038) - 霍恩图恩
Hohentauern (47.43333, 14.48333) - 霍恩陶恩
Hohenruppersdorf (48.46439, 16.65244) - 霍恩鲁珀斯多夫
Hohenems (47.36121, 9.68694) - 霍恩埃姆斯
Hoheneich (48.77195, 15.02857) - 霍恩艾希
Hohenberg (47.90679, 15.61998) - 霍恩贝格
Hohenau an der Raab (47.3, 15.55) - 霍恩瑙安德拉布
Hohenau (-27.07315, -55.64247) - 霍恩瑙
Hofstetten (48.00847, 10.97114) - 霍夫施泰滕
Hoeflein (48.06667, 16.78333) - 赫夫莱因
Hoefen (47.46667, 10.68333) - 赫芬
Hof bei Straden (46.8, 15.93333) - 霍夫拜施特拉登
Hof bei Salzburg (47.81929, 13.21488) - 霍夫拜萨尔茨堡
Hof am Leithaberge (47.95, 16.58333) - 霍夫阿姆莱塔贝格
Hof (50.31297, 11.91261) - 霍夫
Hochwolkersdorf (47.66127, 16.28072) - 霍赫沃尔克斯多夫
Hochtregist (47.1, 15.13333) - 霍赫特雷吉斯特
Hoechst (47.45934, 9.6405) - 赫希特
Hochfilzen (47.46667, 12.61667) - 霍赫菲尔岑
HochburgAch (48.13001, 12.87735) - 霍赫堡阿赫
Hoech (47.36667, 13.38333) - 赫赫
Hitzendorf (47.03333, 15.3) - 希岑多夫
Hirtenberg (47.93095, 16.17908) - 希尔滕贝格
Hirschegg (47.34813, 10.17137) - 希尔谢格
Hirschbach (49.55, 11.53333) - 希尔施巴赫
Hirnsdorf (47.19167, 15.82868) - 希尔恩斯多夫
Hirm (47.78652, 16.4546) - 希尔姆
Hippach (47.20435, 11.86523) - 希帕赫
Hinterthiersee (47.58333, 12.06667) - 辛特蒂尔塞
Hintersee (47.7, 13.28333) - 辛特塞
Hintersdorf (48.3, 16.21667) - 辛特斯多夫
Hinterbruehl (48.08611, 16.24809) - 辛特布吕尔
Himmelreich (47.8, 12.98333) - 希梅尔赖希
Himmelberg (46.75667, 14.03056) - 希梅尔贝格
Himberg (48.08333, 16.43333) - 希姆贝格
Hietzing (48.18623, 16.2965) - 希青
Hiesendorf (48.18698, 14.47775) - 希森多夫
Hieflau (47.60639, 14.74503) - 希弗劳
Heugraben (47.11783, 16.19041) - 霍伊格拉本
Hetzendorf (47.18333, 14.68333) - 赫岑多夫
Herzogsdorf (48.43011, 14.1128) - 赫尔佐格斯多夫
Herzogenburg (48.28137, 15.69431) - 赫尔佐根堡
Herrnbaumgarten (48.69606, 16.68283) - 赫恩鲍姆加滕
Hernstein (47.89465, 16.10561) - 赫恩施泰因
Hernals (48.23333, 16.26667) - 赫尔纳尔斯
Hermagor (46.62722, 13.36722) - 赫尔马戈尔
Hennersdorf (48.11173, 16.36311) - 亨纳斯多夫
Hengsberg (46.8692, 15.4505) - 亨斯贝格
Hellmonsoedt (48.43333, 14.3) - 赫尔蒙瑟特
Helfenstein (47.33333, 11.86667) - 赫尔芬施泰因
Heiterwang (47.45, 10.75) - 海特旺
