Rullstorf (53.28645, 10.52972) 鲁尔斯托夫
Ruhwinkel (54.1, 10.21667) 鲁温克尔
Ruhstorf (48.53976, 12.68305) 鲁斯托夫
Ruhstadt (52.91667, 11.86667) 鲁施塔特
Ruhpolding (47.76667, 12.65) 鲁波尔丁
Ruehn (53.821, 11.93993) 吕恩
Ruhmannsfelden (48.98327, 12.98347) 鲁曼斯费尔登
Ruhland (51.45755, 13.86643) 鲁兰德
Ruhla (50.89296, 10.36573) 鲁拉
Ruhen (52.4856, 10.88642) 鲁恩
Rugland (49.4, 10.58333) 鲁格兰德
Rugge (51.89921, 4.15231) 鲁格
Rugendorf (50.2, 11.46667) 鲁根多夫
Rudow (52.42407, 13.48529) 鲁多
Rudolstadt (50.72043, 11.34046) 鲁道尔施塔特
Rudnitz (52.72137, 13.62502) 鲁尼茨
Ruedesheim am Rhein (49.9789, 7.92442) 莱茵河畔吕德斯海姆
Rudesheim (49.84546, 7.81452) 吕德斯海姆
Ruderting (48.65, 13.41667) 鲁德廷
Ruedershausen (51.58333, 10.26667) 吕德尔斯豪森
Rudersberg (48.88515, 9.52927) 鲁德斯贝格
Ruderatshofen (47.81667, 10.58333) 鲁德拉特斯霍芬
Rudenhausen (49.76502, 10.34011) 鲁登豪森
Rudenau (49.71139, 9.17917) 鲁德瑙
Rudelzhausen (48.6, 11.76667) 鲁德尔绍森
Ruckweiler (49.58333, 7.23333) 鲁克维勒
Ruckholz (47.66667, 10.55) 鲁克霍尔茨
Ruckersdorf (49.49757, 11.24751) 鲁克斯多夫
Rueckeroth (50.56167, 7.74528) 吕克罗特
Rubow (53.75675, 11.57145) 鲁博
Rubkow (53.93505, 13.72299) 鲁布科
Ruber (50.3, 7.36667) 鲁贝尔
Ruebeland (51.75591, 10.8466) 吕贝兰德
Roxheim (49.86374, 7.8098) 罗克斯海姆
Roxel (51.95229, 7.53677) 罗克塞尔
Roevershagen (54.17668, 12.24276) 罗弗斯哈根
Rottweil (48.16783, 8.62719) 罗特韦尔
Rottmersleben (52.21308, 11.399) 罗特默斯莱本
Rottleberode (51.51636, 10.94658) 罗特勒贝罗德
Rottleben (51.3621, 11.04752) 罗特莱本
Rottingen (49.50969, 9.97082) 罗廷根
Rotthalmunster (48.35825, 13.20162) 罗特塔尔明斯特
Rotterode (50.71222, 10.55374) 罗特罗德
Rottendorf (49.7923, 10.02593) 罗滕多夫
Rottenburg (48.47629, 8.93528) 罗滕堡
Rottenbuch (47.73333, 10.96667) 罗滕布赫
Rottenbach (49.66429, 10.92607) 罗滕巴赫
Rottenacker (48.23485, 9.68956) 罗滕阿克
RottachEgern (47.68966, 11.77065) 罗塔赫-埃格恩
Rotta (45.16242, 9.14564) 罗塔
Rott (47.92008, 12.08771) 罗特
Rothselberg (49.55, 7.6) 罗特塞尔贝格
Rothlein (49.98333, 10.21667) 罗特莱因
Rotherbaum (53.5665, 9.99265) 罗特鲍姆
Rothenstein (50.85, 11.6) 罗滕施泰因
Rothenschirmbach (51.45573, 11.5472) 罗滕希尔姆巴赫
Rothenfels (49.89135, 9.5926) 罗滕费尔斯
Rothenburg (52.24351, 10.47833) 罗滕堡
Rothenbuch (49.96528, 9.39389) 罗滕布赫
Rothenbergen (50.19899, 9.11179) 罗滕贝尔根
Rothenberg (49.49917, 8.91917) 罗滕贝格
Rothenbach (47.62303, 9.97387) 罗滕巴赫
Rothemark (51.88145, 12.61771) 罗特马克
Roetha (51.19783, 12.41447) 罗塔
Roth (49.24762, 11.09111) 罗特
Rotgesbuttel (52.41667, 10.53333) 罗特格斯比特尔
Roetgen (50.65, 6.2) 罗特根
Rotenhain (50.6, 7.88333) 罗滕海因
Rotenburg (53.11125, 9.41082) 罗滕堡
Rot an der Rot (48.01295, 10.03026) 罗特安德罗特
Rot am See (49.25, 10.01667) 罗特安姆塞
Rot (47.92278, 9.10485) 罗特
Rostock (54.0887, 12.14049) 罗斯托克
Rosswein (51.06589, 13.18308) 罗斯韦因
Rosstal (49.39567, 10.88848) 罗斯塔尔
Rossow (53.64265, 13.36353) 罗斯索
Rossleben (51.29886, 11.43435) 罗斯莱本
Rosslau (51.88736, 12.24192) 罗斯劳
Rossla (51.46331, 11.07576) 罗斯拉
Rosshaupten (48.42943, 10.46911) 罗斯豪普滕
Rossdorf (49.85972, 8.76167) 罗斯多夫
Rossbach (48.58333, 12.95) 罗斯巴赫
Roesrath (50.89559, 7.18175) 罗斯拉特
Roskow (52.47237, 12.71886) 罗斯科
Rositz (51.01728, 12.36354) 罗西茨
Rosian (52.09576, 12.15184) 罗西安
Rosenow (53.62966, 13.03849) 罗森诺
Rosenkopf (49.35, 7.43333) 罗森科普夫
Rosenheim (47.85637, 12.12247) 罗森海姆
Rosenfeld (48.28639, 8.72357) 罗森费尔德
Rosendorf (50.76667, 11.78333) 罗森多夫
Rosenberg (29.55718, -95.80856) 罗森伯格
Roseburg (43.2165, -123.34174) 罗斯堡
Rosdorf (51.5, 9.9) 罗斯多夫
Roscheid (50.11667, 6.18333) 罗斯海德
Rosche (52.98663, 10.75184) 罗舍
Roschbach (49.24611, 8.11889) 罗施巴赫
Roesa (51.61581, 12.49065) 罗萨
Rosa (45.93056, 12.87083) 罗萨
Rorodt (49.76667, 7.05) 罗罗特
