Pollhagen (52.38529, 9.18813) 波尔哈根
Pollenfeld (48.95, 11.2) 波伦费尔德
Polleben (51.57966, 11.59931) 波勒本
Polle (51.89871, 9.40386) 波勒
Poll (50.91256, 6.99057) 波尔
Poelitz (53.77303, 10.38276) 波利茨
Polich (49.8, 6.85) 波利希
Poley (51.77549, 11.82079) 波莱
Polch (50.29973, 7.31315) 波尔赫
Pokrent (53.64894, 11.14623) 波克伦特
Poing (48.17004, 11.81863) 波英
Pohnsdorf (54.23955, 10.24896) 波恩斯多夫
Pohle (52.26627, 9.34404) 波勒
Poehla (50.51143, 12.81889) 波拉
Pohl (50.25, 7.86667) 波尔
Poggensee (53.65, 10.58333) 波根塞
Pogeez (53.75115, 10.72875) 波格茨
Podelzig (52.47175, 14.53465) 波德尔齐希
Pocking (48.40149, 13.31315) 波金
Pockau (50.7, 13.23333) 波考
Pobershau (50.64079, 13.21776) 波贝尔斯豪
Pluwig (49.68976, 6.71239) 普卢维希
Plutscheid (50.08333, 6.41667) 普卢特沙伊德
Plueschow (53.83572, 11.26856) 普吕肖
Pluderhausen (48.79875, 9.59587) 普吕德豪森
Ploetzky (52.05207, 11.80202) 普洛茨基
Plotzkau (51.75, 11.68333) 普洛茨考
Ploetz (51.63775, 11.94925) 普洛茨
Plothen (50.63333, 11.76667) 普洛滕
Plossberg (49.91977, 11.86883) 普洛斯贝格
Ploen (54.16241, 10.42333) 普伦
Plochingen (48.71067, 9.41949) 普洛兴根
Pliezhausen (48.55934, 9.20749) 普利茨豪森
Pliening (48.19556, 11.80069) 普利宁
Pleystein (49.64907, 12.40631) 普莱施泰因
Plettenberg (51.20949, 7.87261) 普莱滕贝格
Plessa (51.46667, 13.61667) 普莱萨
Pless (48.0931, 10.15137) 普莱斯
Pleizenhausen (50.01667, 7.56667) 普莱岑豪森
Pleitersheim (49.83333, 7.95) 普莱特尔斯海姆
PleisweilerOberhofen (49.11806, 8.00778) 普莱斯魏勒-奥伯霍芬
Pleiskirchen (48.30713, 12.59832) 普莱斯基兴
Pleinfeld (49.10473, 10.98194) 普莱因费尔德
Plein (50.03333, 6.86667) 普莱因
Pleidelsheim (48.9592, 9.20311) 普莱德尔斯海姆
Pleckhausen (50.59506, 7.54216) 普莱克豪森
Plauen (50.4973, 12.13782) 普劳恩
Plaue (50.77835, 10.89969) 普劳厄
Plau am See (53.45821, 12.26246) 普劳湖畔
Plattling (48.77866, 12.87509) 普拉特林
Plattenburg (52.95919, 12.02951) 普拉特堡
Platten (49.95161, 6.95313) 普拉特恩
Plate (53.55145, 11.50927) 普拉特
Plascheid (50.03333, 6.28333) 普拉沙伊德
Plankstadt (49.39444, 8.59611) 普兰克施塔特
Plankenfels (49.88333, 11.33333) 普兰肯费尔斯
Planegg (48.10672, 11.42483) 普拉内格
Plaidt (50.3926, 7.39251) 普莱特
Plaaz (53.84306, 12.34328) 普拉茨
Pittenhart (47.97724, 12.38997) 皮滕哈特
Pittenbach (50.18333, 6.35) 皮滕巴赫
Pirow (53.21667, 11.9) 皮罗
Pirna (50.95843, 13.93702) 皮尔纳
Pirmasens (49.20145, 7.60529) 皮尔马森斯
Pirk (49.63333, 12.16667) 皮尔克
Pinzberg (49.68971, 11.10207) 平茨贝格
Pintesfeld (50.11667, 6.36667) 平特斯费尔德
Pinnow (53.60164, 11.54577) 平诺
Pinneberg (53.66732, 9.78936) 平讷贝格
Pingelshagen (53.68314, 11.33532) 平格尔斯哈根
Pilsting (48.70116, 12.65105) 皮尔斯廷
Pilsach (49.32137, 11.50311) 皮尔萨赫
Pillnitz (51.0073, 13.87565) 皮尔尼茨
Pillig (50.23919, 7.31157) 皮利希
Piesteritz (51.86956, 12.59835) 皮斯特里茨
Piesport (49.8864, 6.91649) 皮斯波特
Piesau (50.51667, 11.21667) 皮绍
Pielenhofen (49.07235, 11.95699) 皮伦霍芬
Piding (47.76667, 12.91667) 皮丁
Picher (53.34796, 11.34672) 皮歇尔
Philippsheim (49.95, 6.63333) 菲利普斯海姆
Philippsthal (50.83948, 10.00906) 菲利普斯塔尔
Philippsreut (48.86667, 13.68333) 菲利普斯罗伊特
Philippsburg (49.2317, 8.46074) 菲利普斯堡
Pfungstadt (49.80557, 8.60307) 普冯施塔特
Pfullingen (48.46458, 9.22796) 普富林根
Pfullendorf (47.9261, 9.2578) 普富伦多夫
Pfronten (47.5822, 10.54962) 普弗隆滕
Pfronstetten (48.27641, 9.35995) 普弗隆施泰滕
Pfreimd (49.49114, 12.18069) 普弗赖姆德
Pforzheim (48.88436, 8.69892) 普福尔茨海姆
Pforzen (47.92997, 10.61357) 普福尔岑
Pfofeld (49.1059, 10.83664) 普福费尔德
Pfiffelbach (51.06098, 11.44217) 普菲费尔巴赫
Pferdingsleben (50.96667, 10.81667) 普费尔丁斯莱本
Pfeffenhausen (48.66466, 11.96594) 普费芬豪森
Pfeffelbach (49.53948, 7.32768) 普费费尔巴赫
Pfedelbach (49.17806, 9.505) 普费德尔巴赫
Pfatter (48.96309, 12.38254) 普法特尔
Pfarrweisach (50.15, 10.73333) 普法尔魏萨赫
