Oeversee (54.7, 9.43333) 奥弗西
Overath (50.93275, 7.28389) 奥弗拉特
Oevenum (54.71024, 8.53174) 奥弗努姆
Ovelgonne (53.34189, 8.42179) 奥弗尔贡
Utscheid (50, 6.35) 乌特沙伊德
Otzweiler (49.71667, 7.51667) 奥茨魏勒
Otzingen (50.5, 7.83333) 奥青根
Otzing (48.76134, 12.80877) 奥青
Ottweiler (49.40133, 7.16424) 奥特魏勒
Ottrau (50.80599, 9.38575) 奥特劳
Ottobeuren (47.9413, 10.29971) 奥托博伊伦
Otting (48.8725, 10.80018) 奥廷
Otterwisch (51.2, 12.61667) 奥特维施
Ottersweier (48.67022, 8.11323) 奥特斯魏尔
Otterstadt (49.37222, 8.44778) 奥特施塔特
Ottersheim (49.19129, 8.23176) 奥特斯海姆
Ottersberg (53.1099, 9.14408) 奥特斯贝格
Otterndorf (53.80908, 8.90068) 奥特恩多夫
Otterfing (47.90898, 11.67546) 奥特芬
Otterberg (49.50301, 7.76995) 奥特贝格
Otterbach (49.48554, 7.7345) 奥特巴赫
Otter (53.24015, 9.74247) 奥特
Ottenstein (51.94707, 9.407) 奥滕施泰因
Ottensoos (49.50949, 11.34158) 奥滕索斯
Ottensen (53.55213, 9.92421) 奥滕森
Ottenhofen (48.7356, 8.12981) 奥滕霍芬
OttendorfOkrilla (51.18333, 13.83333) 奥滕多夫-奥克里拉
Ottendorf (54.34087, 10.04926) 奥滕多夫
Ottenbuttel (53.97107, 9.50416) 奥滕比特尔
Otisheim (48.96667, 8.8) 奥蒂斯海姆
Otigheim (48.89085, 8.23442) 奥蒂希姆
Othmarschen (53.55173, 9.88632) 奥特马尔申
Oststeinbek (53.54321, 10.16939) 奥斯特施泰因贝克
Ostseebad Prerow (54.44469, 12.57677) 波罗的海浴场普雷罗
Ostseebad Goehren (54.3414, 13.73823) 波罗的海浴场戈伦
Ostseebad Dierhagen (54.29243, 12.35799) 波罗的海浴场迪尔哈根
Ostseebad Binz (54.39995, 13.61052) 波罗的海浴场宾茨
Ostseebad Baabe (54.36016, 13.70381) 波罗的海浴场巴贝
Ostseebad Ahrenshoop (54.38346, 12.42425) 波罗的海浴场阿伦斯霍普
Ostrohe (54.21631, 9.12537) 奥斯特罗赫
Ostritz (51.01451, 14.93059) 奥斯特里茨
Ostringen (49.21911, 8.71192) 奥斯特林根
Ostrhauderfehn (53.13333, 7.61667) 奥斯特豪德费恩
Ostrau (51.20639, 12.88421) 奥斯特劳
Ostramondra (51.2, 11.33333) 奥斯特拉蒙德拉
Ostrach (47.95, 9.38333) 奥斯特拉赫
Ostochtersum (53.60605, 7.52649) 奥斯特奥赫特苏姆
Osthofen (49.70382, 8.32419) 奥斯特霍芬
Ostheim (50.93117, 7.04412) 奥斯特海姆
Osterzell (47.88333, 10.75) 奥斯特策尔
Osterwohle (52.83648, 11.00808) 奥斯特沃勒
Osterwieck (51.9699, 10.71042) 奥斯特维克
Osterstedt (54.10825, 9.57436) 奥斯特施泰特
Osterspai (50.24453, 7.61227) 奥斯特斯派
Osterronfeld (54.29013, 9.699) 奥斯特龙费尔德
Osterrade (54.18694, 9.35389) 奥斯特拉德
OsterOhrstedt (54.51514, 9.22189) 奥斯特奥尔施泰特
Osterode am Harz (51.72686, 10.25089) 哈茨山的奥斯特罗德
Osternienburg (51.79384, 12.02616) 奥斯特尼恩堡
Osterhorn (53.86667, 9.7) 奥斯特霍恩
OsterholzScharmbeck (53.22698, 8.79528) 奥斯特霍尔茨-沙姆贝克
Osterhofen (48.7, 13.02221) 奥斯特霍芬
Osterhever (54.38547, 8.766) 奥斯特赫弗
Osterhausen (51.45417, 11.50456) 奥斯特豪森
Osterfeld (51.08014, 11.93047) 奥斯特费尔德
Ostereistedt (53.3, 9.16667) 奥斯特艾施泰特
Oesterdeichstrich (54.15, 8.88333) 奥斯特代希施特里希
Ostercappeln (52.35, 8.23333) 奥斯特卡彭
Osterby (54.45354, 9.75136) 奥斯特比
Osterburken (49.42997, 9.42252) 奥斯特布尔肯
Osterburg (52.78721, 11.75297) 奥斯特堡
Osterbruch (53.77805, 8.94122) 奥斯特布鲁赫
Osterberg (48.15, 10.16667) 奥斯特贝格
Ostenfeld (54.46285, 9.23419) 奥斯滕费尔德
Osten (53.7, 9.2) 奥斯滕
Ostelsheim (48.72633, 8.84816) 奥斯特尔斯海姆
Osteel (53.54417, 7.254) 奥斯特尔
Ostbevern (52.04018, 7.84229) 奥斯特贝弗恩
Ossmannstedt (51.01815, 11.42746) 奥斯曼施泰特
Ossling (51.35999, 14.16567) 奥斯林
Ossendorf (50.97059, 6.90628) 奥森多夫
Osnabrueck (52.27264, 8.0498) 奥斯纳布吕克
Osloss (52.46925, 10.68011) 奥斯洛斯
Osdorf (53.57982, 9.85826) 奥斯多夫
Oschersleben (52.03039, 11.22898) 奥舍尔斯莱本
Oeschebuttel (53.98912, 9.72128) 奥舍比特尔
Oschatz (51.30001, 13.10984) 奥沙茨
Osburg (49.71667, 6.78333) 奥斯堡
Ortrand (51.37505, 13.75982) 奥特兰德
Ortenburg (48.54597, 13.2225) 奥滕堡
Ortenberg (50.35584, 9.05602) 奥滕贝格
OrsingenNenzingen (47.84272, 8.95909) 奥尔辛根-嫩青根
Orsfeld (50.03333, 6.61667) 奥尔斯费尔德
Oersdorf (53.83914, 9.99112) 奥尔斯多夫
Orscholz (49.50593, 6.52502) 奥尔肖尔茨
Oersberg (54.6754, 9.84358) 奥尔斯贝格
Ornbau (49.17623, 10.65797) 奥恩堡
Ormont (50.32617, 6.44238) 奥尔蒙特
Orlenbach (50.16667, 6.38333) 奥伦巴赫
Oerlenbach (50.15, 10.13333) 奥尔伦巴赫
