MaxhutteHaidhof (49.19963, 12.09229) 马克斯胡特海德霍夫
Maxen (50.925, 13.80157) 马克森
Maxdorf (49.48806, 8.29167) 马克斯多夫
Mauth (48.88972, 13.58459) 毛特
Mauschbach (49.18333, 7.4) 毛施巴赫
Maulburg (47.64631, 7.7821) 毛尔堡
Maulbronn (48.99958, 8.80337) 毛尔布龙
Mauerstetten (47.89358, 10.67127) 毛尔施泰滕
Mauel (50.06667, 6.4) 毛尔
Mauden (50.71667, 8) 毛登
Mauchenheim (49.71806, 8.04611) 毛亨海姆
Matzerath (50.15, 6.38333) 马策拉特
Matzenbach (49.5, 7.46667) 马岑巴赫
Mattstedt (51.05, 11.51667) 马特施泰特
Masthorn (50.15, 6.3) 马斯托恩
Mastershausen (50.06667, 7.35) 马斯特斯豪森
Massweiler (49.26667, 7.53333) 马斯魏勒
Massing (48.39118, 12.60947) 马辛
Masserberg (50.51981, 10.97087) 马瑟贝格
Massenbachhausen (49.17778, 9.04333) 马森巴赫豪森
Massbach (50.18321, 10.27522) 马斯巴赫
Maselheim (48.13333, 9.88333) 马塞尔海姆
Mascherode (52.22338, 10.56653) 马舍罗德
Masburg (50.24065, 7.11736) 马斯堡
Marzling (48.40904, 11.79382) 马尔茨林
Marzhausen (50.69111, 7.75583) 马尔茨豪森
Marzahn (52.54525, 13.56983) 马尔扎恩
Marxheim (48.74153, 10.94504) 马克斯海姆
Marxen (53.31211, 10.00415) 马克森
Martinstein (49.80311, 7.54398) 马丁施泰因
Martinshohe (49.36667, 7.48333) 马丁斯霍赫
Martinsheim (49.6235, 10.14879) 马丁斯海姆
Martinroda (50.72334, 10.88902) 马丁罗达
Martinhagen (51.28688, 9.28611) 马丁哈根
Marth (51.38333, 10) 马尔特
Martfeld (52.87572, 9.06081) 马特费尔德
Martensrade (54.28333, 10.4) 马滕斯拉德
Marsberg (51.46171, 8.84949) 马尔斯贝格
Marquartstein (47.75857, 12.46219) 马夸特施泰因
Marpingen (49.45228, 7.0582) 马尔平根
Maroth (50.57722, 7.68972) 马罗特
Marolterode (51.23333, 10.68333) 马罗尔特罗德
Maroldsweisach (50.19578, 10.66003) 马罗尔茨魏萨赫
Marnitz (53.31679, 11.92947) 马尔尼茨
Marnheim (49.63278, 8.04) 马恩海姆
Marnerdeich (53.95, 8.98333) 马尔讷代希
Marlow (51.56933, -0.77415) 马洛
Marloffstein (49.61794, 11.06323) 马洛夫施泰因
Marl (51.65671, 7.09038) 马尔
Markwerben (51.21578, 11.94075) 马克韦尔本
Markvippach (51.07894, 11.17498) 马克维帕赫
Marktzeuln (50.16673, 11.16692) 马克特措恩
Markt Wald (48.1368, 10.58198) 马克特瓦尔德
Marktsteft (49.69606, 10.13626) 马克特施泰夫特
Markt Schwaben (48.18949, 11.8691) 马克特施瓦本
Marktschorgast (50.09475, 11.65465) 马克特肖尔加斯特
Marktschellenberg (47.69657, 13.0434) 马克特谢伦贝格
Markt Rettenbach (47.94733, 10.39608) 马克特雷滕巴赫
Marktredwitz (50.00443, 12.08593) 马克特雷德维茨
Marktoffingen (48.92566, 10.47078) 马克特奥芬根
Marktoberdorf (47.77964, 10.61713) 马克特奥伯多夫
Markt Nordheim (49.59095, 10.35564) 马克特诺德海姆
Marktleuthen (50.13007, 12.00226) 马克特洛伊滕
Marktleugast (50.17306, 11.63389) 马克特洛伊加斯特
Markt Indersdorf (48.36058, 11.37789) 马克特因德斯多夫
Marktheidenfeld (49.8454, 9.60359) 马克特海登费尔德
Marktgraitz (50.18358, 11.19441) 马克特格赖茨
Marktgoelitz (50.55627, 11.33519) 马克特戈利茨
Markt Erlbach (49.49367, 10.65265) 马克特埃尔巴赫
Marktbreit (49.66541, 10.14811) 马克特布赖特
Markt Bibart (49.64787, 10.42492) 马克特比巴特
Markt Berolzheim (49.00955, 10.84473) 马克特贝罗尔茨海姆
Marktbergel (49.44156, 10.36355) 马克特贝格尔
Marksuhl (50.91667, 10.2) 马克苏尔
Markranstaedt (51.30146, 12.2202) 马克兰施泰特
Markneukirchen (50.31144, 12.32951) 马克诺伊基兴
Marklohe (52.66857, 9.14219) 马克洛赫
Marklkofen (48.55, 12.56667) 马克尔科芬
Markkleeberg (51.2755, 12.36906) 马克莱贝格
Maerkisches Viertel (52.59841, 13.35766) 马尔基舍斯区
Maerkisch Buchholz (52.10961, 13.76536) 马尔基施布赫霍尔茨
Markgroningen (48.90493, 9.08059) 马克格罗宁根
Markersdorf (51.13333, 14.88333) 马克尔斯多夫
Markersbach (50.53545, 12.86149) 马克尔斯巴赫
Markdorf (47.71916, 9.39028) 马克多夫
Marisfeld (50.55587, 10.57268) 马里斯费尔德
MaringNoviand (49.93333, 7) 马林诺维安德
Marienwerder (52.84208, 13.59927) 马里恩韦尔德
Mariental (-24.62705, 17.96471) 马里恩塔尔
Marienrachdorf (50.55, 7.71667) 马里恩拉赫多夫
Marienheide (51.08317, 7.53087) 马里恩海德
Marienhausen (50.56389, 7.69278) 马里恩豪森
Marienhagen (52.03718, 9.68685) 马里恩哈根
Marienhafe (53.52274, 7.27306) 马里恩哈费
Marienfels (50.2404, 7.81325) 马里恩费尔斯
Marienfelde (52.41868, 13.36723) 马里恩费尔德
Mariendorf (52.4378, 13.38109) 马里恩多夫
Marienborn (52.19614, 11.10683) 马里恩博恩
Marienberg (50.65051, 13.16122) 马里恩贝格
Mariaveen (51.83826, 7.09104) 玛丽亚芬
