Lautert (50.16889, 7.84083) 劳特特
Lautersheim (49.58722, 8.09833) 劳特尔斯海姆
Lauterhofen (49.3684, 11.60294) 劳特霍芬
Lauterecken (49.64993, 7.59265) 劳特雷肯
Lauterbach (50.63558, 9.39777) 劳特巴赫
Lauter (50.56264, 12.73513) 劳特尔
Lautenbach (48.48185, 8.02732) 劳滕巴赫
Laussnitz (51.25, 13.88333) 劳斯尼茨
Laussig (51.54676, 12.6293) 劳西希
Lauschied (49.73333, 7.61667) 劳施德
Lauscha (50.47687, 11.15962) 劳沙
Laurenburg (50.33222, 7.91139) 劳伦堡
Laupheim (48.22786, 9.87874) 劳普海姆
Lauperath (50.08333, 6.33333) 劳佩拉特
Laumersheim (49.55405, 8.23538) 劳默斯海姆
Lauingen (48.56775, 10.42706) 劳因根
Laugna (48.53333, 10.7) 劳格纳
Lauffen am Neckar (49.0734, 9.14567) 劳芬安内卡尔
Laufersweiler (49.89649, 7.30502) 劳费尔斯魏勒
Laufeld (50.08333, 6.86667) 劳费尔德
Laufdorf (50.51605, 8.45982) 劳夫多夫
Lauf an der Pegnitz (49.51386, 11.28247) 劳夫安德佩格尼茨
Laufach (50.01667, 9.3) 劳法赫
Lauf (48.65, 8.13333) 劳夫
Lauenhagen (52.35547, 9.20637) 劳恩哈根
Lauenburg (53.37199, 10.55654) 劳恩堡
Lauenbruck (53.2, 9.56667) 劳恩布鲁克
Lauenau (52.27393, 9.36928) 劳恩瑙
Laudenbach (49.61333, 8.65389) 劳登巴赫
Lauchroeden (50.99371, 10.15694) 劳赫罗登
Lauchheim (48.87135, 10.24222) 劳赫海姆
Lauchhammer (51.48813, 13.76623) 劳赫哈默尔
Laucha (51.22422, 11.67988) 劳哈
Laubsdorf (51.67444, 14.44197) 劳布斯多夫
Laubenheim (49.91667, 7.9) 劳本海姆
Lauben (47.78333, 10.3) 劳本
Laubach (50.54196, 8.99034) 劳巴赫
Lathen (52.86667, 7.31667) 拉滕
Latendorf (54, 10.06667) 拉滕多夫
Latdorf (51.80885, 11.8) 拉托夫
Lastrup (52.79468, 7.86715) 拉斯特鲁普
Lassan (53.94874, 13.85219) 拉桑
Lasel (50.11667, 6.46667) 拉塞尔
Lascheid (50.11667, 6.41667) 拉谢德
Lasbek (53.73333, 10.36667) 拉斯贝克
Laerz (53.29307, 12.74658) 拉尔茨
Lappersdorf (49.04694, 12.0913) 拉佩尔斯多夫
Lanze (45.58599, 11.66096) 兰策
Lanz (53.07442, 11.59908) 兰茨
Lanstrop (51.57504, 7.56752) 兰斯特罗普
Lankwitz (52.43623, 13.3459) 兰克维茨
Lankow (53.64983, 11.36913) 兰科
Lankau (53.66667, 10.66667) 兰考
Langwieden (49.38333, 7.5) 朗维登
Langweiler (49.66667, 7.51667) 朗魏勒
Langweid (48.49095, 10.8531) 朗魏德
Langwedel (52.97864, 9.18542) 朗韦德尔
Langula (51.15001, 10.4167) 朗古拉
Langsur (49.72442, 6.49906) 朗苏尔
Langstedt (54.61667, 9.38333) 朗施泰特
Langscheid (50.38333, 7.11667) 朗沙伊德
Langquaid (48.82318, 12.05134) 朗夸伊德
Langlingen (52.55593, 10.28291) 朗林根
Langhagen (53.68624, 12.43627) 朗哈根
Langgons (50.5, 8.66667) 朗贡斯
Langewiesen (50.67252, 10.97102) 朗厄维森
Langewahl (52.33333, 14.1) 朗厄瓦尔
Langerwehe (50.81667, 6.35) 朗厄韦赫
Langerringen (48.1459, 10.75894) 朗厄林根
Langeoog (53.75, 7.48333) 朗厄奥格
Langenzenn (49.49463, 10.7923) 朗根岑
Langenwolschendorf (50.63546, 11.95416) 朗根沃尔申多夫
Langenwetzendorf (50.67884, 12.09407) 朗根韦岑多夫
Langensendelbach (49.64051, 11.07104) 朗根森德尔巴赫
Langenselbold (50.17657, 9.04003) 朗根塞尔博尔德
Langenscheid (50.35598, 7.95166) 朗根沙伊德
Langenpreising (48.42569, 11.97217) 朗根普赖辛
Langenorla (50.74067, 11.58023) 朗根奥拉
Langenneufnach (48.26667, 10.6) 朗根诺伊夫纳赫
Langenmosen (48.60658, 11.21378) 朗根莫森
Langenlonsheim (49.9, 7.9) 朗根隆斯海姆
Langenlehsten (53.50101, 10.74068) 朗根莱斯滕
Langenhahn (50.58333, 7.91667) 朗根哈恩
Langenhagen (52.44758, 9.73741) 朗根哈根
Langenfeld (51.10821, 6.94831) 朗根费尔德
Langeness (54.64046, 8.59183) 朗根内斯
Langenenslingen (48.14851, 9.37765) 朗根恩斯林根
Langeneichstaedt (51.34537, 11.7433) 朗根艾希施泰特
Langendernbach (50.54045, 8.04814) 朗根德恩巴赫
Langenbogen (51.483, 11.77786) 朗根博根
Langenbernsdorf (50.75583, 12.32669) 朗根贝恩斯多夫
Langenberg (51.77206, 8.31809) 朗根贝格
Langenbach (48.43333, 11.85) 朗根巴赫
Langenau (48.49616, 10.11849) 朗根瑙
Langenargen (47.59858, 9.54163) 朗根阿根
Langenaltheim (48.89318, 10.93107) 朗根阿尔特海姆
Langelsheim (51.93789, 10.33264) 朗厄尔斯海姆
Langeln (51.91188, 10.79436) 朗厄尔恩
Langdorf (49.01502, 13.14651) 朗多夫
Langballig (54.8, 9.63333) 朗巴利希
