Hoevede (54.25, 9.3) - 赫韦德
Hottingen (49.06262, 11.0053) - 霍廷根
Hottenbach (49.82492, 7.2976) - 霍滕巴赫
Hotensleben (52.11974, 11.02238) - 霍滕斯莱本
Hostenbach (49.26376, 6.81439) - 霍斯滕巴赫
Hosten (49.9, 6.61667) - 霍斯滕
Hosskirch (47.95, 9.45) - 霍斯基希
Hoslwang (47.95378, 12.32915) - 霍斯尔旺
Hosenfeld (50.50502, 9.47966) - 霍森费尔德
Hosbach (50.00646, 9.20765) - 霍斯巴赫
Hoerup (54.74268, 9.10242) - 赫吕普
Horstmar (52.08098, 7.30539) - 霍斯特马尔
Horsten (54.23333, 9.58333) - 霍斯滕
Hoerstel (52.29763, 7.58382) - 赫斯特尔
Horstedt (53.18333, 9.23333) - 霍斯特德
Horstdorf (51.81956, 12.42898) - 霍斯多夫
Horst (51.45417, 6.05139) - 霍斯特
Hoersingen (52.2794, 11.15456) - 赫尔辛根
Hoerselgau (50.91988, 10.58444) - 赫尔塞尔高
Hoerschhausen (50.25, 6.93333) - 赫尔施豪森
Horscheid (50.21667, 6.86667) - 霍尔谢德
Horschbach (49.58903, 7.52631) - 霍尔施巴赫
Horrweiler (49.9, 7.96667) - 霍尔维勒
Horrenberg (49.2804, 8.78087) - 霍伦贝格
Horperath (50.25, 6.95) - 霍尔佩拉特
Hoernum (54.75732, 8.28833) - 赫尔努姆
Hornstorf (53.90994, 11.53214) - 霍恩斯托夫
Hornsommern (51.21667, 10.81667) - 霍恩索默恩
Hoernsheim (50.51828, 8.62976) - 赫恩斯海姆
Hornhausen (52.0451, 11.17104) - 霍恩豪森
Horneburg (53.50672, 9.57546) - 霍恩堡
Hornburg (52.03095, 10.6049) - 霍恩堡
Hornberg (48.21068, 8.23275) - 霍恩贝格
Hornbek (53.55944, 10.64833) - 霍恩贝克
HornBad Meinberg (51.8855, 8.96244) - 霍恩巴德梅因贝格
Hornbach (49.18778, 7.36883) - 霍恩巴赫
Hormersdorf (50.67406, 12.88194) - 霍默斯多夫
Horka (51.26342, 14.25523) - 霍尔卡
Hoeringen (49.55566, 7.79602) - 赫林根
Horhausen (50.58745, 7.53028) - 霍尔豪森
Horgertshausen (48.55, 11.86667) - 霍格尔茨豪森
Horgenzell (47.80534, 9.49727) - 霍根策尔
Horgau (48.39507, 10.68283) - 霍高
Hordt (49.16583, 8.32639) - 霍尔特
Hoerden (51.66835, 10.28372) - 赫尔登
Hordel (51.49784, 7.1762) - 霍德尔
Horbruch (49.88333, 7.23333) - 霍尔布鲁赫
Horben (47.93333, 7.86667) - 霍尔本
Horb am Neckar (48.44423, 8.6913) - 霍尔布阿姆内卡尔
Horbach (50.37306, 7.85278) - 霍尔巴赫
Horath (49.81085, 6.98593) - 霍拉特
Hopsten (52.3817, 7.60156) - 霍普斯滕
Hoppstadten (49.7, 7.53333) - 霍普施塔滕
Hoppenrade (53.72785, 12.27267) - 霍彭拉德
Hoppegarten (52.51667, 13.66667) - 霍普加滕
Hopfingen (49.6025, 9.42861) - 霍芬根
Hopfgarten (50.98631, 11.22311) - 霍普加滕
Hopferau (47.61667, 10.63333) - 霍普费劳
Hoort (53.48214, 11.36005) - 霍尔特
Hoogstede (52.58333, 6.95) - 霍格施泰德
Hontheim (50.06667, 6.98333) - 洪特海姆
Honningen (50.46667, 6.95) - 洪宁根
Honigsee (54.23333, 10.18333) - 霍尼格湖
Honerath (50.38333, 6.9) - 霍内拉特
Hondelage (52.31444, 10.60567) - 洪德拉格
Hommerdingen (49.91667, 6.31667) - 霍默丁根
Homberg (51.02994, 9.40261) - 霍姆贝格
Holzwickede (51.5, 7.63333) - 霍尔茨维克德
Holzweissig (51.59819, 12.30842) - 霍尔茨魏西希
Holzsussra (51.28333, 10.68333) - 霍尔茨苏斯拉
Holzminden (51.82798, 9.4455) - 霍尔茨明登
Holzmaden (48.63333, 9.51667) - 霍尔茨马登
Holzkirchen (47.87663, 11.70181) - 霍尔茨基兴
Holzkirch (48.53124, 9.9952) - 霍尔茨基希
Holzheim bei Oder (49.26667, 12.16667) - 霍尔茨海姆拜奥德
Holzheim (48.51422, 10.53057) - 霍尔茨海姆
Bad Holzhausen (52.28971, 8.53954) - 巴德霍尔茨豪森
Holzguenz (48.02503, 10.25901) - 霍尔茨根茨
Holzgerlingen (48.63969, 9.01149) - 霍尔茨格林根
Holzen (51.93333, 9.66667) - 霍尔岑
Holzdorf (51.77873, 13.12756) - 霍尔茨多夫
Holzbunge (54.38044, 9.70579) - 霍尔茨邦格
Holzbronn (48.65951, 8.74443) - 霍尔茨布隆
Holzbach (49.95, 7.53333) - 霍尔茨巴赫
Holzappel (50.35, 7.9) - 霍尔茨阿佩尔
Holungen (51.49154, 10.39358) - 霍隆根
Holtsee (54.40104, 9.85577) - 霍尔特湖
Holtland (53.28333, 7.58333) - 霍尔特兰
Holthusen (53.54131, 11.35375) - 霍尔特胡森
Holtgast (53.62994, 7.5752) - 霍尔特加斯特
Holsthum (49.89353, 6.41275) - 霍尔斯图姆
Holstenniendorf (54.04161, 9.34808) - 霍尔斯滕尼恩多夫
Holm (53.61667, 9.66667) - 霍尔姆
Hollstadt (50.35, 10.3) - 霍尔施塔特
Hollnseth (53.58333, 9.1) - 霍尔恩塞特
Hollnich (50.06667, 7.48333) - 霍尔尼希
Hollingstedt (54.45934, 9.33695) - 霍林施泰特
Hollfeld (49.93793, 11.29153) - 霍尔费尔德
Holler (50.41667, 7.83333) - 霍勒尔
Hollenstedt (53.36667, 9.71667) - 霍伦施泰特
