Goermin (53.99092, 13.27054) 戈尔明
Goerlitz (51.15518, 14.98853) 格尔利茨
Gorleben (53.04844, 11.35729) 戈尔莱本
Gorkwitz (50.58333, 11.78333) 戈尔克维茨
Goritz (53.40626, 13.91556) 戈里茨
Goerisried (47.70668, 10.51015) 格里斯里德
Goergeshausen (50.41667, 7.95) 格尔格斯豪森
Gorgast (52.56832, 14.54847) 戈尔加斯特
Gorbitz (51.0455, 13.66108) 戈尔比茨
Goeppingen (48.70354, 9.65209) 格平根
Gopfersdorf (50.91302, 12.59651) 戈普费斯多夫
Goosefeld (54.43017, 9.81607) 戈斯费尔德
Gonnheim (49.44806, 8.23861) 冈海姆
Gonnersdorf (50.48333, 7.26667) 冈纳斯多夫
Goennebek (54.04895, 10.1969) 格恩内贝克
Gonna (51.50926, 11.32376) 戈纳
Gondorf (49.96667, 6.61667) 冈多夫
Gondenbrett (50.23333, 6.41667) 冈登布雷特
Gondelsheim (49.05917, 8.65833) 冈德尔斯海姆
Gonbach (49.55, 7.9) 冈巴赫
Gompertshausen (50.2985, 10.62498) 戈姆佩尔茨豪森
Gommersheim (49.29111, 8.26583) 戈默尔斯海姆
Gommern (52.07391, 11.82297) 戈默恩
Gomaringen (48.45349, 9.09582) 戈马林根
Gomadingen (48.3998, 9.39065) 戈马丁根
Golzow (52.27617, 12.60052) 戈尔措
Goltoft (54.55, 9.71667) 戈尔托夫特
Golssen (51.97204, 13.60115) 戈尔森
Golmsdorf (50.96667, 11.66667) 戈尔姆斯多夫
Golmbach (51.9, 9.55) 戈尔姆巴赫
Gollnitz (50.9477, 12.32064) 戈尔尼茨
Goellingen (51.34359, 11.01444) 戈林根
Gollhofen (49.56881, 10.19188) 戈尔霍芬
Gollheim (49.595, 8.05083) 戈尔海姆
Gollenberg (49.66667, 7.16667) 戈伦贝格
Golenkamp (52.51667, 6.91667) 戈伦坎普
Goldkronach (50.01086, 11.6875) 戈尔德克罗纳赫
Goldisthal (50.52066, 11.00519) 戈尔迪斯塔尔
Goldenstedt (52.78833, 8.43201) 戈尔登施泰特
Goldenstaedt (53.46751, 11.49908) 戈尔登施塔特
Goldenitz (53.71667, 10.63333) 戈尔德尼茨
Goldelund (54.68333, 9.1) 戈尔德伦德
Goldebek (54.68333, 9.15) 戈尔德贝克
Goldberg (53.58878, 12.08855) 戈尔德贝格
Goldbeck (52.71695, 11.8606) 戈尔德贝克
Goldbach (49.99951, 9.1844) 戈尔德巴赫
Gokels (54.11667, 9.46667) 戈克尔斯
GoehrenLebbin (53.47936, 12.51102) 格伦莱宾
Gohren (50.96667, 12.36667) 戈伦
Gohrde (53.1155, 10.855) 戈尔德
Gohlis (51.366, 12.367) 戈利斯
Goehl (54.2835, 10.94036) 格尔
Goggingen (48.86123, 9.88398) 戈金根
Godenstorf (53.22855, 10.12349) 戈登斯托夫
Godenroth (50.08333, 7.48333) 戈登罗特
Goddert (50.54917, 7.74694) 戈德特
Goeda (51.178, 14.31951) 戈达
Gocklingen (49.16194, 8.04139) 戈克林根
Gochsheim (50.01667, 10.28333) 戈克斯海姆
Goch (51.67873, 6.15895) 戈赫
Gnutz (54.13333, 9.81667) 格努茨
Gnotzheim (49.05978, 10.71274) 格诺茨海姆
Gnoien (53.9687, 12.71099) 格诺因
Gnarrenburg (53.38333, 9) 格纳伦堡
Gnadau (51.97691, 11.77948) 格纳道
Gmund am Tegernsee (47.75119, 11.7381) 特根湖畔格蒙德
Gluesing (54.28333, 9.21667) 格吕辛
Glueckstadt (53.78893, 9.42576) 格吕克施塔特
Gluecksburg (54.83503, 9.55218) 格吕克斯堡
Glowe (54.56911, 13.4655) 格洛韦
Glott (48.5, 10.48333) 格洛特
Gloethe (51.91, 11.67471) 格洛特
Glonn (47.98751, 11.86721) 格隆
Glindenberg (52.23857, 11.68361) 格林登贝格
Glinde (53.5441, 10.20048) 格林德
Gliesmarode (52.27892, 10.55726) 格利斯马罗德
Glienicke (52.63353, 13.32564) 格利尼克
Glewitz (54.02033, 12.92456) 格莱维茨
Gleisweiler (49.24222, 8.06944) 格莱斯魏勒
Gleissenberg (49.31667, 12.73333) 格莱森贝格
Gleiritsch (49.49731, 12.31518) 格莱里奇
Gleina (51.25801, 11.72028) 格莱纳
Gleichamberg (50.37068, 10.59822) 格莱希安贝格
Glees (50.43333, 7.25) 格莱斯
Glebitzsch (51.59639, 12.19138) 格莱比茨
Glauchau (50.81987, 12.54493) 格劳豪
Glauburg (50.31667, 9) 格劳堡
Glaubitz (51.32498, 13.37817) 格劳比茨
Glatten (48.44246, 8.51116) 格拉特
Glattbach (50.0076, 9.1499) 格拉特巴赫
Glasin (53.91206, 11.73658) 格拉辛
Glashutten (50.21667, 8.4) 格拉斯胡滕
Glashuette (50.85196, 13.77977) 格拉斯胡特
Glasehausen (51.44224, 10.15205) 格拉塞豪森
Glasau (54.05, 10.51667) 格拉绍
GlanMunchweiler (49.47222, 7.44204) 格兰明希魏勒
Glandorf (52.08474, 7.99944) 格兰多夫
Gladenbach (50.76847, 8.58085) 格拉登巴赫
Gladbeck (51.57077, 6.98593) 格拉德贝克
Gladbach (49.93333, 6.76667) 格拉德巴赫
