Gamstaedt (50.949, 10.88504) 甘斯塔特
Gammertingen (48.2524, 9.22349) 甘默廷根
Gammelshausen (48.64023, 9.65072) 甘梅尔斯豪森
Gammelsdorf (48.55, 11.95) 甘梅尔斯多夫
Gammelby (54.50049, 9.79298) 甘梅尔比
Gamlen (50.23333, 7.2) 甘伦
Gallmersgarten (49.45, 10.26667) 加尔默斯加滕
Gallin (53.5099, 12.1241) 加林
Galenberg (50.43333, 7.2) 加伦贝格
Gaissach (47.75, 11.58333) 盖萨赫
Gaimersheim (48.80705, 11.36801) 盖默尔斯海姆
Gailingen (47.69711, 8.75567) 盖林根
Gaildorf (49.00027, 9.76953) 盖尔多夫
Gaienhofen (47.68333, 8.98333) 盖恩霍芬
Gaiberg (49.36639, 8.74972) 盖贝格
Gahlenz (50.82566, 13.21122) 加伦茨
Gaggenau (48.8, 8.33333) 加格瑙
Gaegelow (53.68558, 11.89639) 盖格洛
Gadheim (49.84584, 9.90566) 加德海姆
Gadeland (54.05562, 10.02547) 加德兰
Gadebusch (53.70137, 11.11676) 加德布施
Gackenbach (50.36667, 7.86667) 加肯巴赫
Gachenbach (48.5, 11.23333) 加亨巴赫
Gabsheim (49.82778, 8.17611) 加布斯海姆
Gablingen (48.45, 10.81667) 加布林根
Gablenz (51.53333, 14.66667) 加布伦茨
Bad Fussing (48.351, 13.312) 巴特富兴
Fussgonheim (49.46111, 8.29222) 富斯贡海姆
Fuessen (47.57143, 10.70171) 富森
Furtwangen (48.05156, 8.20715) 富特旺根
Furth im Wald (49.30955, 12.84156) 福尔特森林
Furthen (50.78333, 7.66667) 富尔滕
Furth (49.47593, 10.98856) 福尔特
Furstenzell (48.52163, 13.31749) 富尔斯滕采尔
Fuerstenwalde (52.36067, 14.06185) 富尔斯滕瓦尔德
Furstenstein (48.71667, 13.33333) 富尔斯滕施泰因
Fuerstenhausen (49.24075, 6.86817) 富尔斯滕豪森
Fuerstenfeldbruck (48.17904, 11.2547) 富尔斯滕费尔德布鲁克
Fursteneck (48.71667, 13.46667) 富尔斯滕内克
Fuerstenberg (53.18427, 13.14442) 富尔斯滕贝格
Furstenberg (51.73333, 9.4) 富尔斯滕贝格
Fuerstenau (52.51667, 7.6767) 富尔斯滕瑙
Fuerfeld (49.77737, 7.89264) 富尔费尔德
Fuenfstetten (48.83215, 10.7654) 芬夫施泰滕
Fuldatal (51.38333, 9.56667) 富尔达塔尔
Fuldabruck (51.26667, 9.48333) 富尔达布吕克
Fulda (50.55162, 9.67518) 富尔达
Fuhlsbuettel (53.63459, 10.01608) 富尔斯比特尔
Fuhlenhagen (53.57299, 10.52841) 富伦哈根
Fuhlendorf (54.36048, 12.60188) 富伦多夫
Fuchsstadt (50.10825, 9.9337) 福克斯施塔特
Fuchsmuhl (49.92265, 12.14582) 福克斯米尔
Fuchshofen (50.42832, 6.85101) 福克斯霍芬
Frucht (50.31667, 7.68333) 弗鲁赫特
Frose (51.79581, 11.37914) 弗罗泽
Frontenhausen (48.54628, 12.53118) 弗龙滕豪森
Fronhofen (49.98333, 7.46667) 弗龙霍芬
Fronhausen (50.7, 8.7) 弗龙豪森
Froendenberg (51.47563, 7.76946) 弗伦登贝格
Froemmstedt (51.26114, 11.0401) 弗伦姆施泰特
Frohnsdorf (50.94248, 12.57868) 弗罗恩斯多夫
Frohnhofen (49.45384, 7.29939) 弗罗恩霍芬
Frohnau (52.63336, 13.29024) 弗罗瑙
Frohburg (51.05719, 12.55746) 弗罗堡
Fritzlar (51.13181, 9.27557) 弗里茨拉尔
Frittlingen (48.12709, 8.70774) 弗里特林根
Friolzheim (48.83333, 8.83333) 弗里奥尔茨海姆
Friesoythe (53.0226, 7.85764) 弗里索伊特
Friesenried (47.87477, 10.53464) 弗里森里德
Friesenheim (49.83639, 8.25694) 弗里森海姆
Friesenhagen (50.90377, 7.80961) 弗里森哈根
Friesdorf (50.69608, 7.12874) 弗里斯多夫
Friesack (52.73764, 12.57969) 弗里萨克
Friemar (50.97702, 10.78851) 弗里马尔
Frielendorf (50.97073, 9.32269) 弗里伦多夫
Friedrichswerth (50.99409, 10.54469) 弗里德里希斯韦特
Friedrichswalde (53.02919, 13.70682) 弗里德里希斯瓦尔德
Friedrichsthal (49.32786, 7.09622) 弗里德里希斯塔尔
Friedrichstadt (51.06047, 13.70787) 弗里德里希施塔特
Friedrichsruhe (53.52766, 11.75125) 弗里德里希斯鲁厄
Friedrichsort (54.394, 10.176) 弗里德里希斯奥特
Friedrichskoog (54.01667, 8.91667) 弗里德里希斯科格
Friedrichsholm (54.30172, 9.42732) 弗里德里希斯霍尔姆
Friedrichshagen (52.45052, 13.62463) 弗里德里希斯哈根
