Fridolfing (47.99773, 12.82628) 弗里多尔芬
Frickingen (47.81438, 9.27349) 弗里金根
Frickenhausen (48.59353, 9.36005) 弗里肯豪森
Freyung (48.80952, 13.54768) 弗赖永
Freystadt (49.20007, 11.33032) 弗赖施塔特
Freyburg (51.21362, 11.76804) 弗赖堡
Freudental (49.00972, 9.05917) 弗罗伊登塔尔
Freudenstadt (48.46695, 8.41371) 弗罗伊登施塔特
Freudenburg (49.54348, 6.53292) 弗罗伊登堡
Freudenberg (50.89741, 7.87415) 弗罗伊登贝格
Fretterode (51.31667, 10) 弗雷特罗德
Frettenheim (49.75972, 8.24472) 弗雷滕海姆
Frestedt (54.03333, 9.18333) 弗雷斯特德
Fresendelf (54.39375, 9.24688) 弗雷森德尔夫
Fresenburg (52.88333, 7.3) 弗雷森堡
Freren (52.487, 7.54313) 弗雷伦
Frensdorf (49.81667, 10.86667) 弗伦斯多夫
Fremdingen (48.97241, 10.45754) 弗伦丁根
Frelsdorf (53.49131, 8.8991) 弗雷尔斯多夫
Frellstedt (52.20571, 10.91543) 弗雷尔施泰特
Freital (51.00166, 13.6488) 弗赖塔尔
Freistatt (52.62296, 8.65225) 弗赖施塔特
Freising (48.40351, 11.74876) 弗赖辛
Freisen (49.55, 7.25) 弗赖森
Freisbach (49.27167, 8.27194) 弗赖斯巴赫
Freirachdorf (50.58333, 7.71667) 弗赖拉赫多夫
Freinsheim (49.50649, 8.21186) 弗赖因斯海姆
Freimersheim (49.26996, 8.22359) 弗赖默斯海姆
Freilingen (50.5593, 7.83458) 弗赖林根
FreiLaubersheim (49.8, 7.9) 弗赖劳伯斯海姆
Freilassing (47.84085, 12.98114) 弗赖拉辛
Freihung (49.62134, 11.90817) 弗赖洪
Freienwill (54.72752, 9.49414) 弗赖恩维尔
Freiensteinau (50.42509, 9.40267) 弗赖恩施泰瑙
Freienorla (50.76667, 11.55) 弗赖恩奥拉
Freienhagen (51.41667, 10.05) 弗赖恩哈根
Freienbessingen (51.23333, 10.76667) 弗赖恩贝辛根
Freiburg (47.9959, 7.85222) 弗赖堡
Freiburg/Elbe (53.82364, 9.28537) 弗赖堡/易北河
Freiberg am Neckar (48.93196, 9.2024) 弗赖贝格安内卡
Freiberg (50.91089, 13.33881) 弗赖贝格
Freialdenhoven (50.92803, 6.24882) 弗赖阿尔登霍芬
Fredesdorf (53.87584, 10.19693) 弗雷德斯多夫
Freden (51.92771, 9.8935) 弗雷登
Fredeburg (53.66667, 10.71667) 弗雷德堡
Bad Fredeburg (51.1893, 8.30978) 巴德弗雷德堡
Freckleben (51.70192, 11.54647) 弗雷克莱本
Freckenfeld (49.065, 8.11389) 弗雷肯费尔德
Frechen (50.91485, 6.8118) 弗雷兴
Fraureuth (50.7, 12.35) 弗劳罗伊特
Fraunberg (48.36667, 12) 弗劳恩贝格
Frauenwald (50.5843, 10.85841) 弗劳恩瓦尔德
Frauensee (50.87786, 10.14175) 弗劳恩塞
Frauenpriessnitz (51.01667, 11.73333) 弗劳恩普里斯尼茨
Frauenneuharting (48.03873, 12.0478) 弗劳恩诺伊哈廷
Frauendorf (51.41484, 13.76961) 弗劳恩多夫
Frauenau (48.98895, 13.30067) 弗劳恩瑙
Frasdorf (47.80376, 12.28512) 弗拉斯多夫
Franzenheim (49.68333, 6.68333) 弗兰岑海姆
Franzburg (54.18501, 12.8821) 弗兰茨堡
Frankweiler (49.22778, 8.05806) 弗兰克魏勒
Francop (53.50786, 9.84774) 弗兰科普
Frankleben (51.31144, 11.92932) 弗兰克莱本
FrankischCrumbach (49.74611, 8.85861) 弗兰肯克鲁姆巴赫
Frankfurt am Main (50.11552, 8.68417) 美因河畔法兰克福
Frankfurt (Oder) (52.34714, 14.55062) 奥得河畔法兰克福
Frankenwinheim (49.88733, 10.31432) 弗兰肯温海姆
Frankenthal (49.53414, 8.35357) 弗兰肯塔尔
Frankenstein (50.90064, 13.20933) 弗兰肯施泰因
Frankenroda (51.1, 10.28333) 弗兰肯罗达
Frankenheim (50.54452, 10.06828) 弗兰肯海姆
Frankenhain (50.7566, 10.78769) 弗兰肯海因
Frankenfeld (52.7684, 9.42987) 弗兰肯费尔德
Frankeneck (49.37639, 8.04861) 弗兰克内克
Frankendorf (50.96667, 11.45) 弗兰肯多夫
Frankenberg (51.0589, 8.80077) 弗兰肯贝格
Frankenau (51.09269, 8.93447) 弗兰肯瑙
Frankelbach (49.53333, 7.63333) 弗兰克尔巴赫
Frammersbach (50.06468, 9.46888) 弗拉默斯巴赫
Framersheim (49.75806, 8.17417) 弗拉默斯海姆
Forstmehren (50.7, 7.53333) 福斯特梅伦
Forstinning (48.16866, 11.91244) 福斯廷宁
Forstern (48.18343, 11.97716) 福斯特恩
Forst (51.73544, 14.63971) 福斯特
Foeritz (50.34174, 11.2318) 福里茨
Forheim (48.76667, 10.45) 福尔海姆
Foerderstedt (51.89717, 11.63349) 福尔德施泰特
Forchtenberg (49.28867, 9.56026) 福尔赫滕贝格
Forchheim (49.71754, 11.05877) 福尔希海姆
Forbach (49.18848, 6.89255) 福尔巴赫
FohrenLinden (49.58333, 7.28333) 福伦林登
Foehren (49.85929, 6.7648) 福伦
FohrdenBarl (53.92803, 9.78702) 福尔登巴尔
Fockendorf (51.05, 12.46667) 福肯多夫
Fockelberg (49.53333, 7.48333) 福克尔贝格
Fockbek (54.3, 9.6) 福克贝克
Fluterschen (50.6665, 7.62711) 弗卢特申
Flussbach (50.01667, 6.93333) 弗卢斯巴赫
Flossenburg (49.73333, 12.35) 弗洛森堡
Floss (49.72395, 12.27593) 弗洛斯
