Ebensfeld (50.0664, 10.95835) 埃本斯费尔德
Ebelsbach (49.98572, 10.67442) 埃贝尔斯巴赫
Ebeleben (51.28283, 10.72999) 埃贝莱本
Duevier (54.01549, 13.06858) 杜维尔
Duvenstedt (53.70806, 10.10444) 杜文施泰特
Duvensee (53.7, 10.56667) 杜文塞
Dusslingen (48.45357, 9.05552) 杜斯林根
Duesseldorf (51.22172, 6.77616) 杜塞尔多夫
Durrwangen (49.10778, 10.385) 杜尔旺根
Duerrroehrsdorf (51.03395, 13.99718) 杜尔勒尔斯多夫
Duerrlewang (48.71838, 9.11792) 杜尔勒旺
Durrlauingen (48.46666, 10.4286) 杜尔劳因根
Duerrhennersdorf (51.04863, 14.60383) 杜尔亨讷斯多夫
Duerrenbuechig (49.0209, 8.64774) 杜伦比希希
Durnau (48.64079, 9.63544) 杜尔瑙
Durmersheim (48.93333, 8.26667) 杜尔默斯海姆
Durmentingen (48.11667, 9.53333) 杜尔门廷根
Durlangen (48.85632, 9.79654) 杜尔朗根
Dueren (50.80434, 6.49299) 杜伦
Durchhausen (48.03973, 8.67492) 杜尔豪森
Duerboslar (50.90498, 6.25534) 杜尔博斯拉尔
Durbheim (48.05623, 8.79344) 杜尔布海姆
Durbach (48.49352, 8.01736) 杜尔巴赫
Durach (47.6944, 10.34449) 杜拉赫
Duppach (50.26667, 6.56667) 杜帕赫
Dunzweiler (49.41586, 7.30548) 邓茨魏勒
Dunum (53.6, 7.65) 杜努姆
Dunsum (54.73126, 8.42488) 邓苏姆
Duensen (52.92749, 8.64191) 邓森
Dunningen (48.21242, 8.50619) 邓宁根
Duengenheim (50.26062, 7.16523) 邓根海姆
Dunfus (50.21667, 7.23333) 邓富斯
Dumpelfeld (50.43333, 6.95) 邓佩尔费尔德
Dummerstorf (54.01484, 12.22821) 杜默斯托夫
Duemmer (53.57629, 11.20497) 杜默尔
Duelmen (51.83149, 7.28075) 杜尔门
Duingen (52.00449, 9.69578) 杜因根
Duggendorf (49.11667, 11.91667) 杜根多夫
Duderstadt (51.51312, 10.25951) 杜德施塔特
Dudenhofen (49.31861, 8.38861) 杜登霍芬
Duedenbuettel (53.5904, 9.35004) 杜登比特尔
Dudeldorf (49.97494, 6.63724) 杜德尔多夫
Duchroth (49.78333, 7.73333) 杜赫罗特
Ducherow (53.76436, 13.78216) 杜赫罗
Duchelsdorf (53.73333, 10.56667) 杜赫尔斯多夫
Druebeck (51.8582, 10.71839) 德吕贝克
Droyssig (51.04247, 12.0259) 德罗伊西希
Drossdorf (51.00836, 12.12136) 德罗斯多夫
Drosa (51.81607, 11.90575) 德罗萨
Drolshagen (51.02358, 7.77355) 德罗尔斯哈根
Drohndorf (51.71688, 11.53136) 德罗恩多夫
Drognitz (50.58792, 11.57229) 德罗格尼茨
Drogen (50.91667, 12.31667) 德罗根
Drochtersen (53.71015, 9.38463) 德罗赫特森
Droebischau (50.62976, 11.07302) 德勒比绍
Driftsethe (53.38333, 8.61667) 德里夫特塞特
Driedorf (50.63333, 8.18333) 德里多夫
Drestedt (53.33047, 9.75736) 德雷斯特
Dresden (51.05089, 13.73832) 德累斯顿
Dreschvitz (54.40315, 13.29414) 德雷施维茨
Drentwede (52.74388, 8.56504) 德伦特韦德
Drensteinfurt (51.79535, 7.73815) 德伦施泰因富尔特
Drelsdorf (54.60548, 9.04449) 德雷尔斯多夫
Dreitzsch (50.74148, 11.79694) 德赖茨
Dreisen (49.60333, 8.01056) 德赖森
Dreisbach (50.61667, 7.93333) 德赖斯巴赫
Dreis (49.9409, 6.81845) 德赖斯
Dreileben (52.12805, 11.33152) 德赖莱本
Dreifelden (50.59139, 7.83611) 德赖费尔登
Dreierwalde (52.33194, 7.50333) 德赖尔瓦尔德
Dreieich (50.01997, 8.69611) 德赖艾希
Drehnow (51.86667, 14.36667) 德雷瑙
Dreggers (53.88333, 10.35) 德雷格斯
Dreetz (52.80297, 12.45961) 德雷茨
Drees (50.35, 7) 德雷斯
Drebkau (51.65412, 14.22316) 德雷布考
Drebach (50.67583, 13.0162) 德雷巴赫
Dranske (54.63084, 13.22985) 德兰斯克
Dransfeld (51.4991, 9.76179) 德兰斯费尔德
Drangstedt (53.61359, 8.75576) 德朗施泰特
Drakenburg (52.68689, 9.21083) 德拉肯堡
Drahnsdorf (51.91667, 13.58333) 德拉恩斯多夫
Dragun (53.70792, 11.2251) 德拉贡
Drage (53.41667, 10.26667) 德拉格
Drachselsried (49.10759, 13.01185) 德拉赫塞尔斯里德
Drachhausen (51.89026, 14.31642) 德拉豪森
Dotzheim (50.07438, 8.19503) 多茨海姆
Dottesfeld (50.62317, 7.54881) 多特斯费尔德
Dotternhausen (48.22848, 8.79228) 多特恩豪森
Dotlingen (52.93333, 8.38333) 多特林根
Dossenheim (49.45028, 8.67472) 多森海姆
Doeschwitz (51.06332, 12.0566) 多施维茨
Doschnitz (50.61667, 11.23333) 多施尼茨
Dorzbach (49.38355, 9.70732) 多尔茨巴赫
Dorverden (52.85, 9.23333) 多尔费尔登
Dorum (53.6879, 8.56734) 多鲁姆
Dortmund (51.51494, 7.466) 多特蒙德
Dorth (50.15, 7.58333) 多尔特
Dorsten (51.66166, 6.96514) 多尔斯滕
Dorstadt (52.1, 10.56667) 多尔施塔特
