Buttenwiesen (48.6, 10.71667) 布滕维森
Buttenheim (49.80365, 11.03002) 布滕海姆
Buttelstedt (51.0765, 11.34353) 布特尔施泰特
Buttelborn (49.90333, 8.52333) 布特尔博恩
Buttel (53.9, 9.23333) 布特尔
Buetow (53.34553, 12.48407) 比托
Buesumer Deichhausen (54.13333, 8.88333) 比苏默代希豪森
Busum (54.13398, 8.85756) 比苏姆
Buesnau (48.75057, 9.08273) 比斯瑙
Busingen (47.69638, 8.68759) 比辛根
Busenwurth (54.04124, 9.03774) 布森沃特
Busenhausen (50.71571, 7.63353) 布森豪森
Busenberg (49.13024, 7.8293) 布森贝格
Busdorf (54.10345, 10.08242) 布斯多夫
Burweg (53.62475, 9.26635) 布尔韦格
Burtscheid (49.73333, 6.95) 布尔特沙伊德
Burtenbach (48.34051, 10.4528) 布尔滕巴赫
Buerstadt (49.64266, 8.45936) 布尔施塔特
Burscheid (51.08468, 7.11393) 布尔沙伊德
Burrweiler (49.24778, 8.07833) 布尔韦勒
Burow (53.77372, 13.27318) 布罗
Burladingen (48.29111, 9.11286) 布尔拉丁根
Burkhardtsdorf (50.73333, 12.91667) 布尔克哈茨多夫
Burkau (51.17579, 14.17329) 布尔考
Burkardroth (50.27125, 9.99162) 布尔卡德罗特
Burgwindheim (49.82733, 10.59631) 布尔格温德海姆
Burgwerben (51.2227, 11.98396) 布尔格韦尔本
Burgwalde (51.38333, 10.05) 布尔格瓦尔德
Burgthann (49.35202, 11.31154) 布尔格坦
Burg Stargard (53.49582, 13.31122) 布尔格斯塔加德
Burgstall (52.40849, 11.69666) 布尔格施塔尔
Burgstaedt (50.91333, 12.806) 布尔格施泰特
Burgstadt (49.71476, 9.26916) 布尔格施塔特
Burgsponheim (49.83333, 7.71667) 布尔格斯彭海姆
Burgsolms (50.54191, 8.40411) 布尔格索尔姆斯
Burgsinn (50.14968, 9.65119) 布尔格辛
Burgschwalbach (50.28333, 8.08333) 布尔格施瓦尔巴赫
Burgscheidungen (51.24718, 11.64167) 布尔格沙伊东根
Burgsalach (49.03316, 11.09766) 布尔格萨拉赫
Burgrieden (48.23333, 9.93333) 布尔格里登
Burgpreppach (50.14149, 10.64977) 布尔格普雷帕赫
Burgoberbach (49.23333, 10.58333) 布尔格奥贝巴赫
Burglengenfeld (49.20379, 12.04452) 布尔格伦根费尔德
Burglauer (50.27645, 10.17939) 布尔格劳尔
Burglahr (50.61778, 7.49688) 布尔格拉尔
Burgkunstadt (50.14093, 11.25205) 布尔格昆施塔特
Burgkemnitz (51.68379, 12.40085) 布尔格克姆尼茨
Burgk (50.55603, 11.71803) 布尔格克
Burgheim (48.70035, 11.01599) 布尔格海姆
Burghausen (48.16925, 12.83139) 布尔格豪森
Burghaun (50.69684, 9.72453) 布尔格豪恩
Burghaslach (49.73313, 10.6007) 布尔格哈斯拉赫
Burggen (47.77689, 10.81724) 布尔根
Burgen (50.21127, 7.38959) 布尔根
Buergel (50.94217, 11.75635) 比尔格尔
Burgebrach (49.82832, 10.74338) 布尔格布拉赫
Burgbrohl (50.45463, 7.2772) 布尔格布罗尔
Burgbernheim (49.45103, 10.32385) 布尔格贝恩海姆
Burgberg (47.53657, 10.28883) 布尔格贝格
Burg auf Fehmarn (54.43333, 11.2) 费马恩的布尔格
Burg (51.83448, 14.14856) 布尔格
Burg bei Magdeburg (52.27152, 11.85493) 马格德堡附近的布尔格
Bueren (51.55109, 8.55956) 比伦
Burdenbach (50.60438, 7.51637) 布尔登巴赫
Burbach (50.75105, 8.07939) 布尔巴赫
Bunsoh (54.16481, 9.31992) 布恩索
Bunsdorf (54.36667, 9.75) 布恩斯多夫
Bundorf (50.21667, 10.51667) 布恩多夫
Bundenthal (49.09549, 7.80839) 布恩登塔尔
Bundenbach (49.8428, 7.37826) 布恩登巴赫
Bunde (53.18333, 7.26667) 布恩德
Buende (52.19837, 8.58644) 比恩德
Buelzig (51.89403, 12.75551) 比尔齐希
Bulstringen (52.31667, 11.35) 布尔斯特林根
Bullenkuhlen (53.76667, 9.75) 布伦库伦
Bullay (50.05448, 7.1373) 布莱
Buelkau (53.74613, 8.97813) 比尔考
Buehren (52.80629, 8.2188) 比伦
Buehnsdorf (53.88333, 10.38333) 比恩斯多夫
Buehne (52.69102, 11.34731) 比恩
Buhlerzell (49.00333, 9.92056) 布勒策尔
Buhlertann (49.04167, 9.90861) 布勒坦
Buhlertal (48.68569, 8.18876) 布勒塔尔
Buhlenberg (49.65499, 7.11995) 布伦贝格
Buhla (51.43333, 10.43333) 布拉
Buhl (48.69676, 8.13523) 布尔
Buggingen (47.8475, 7.63799) 布金根
Bufleben (51, 10.73333) 布夫莱本
Budlich (49.78333, 6.9) 布德利希
Buedingen (50.29013, 9.1114) 比丁根
Budesheim (50.21667, 6.55) 布德斯海姆
Budenheim (50.01667, 8.16667) 布登海姆
Budenbach (50.03333, 7.56667) 布登巴赫
Buedelsdorf (54.31844, 9.67295) 比德尔斯多夫
Buckow (52.42162, 13.43613) 布科
Buckenhof (49.59324, 11.05044) 布肯霍夫
Buecken (52.77876, 9.13371) 比肯
Bueckeburg (52.26065, 9.04939) 比克堡
Buchloe (48.03719, 10.72548) 布赫洛伊
Buechlberg (48.67112, 13.521) 比赫尔贝格
