PetershausenWest (47.67411, 9.17787) 彼得斯豪森西
Ruesfort (52.59359, 7.99637) 鲁斯福特
Kronberg Tal (50.17929, 8.5037) 克龙贝格谷
Schuntersdlg  West (52.29511, 10.54182) 舒特斯德尔格西
Hauptfriedhof (52.25669, 10.55874) 主墓地
Altewiek (52.262, 10.53011) 阿尔特维克
Ruehme  Lincolnsdlg. (52.3071, 10.52032) 鲁姆林肯斯德尔格
OElper  Holz (52.2818, 10.47484) 厄尔珀霍尔茨
Petritor  West (52.26609, 10.49382) 佩特里托尔西
Siegfriedviertel (52.28854, 10.53257) 齐格弗里德区
Alt  Lehndorf (52.26856, 10.48035) 老伦多夫
Hauptbahnhof (52.24999, 10.55041) 主火车站
Am Hagenring (52.27256, 10.54213) 哈根环
Petritor  Ost (52.26841, 10.50717) 佩特里托尔东
Querum   Wabenkamp (52.29462, 10.56841) 克韦鲁姆瓦本坎普
Buergerpark (52.25142, 10.5284) 市民公园
Weinberg (52.25703, 10.47446) 葡萄山
Hohetor (52.26275, 10.51255) 霍赫托尔
Nordbahnhof (52.27924, 10.5247) 北火车站
Wilhelmitor  Sued (52.25117, 10.51133) 威廉米托尔南
Pappelberg (52.28463, 10.57363) 白杨山
Stadtkern (52.26255, 10.52062) 市中心
Schwarzer Berg (52.28989, 10.51201) 黑山
Prinzenpark (52.26525, 10.55013) 王子公园
Viewegs Garten (52.25847, 10.5381) 维韦格花园
Petritor  Nord (52.27712, 10.50161) 佩特里托尔北
Querumer Forst (52.30453, 10.56407) 克韦鲁姆森林
Ruehme  Vorwerksdlg. (52.29573, 10.52323) 鲁姆沃尔克斯德尔格
Bebelhof (52.2431, 10.54058) 贝贝尔霍夫
Zuckerberg (52.24064, 10.53279) 糖山
Wilhelmitor  Nord (52.2592, 10.49848) 威廉米托尔北
Remseck am Neckar (48.87213, 9.27334) 内卡河畔雷姆塞克
Industriegebiet (47.67583, 9.14933) 工业区
Koenigsbau (47.67995, 9.18539) 国王建筑
KelkheimMitte (50.13608, 8.45107) 凯尔克海姆中
OberurffSchiffelborn (51.03645, 9.16248) 上乌尔夫希费尔博恩
Oberzent (49.56773, 8.97371) 上森特
UEberruhrHolthausen (51.41802, 7.08487) 上鲁尔霍尔特豪森
Jahnatal (51.20038, 13.16347) 雅纳塔尔
Lemwerder (53.16281, 8.61495) 莱姆韦尔德
Tadjoura (11.78778, 42.88222) 塔朱拉
Obock (11.96693, 43.28835) 奥博克
Loyada (11.46111, 43.25278) 洛亚达
Holhol (11.31028, 42.92944) 霍尔霍尔
Dorra (12.15028, 42.47624) 多拉
Djibouti (11.58901, 43.14503) 吉布提
Dikhil (11.10454, 42.36971) 迪基尔
Arta (39.16014, 20.98561) 阿尔塔
Ali Sabih (11.15583, 42.7125) 阿里萨比赫
Alaili Dadda` (12.42167, 42.89556) 阿莱利达达
Goubetto (11.42389, 43.00028) 古贝托
Galafi (11.71583, 41.83611) 加拉菲
Chabelley (11.4895, 43.07528) 查贝莱
Vra (57.3537, 9.94176) 弗拉
Vordingborg (55.00801, 11.91057) 沃丁堡
Vorbasse (55.62992, 9.08239) 沃巴瑟
Vojens (55.24639, 9.30603) 沃延斯
Voersa (57.20788, 10.48691) 沃尔萨
Vodskov (57.10854, 10.02215) 沃德斯科夫
Vivild (56.4837, 10.44531) 维维尔
Vissenbjerg (55.38482, 10.13784) 维森比约
Virklund (56.13218, 9.55582) 维尔克伦
Vipperod (55.66768, 11.73967) 维佩罗德
Vindinge (55.62298, 12.1387) 温丁厄
Vinderup (56.48176, 8.77991) 温德鲁普
Vindeby (55.04489, 10.61309) 温德比
Vildbjerg (56.2, 8.76667) 维尔德比约
Vigerslev (55.66288, 12.48357) 维格斯勒夫
Videbaek (56.0876, 8.62852) 维德贝克
Viby (55.54872, 12.02391) 维比
Viborg (56.45319, 9.40201) 维堡
Vaeggerlose (54.71242, 11.92545) 维格勒瑟
Vestervig (56.76279, 8.31942) 维斯特维格
VesterSkerninge (55.07322, 10.45536) 维斯特斯克宁厄
Vester Hornum (56.8316, 9.3599) 维斯特霍尔努姆
Vester Hassing (57.06767, 10.12558) 维斯特哈辛
Vestbjerg (57.13166, 9.95942) 维斯特比约
Vemb (56.3423, 8.33749) 维姆
Vekso (55.75473, 12.23837) 维克瑟
Vejle (55.70927, 9.5357) 维埃勒
Vejen (55.48117, 9.13795) 维恩
Varde (55.62112, 8.48069) 瓦尔德
Vanlose (55.68361, 12.48713) 范洛瑟
Vammen (56.53062, 9.573) 瓦门
Vamdrup (55.42764, 9.28435) 瓦姆德鲁普
Vallensbaek (55.62199, 12.38511) 瓦伦斯贝克
Valby (55.66613, 12.51388) 瓦尔比
Vadum (57.1179, 9.857) 瓦杜姆
Undlose (55.60451, 11.58826) 翁德洛瑟
Ulstrup (56.38994, 9.79354) 乌尔斯特鲁普
Ullerslev (55.36172, 10.6519) 乌勒斯勒夫
Ulfborg (56.26725, 8.32167) 乌尔夫堡
Tylstrup (57.1947, 9.95308) 蒂尔斯特鲁普
Tune (55.59287, 12.16968) 图恩
Trorod (55.83946, 12.54432) 特罗罗德
Troense (55.03324, 10.64361) 特伦瑟
Trige (56.25291, 10.1484) 特里厄
Tranekaer (54.9976, 10.84381) 特兰厄凯尔
Tranebjerg (55.8326, 10.59723) 特兰比约
Tranbjerg (56.09519, 10.13605) 特兰比约
