El Affroun (36.4701, 2.62528) 艾尔阿夫伦
El Achir (36.06386, 4.62744) 艾尔阿希尔
El Abadia (36.26951, 1.68609) 艾尔阿巴迪亚
Ech Chettia (36.19591, 1.25537) 埃什谢蒂亚
Drean (36.68482, 7.75111) 德雷安
Draa Esmar (36.27354, 2.71695) 德拉埃斯马尔
Draa el Mizan (36.53628, 3.8334) 德拉埃尔米赞
Draa Ben Khedda (36.73436, 3.96223) 德拉本赫达
Douera (36.67, 2.94444) 杜埃拉
Djelfa (34.67279, 3.263) 杰尔法
Djanet (24.55528, 9.485) 贾奈特
Djamaa (33.53388, 5.99306) 贾马阿
Didouche Mourad (36.4525, 6.63639) 迪杜什穆拉德
Dellys (36.91716, 3.91311) 德利斯
Debila (33.51667, 6.95) 德比拉
Dar el Beida (36.71333, 3.2125) 达尔贝达
Dar Chioukh (34.89638, 3.48543) 达尔希乌赫
Constantine (36.365, 6.61472) 君士坦丁
Chorfa (36.36505, 4.32636) 乔尔法
Chiffa (36.46293, 2.73873) 希法
Chetouane (34.92129, -1.29512) 切图安
Cheria (35.27306, 7.75194) 谢里亚
Cherchell (36.605, 2.19083) 谢尔谢尔
Cheraga (36.76775, 2.95924) 谢拉加
Chemini (36.6, 4.61667) 谢米尼
Chelghoum el Aid (36.16286, 6.16651) 切尔古姆艾尔艾德
Chebli (36.57722, 3.00917) 切布利
Charouine (29.01497, -0.2644) 沙鲁因
Charef (34.62098, 2.79503) 沙雷夫
Chabet el Ameur (36.63709, 3.69474) 沙贝特艾尔阿梅尔
Bou Tlelis (35.57272, -0.8996) 布特莱利斯
Bou Saada (35.20855, 4.17402) 布萨阿达
Boumagueur (35.5052, 5.5525) 布马盖尔
Boumahra Ahmed (36.45833, 7.51389) 布马赫拉艾哈迈德
Boukadir (36.06629, 1.12602) 布卡迪尔
Bou Ismail (36.64262, 2.69007) 布伊斯梅尔
Bouira (36.37489, 3.902) 布伊拉
Bouinan (36.53167, 2.99194) 布伊南
Bougzoul (35.70558, 2.84599) 布格祖尔
Bougara (36.54178, 3.081) 布加拉
Bougaa (36.33293, 5.08843) 布加阿
Boufarik (36.57413, 2.91214) 布法里克
Boudouaou (36.72735, 3.40995) 布杜阿乌
Boudjima (36.80218, 4.15187) 布吉马
Bou Arfa (36.46298, 2.81464) 布阿尔法
Bordj Zemoura (36.27462, 4.85668) 博尔杰泽穆拉
Bordj Menaiel (36.74328, 3.7173) 博尔杰梅奈尔
Bordj Ghdir (35.90111, 4.89806) 博尔杰格迪尔
Bordj el Kiffan (36.74871, 3.19249) 博尔杰艾尔基凡
Bordj Bou Arreridj (36.07389, 4.76139) 博尔杰布阿雷里吉
Boghni (36.54222, 3.95306) 博格尼
Blida (36.47004, 2.8277) 布利达
Biskra (34.85038, 5.72805) 比斯克拉
Birkhadem (36.71499, 3.05002) 比尔哈德姆
Birine (35.635, 3.225) 比里内
Bir el Djir (35.72, -0.545) 比尔艾尔吉尔
Bir el Ater (34.74488, 8.06024) 比尔艾尔阿特尔
Besbes (36.70222, 7.84722) 贝斯贝斯
Berrouaghia (36.13516, 2.91085) 贝鲁阿吉亚
Berriane (32.82648, 3.76689) 贝里亚内
Berrahal (36.83528, 7.45333) 贝拉哈尔
Bensekrane (35.07465, -1.22431) 本塞克兰
Ben Mehidi (36.76967, 7.90641) 本梅希迪
Beni Tamou (36.53833, 2.82174) 贝尼塔穆
Beni Saf (35.30099, -1.38226) 贝尼萨夫
Barbouche (36.10589, 2.48185) 巴尔布什
Beni Mester (34.87045, -1.42319) 贝尼梅斯特尔
Beni Mered (36.52389, 2.86131) 贝尼梅雷德
Beni Douala (36.61954, 4.08282) 贝尼杜阿拉
Beni Amrane (36.66774, 3.59115) 贝尼阿姆兰
Beni Abbes (30.13306, -2.16611) 贝尼阿巴斯
Bouda (28.00329, -0.42381) 布达
Bejaia (36.75587, 5.08433) 贝贾亚
Bechar (31.61667, -2.21667) 贝沙尔
Batna City (35.55597, 6.17414) 巴特纳市
Barika (35.38901, 5.36584) 巴里卡
Barbacha (36.56667, 4.96667) 巴尔巴查
Baraki (36.66655, 3.09606) 巴拉基
Bab Ezzouar (36.72615, 3.18291) 巴卜埃祖瓦尔
Azzaba (36.73944, 7.10528) 阿扎巴
Azazga (36.74472, 4.37222) 阿扎兹加
Arzew (35.85048, -0.318) 阿尔泽乌
Arris (35.25881, 6.34706) 阿里斯
Arhribs (36.79361, 4.31158) 阿赫里布斯
Arbatache (36.63773, 3.37127) 阿尔巴塔什
Aoulef (26.96667, 1.08333) 奥莱夫
Aougrout (28.70289, 0.33519) 奥格鲁特
Annaba (36.9, 7.76667) 安纳巴
Ammi Moussa (35.86781, 1.11143) 阿米穆萨
Amizour (36.64022, 4.90131) 阿米祖尔
Algiers (36.73225, 3.08746) 阿尔及尔
Akbou (36.4575, 4.53494) 阿克布
Akabli (26.70828, 1.37528) 阿卡布利
Ain Touta (35.37675, 5.90001) 艾因图塔
Ain Temouchent (35.29749, -1.14037) 艾因泰穆尚特
Ain Taya (36.79333, 3.28694) 艾因塔亚
Ain Smara (36.2674, 6.50135) 艾因斯马拉
Ain Sefra (32.75, -0.58333) 艾因塞夫拉
Ain Oussera (35.45139, 2.90583) 艾因乌塞拉
Ain Oulmene (35.92296, 5.29604) 艾因乌尔梅内
