Sierra de Luna (42.04818, -0.91025) - 月亮山脉
Sienes (41.20096, -2.65332) - 西恩斯
Sidamon (41.63333, 0.83333) - 锡达蒙
Sevilla La Nueva (40.34775, -4.02727) - 新塞维利亚
Seva (41.83831, 2.28007) - 塞瓦
Setiles (40.73419, -1.6172) - 塞蒂莱斯
Sesue (42.55131, 0.47212) - 塞苏埃
Sestrica (41.48595, -1.59501) - 塞斯特里卡
Sestao (43.30975, -3.00716) - 塞斯塔奥
Sesma (42.47748, -2.08353) - 塞斯马
Sesena (40.10473, -3.69793) - 塞塞纳
Sesa (41.99484, -0.24511) - 塞萨
Serranillos (40.33625, -4.91165) - 塞拉尼略斯
Serradilla del Llano (40.49996, -6.35701) - 拉诺的塞拉迪利亚
Serra de Daro (42.02877, 3.07222) - 达罗山
Serrada (41.45722, -4.86279) - 塞拉达
Seros (41.46667, 0.41667) - 塞罗斯
Sequeros (40.51295, -6.02495) - 塞克罗斯
Sequera de Fresno (41.3664, -3.54612) - 弗雷斯诺的塞克拉
Sepulveda (41.29695, -3.74221) - 塞普尔韦达
La Seu d'Urgell (42.35877, 1.46144) - 乌尔赫尔的拉塞乌
Seno (40.81225, -0.33816) - 塞诺
Sentmenat (41.60862, 2.13532) - 森特梅纳特
Senes de Alcubierre (41.90731, -0.48906) - 阿尔库比耶雷的塞内斯
Senan (47.91233, 3.35911) - 塞南
Sena de Luna (42.92906, -5.95267) - 月亮的塞纳
Semillas (41.05857, -3.11945) - 塞米利亚斯
Selaya (43.21376, -3.80563) - 塞拉亚
Selas (40.9515, -2.10203) - 塞拉斯
Seira (42.47696, 0.43127) - 塞拉
Segurilla (40.02386, -4.86418) - 塞古里利亚
Segura de Toro (40.22427, -5.94836) - 托罗的塞古拉
Segura de los Banos (40.94088, -0.95111) - 洛斯巴尼奥斯的塞古拉
Segura (43.00753, -2.254) - 塞古拉
Sediles (41.34613, -1.53177) - 塞迪莱斯
Sedano (42.71667, -3.75) - 塞达诺
Secastilla (42.18112, 0.26736) - 塞卡斯蒂利亚
Sebulcor (41.27091, -3.88398) - 塞布尔科尔
Sayaton (40.37635, -2.85253) - 萨亚通
Saus (42.1324, 2.97742) - 索斯
Sauquillo de Cabezas (41.19422, -4.06884) - 卡韦萨斯的索基略
Saucelle (41.04769, -6.75328) - 索塞利
Sauca (47.46667, 22.48333) - 索卡
Sastago (41.32166, -0.35075) - 萨斯塔戈
Sasamon (42.41687, -4.04288) - 萨萨蒙
Sartajada (40.2132, -4.79427) - 萨尔塔哈达
Sartaguda (42.38333, -2.05709) - 萨尔塔古达
Sarrion (40.14175, -0.81533) - 萨里翁
Sarria de Ter (42.01667, 2.83333) - 特尔的萨里亚
Sarria (41.40269, 2.1162) - 萨里亚
Sarreaus (42.08784, -7.60348) - 萨雷乌斯
Sarratella (40.31284, 0.0315) - 萨拉泰利亚
Sarracin (42.25813, -3.68608) - 萨拉辛
Saro (57.50577, 11.9321) - 萨罗
Sarinena (41.79128, -0.15804) - 萨里内纳
Sariegos (42.65, -5.63333) - 萨列戈斯
Sariego (43.4, -5.53333) - 萨列戈
Sargentes de la Lora (42.76917, -3.87278) - 洛拉的萨亨特斯
Sardon de Duero (41.60847, -4.43397) - 杜埃罗的萨尔东
Sanzoles (41.43235, -5.5671) - 桑索莱斯
San Vitero (41.7774, -6.34877) - 圣维特罗
Barakaldo (43.29639, -2.98813) - 巴拉卡尔多
Santurdejo (42.37696, -2.95437) - 桑图尔德霍
Santurtzi (43.32842, -3.03248) - 桑图尔齐
Sants (41.37426, 2.13826) - 桑茨
Santoyo (42.21473, -4.34296) - 桑托约
Santovenia (41.87857, -5.71003) - 桑托韦尼亚
San Torcuato (42.48219, -2.88923) - 圣托尔夸托
Santorcaz (40.47176, -3.23462) - 桑托尔卡斯
Santona (43.44386, -3.45757) - 桑托尼亚
Sant Just Desvern (41.38389, 2.06758) - 桑特胡斯特德斯韦恩
Sant Joan les Fonts (42.21186, 2.51291) - 圣若昂莱斯丰斯
Santiz (41.20579, -5.89654) - 桑蒂斯
Santiuste (41.08462, -2.80953) - 桑蒂乌斯特
Santiurde de Toranzo (43.23819, -3.93947) - 托兰索的桑蒂乌尔德
Santiurde de Reinosa (43.06144, -4.08351) - 雷诺萨的桑蒂乌尔德
Santiso (42.87388, -8.05497) - 桑蒂索
Santillana (43.38903, -4.10844) - 桑蒂利亚纳
SantibanezZarzaguda (42.48034, -3.78269) - 桑蒂巴涅斯萨尔萨古达
Santibanez el Bajo (40.17637, -6.22441) - 下桑蒂巴涅斯
Santibanez el Alto (40.18525, -6.54782) - 上桑蒂巴涅斯
Santibanez de Tera (41.98563, -5.92257) - 特拉的桑蒂巴涅斯
Santibanez del Val (41.97354, -3.48142) - 瓦尔的桑蒂巴涅斯
Santibanez de Ecla (42.70784, -4.37263) - 埃克拉的桑蒂巴涅斯
Santibanez de Bejar (40.48785, -5.6111) - 贝哈尔的桑蒂巴涅斯
Santiago Millas (42.38379, -6.10538) - 圣地亚哥米利亚斯
Santiago del Collado (40.43326, -5.35631) - 科拉多的圣地亚哥
DoneztebeSantesteban (43.13333, -1.66667) - 多内斯特贝桑特斯特班
Santervas de la Vega (42.50677, -4.80002) - 拉维加的桑特尔瓦斯
