Riudecanyes (41.13333, 0.96667) - 瑞乌德卡尼耶斯
Riudarenes (41.81667, 2.71667) - 瑞乌达雷内斯
Ripollet (41.49686, 2.15739) - 里波列特
Ripoll (42.20064, 2.19033) - 里波尔
Riotorto (43.343, -7.26083) - 里奥托尔托
Rios (41.97457, -7.28234) - 里奥斯
Riofrio de Aliste (41.81724, -6.17741) - 阿利斯特的里奥夫里奥
Riodeva (40.11667, -1.15) - 里奥德瓦
Rincon de Soto (42.23475, -1.85214) - 索托角
Rillo de Gallo (40.86635, -1.9374) - 加洛的里略
Rillo (40.72233, -0.99623) - 里略
Errigoiti (43.31667, -2.71667) - 埃里戈伊蒂
Riells i Viabrea (41.78333, 2.51667) - 里耶尔斯和维亚布雷亚
Riego de la Vega (42.39138, -5.98102) - 里耶戈德拉维加
Ricla (41.5058, -1.40468) - 里克拉
Ribota (41.36477, -3.42964) - 里博塔
Ribesalbes (40.01667, -0.26667) - 里贝萨尔韦斯
Riberos de la Cueza (42.27881, -4.72503) - 库埃萨的里贝罗斯
Ribeira (42.73809, -8.44106) - 里韦拉
Ribatejada (40.6642, -3.38976) - 里巴特哈达
Luintra (42.40964, -7.72682) - 卢因特拉
Ribes de Freser (42.30417, 2.16757) - 弗雷塞尔的里贝斯
Ribas de Campos (42.15249, -4.51649) - 坎波斯的里巴斯
Ribaforada (41.99814, -1.51272) - 里巴福拉达
Ribafrecha (42.35539, -2.39) - 里巴弗雷查
Ribadumia (42.51667, -8.75) - 里巴杜米亚
Ribadesella (43.46145, -5.05955) - 里瓦德塞利亚
Riba de Saelices (40.91145, -2.29715) - 萨埃利塞斯的里巴
Ribadeo (43.53704, -7.04095) - 里瓦德奥
Ribadavia (42.28804, -8.14362) - 里瓦达维亚
Riaza (41.27826, -3.47787) - 里亚萨
Rianu (43.32805, -5.71838) - 里亚努
Riano (42.09347, 12.51462) - 里亚诺
Rianxo (42.64977, -8.81763) - 里安霍
Reznos (41.5909, -2.02779) - 雷斯诺斯
Rezmondo (42.51565, -4.23877) - 雷斯蒙多
Reyero (42.94882, -5.19892) - 雷耶罗
Revillarruz (42.23006, -3.65246) - 雷维利亚鲁斯
Revilla del Campo (42.21081, -3.54289) - 坎波的雷维利亚
Revilla de Collazos (42.6296, -4.50343) - 科利亚索斯的雷维利亚
Revenga de Campos (42.28401, -4.48218) - 坎波斯的雷文加
Revellinos (41.88982, -5.56871) - 雷韦利诺斯
Reus (41.15612, 1.10687) - 雷乌斯
Retuerta (42.02945, -3.50679) - 雷图尔塔
Retortillo de Soria (41.31092, -2.98228) - 索里亚的雷托尔蒂略
Retortillo (40.80132, -6.35951) - 雷托尔蒂略
Retiendas (40.96835, -3.27229) - 雷蒂恩达斯
Retascon (41.1435, -1.38376) - 雷塔斯孔
Respenda de la Pena (42.76512, -4.6854) - 佩尼亚的雷斯彭达
Requena de Campos (42.30796, -4.34304) - 坎波斯的雷克纳
Requejo (42.03044, -6.74227) - 雷克霍
Reocin (43.33915, -4.09403) - 雷奥辛
Errenteria (43.31195, -1.90234) - 埃伦特里亚
Renieblas (41.82009, -2.37236) - 雷涅布拉斯
Renera (40.48976, -3.01367) - 雷内拉
Renedo de la Vega (42.45348, -4.70298) - 维加的雷内多
Renau (41.22448, 1.31083) - 雷瑙
Remondo (45.23965, 8.80418) - 雷蒙多
Remolinos (41.83946, -1.17768) - 雷莫利诺斯
Rello (41.33297, -2.74925) - 雷略
Reinoso de Cerrato (41.97624, -4.38337) - 塞拉托的雷诺索
Reinoso (42.50915, -3.38466) - 雷诺索
Reinosa (42.99959, -4.13801) - 雷诺萨
Regueras de Arriba (42.29414, -5.85958) - 阿里巴的雷格拉斯
Errezil (43.16505, -2.17395) - 埃雷西尔
Regencos (41.95271, 3.17006) - 雷亨科斯
Reduena (40.81685, -3.59837) - 雷杜埃纳
Redondela (42.28337, -8.6096) - 雷东德拉
Redecilla del Campo (42.46675, -3.11531) - 坎波的雷德西利亚
Redecilla del Camino (42.43804, -3.06547) - 卡米诺的雷德西利亚
Recuerda (41.47408, -2.9946) - 雷库埃尔达
Recas (45.79889, 21.50083) - 雷卡斯
Rebollo (41.19318, -3.85771) - 雷沃略
Rasueros (41.02344, -5.07377) - 拉苏埃罗斯
Rasquera (41.00267, 0.59967) - 拉斯克拉
Rasines (43.30505, -3.42919) - 拉西内斯
Rascafria (40.90407, -3.87898) - 拉斯卡夫里亚
Rapariegos (41.09498, -4.65271) - 拉帕列戈斯
Ranon (43.55362, -6.06487) - 拉农
Ramiro (41.22845, -4.78608) - 拉米罗
Rajadell (41.72802, 1.70621) - 拉哈德尔
Rairiz de Veiga (42.08364, -7.83503) - 维加的拉伊里斯
Ragama (40.99768, -5.12724) - 拉加马
Rafales (40.8377, 0.01923) - 拉法莱斯
Rabos (42.3789, 3.02828) - 拉博斯
Rabe de las Calzadas (42.34065, -3.83414) - 卡尔萨达斯的拉韦
Rabanos (42.31971, -3.27029) - 拉瓦诺斯
Rabano de Aliste (41.7443, -6.43302) - 阿利斯特的拉瓦诺
Rabano (41.53314, -4.06214) - 拉瓦诺
Rabanera del Pinar (41.89375, -3.19665) - 皮纳尔的拉瓦内拉
Rabanera (42.18955, -2.48654) - 拉瓦内拉
Rabanales (41.74287, -6.27674) - 拉瓦纳莱斯
Rabade (43.117, -7.61714) - 拉瓦德
Quismondo (40.10533, -4.32394) - 基斯蒙多
Quinto (41.42378, -0.49592) - 金托
Quintela de Leirado (42.13967, -8.10126) - 莱拉多的金特拉
QuintanillaVivar (42.41585, -3.68849) - 金塔尼利亚维瓦尔
Quintanilla de Urz (42.0329, -5.84866) - 乌尔斯的金塔尼利亚
Quintanilla del Olmo (41.90561, -5.40726) - 奥尔莫的金塔尼利亚
Quintanilla del Coco (41.98333, -3.51667) - 可可的金塔尼利亚
