Moeche (43.55, -8.01667) 莫埃切
Mochales (41.09647, -2.0156) 莫查莱斯
Mironcillo (40.55435, -4.82449) 米龙西略
Miravet (41.0393, 0.59665) 米拉韦特
Miraveche (42.67396, -3.19947) 米拉韦切
Miranda del Castanar (40.48448, -5.99581) 卡斯塔纳尔的米兰达
Miranda de Ebro (42.6865, -2.94695) 埃布罗的米兰达
Miranda de Azan (40.88752, -5.68182) 阿赞的米兰达
Miranda de Arga (42.48337, -1.82759) 阿尔加的米兰达
Mirambel (40.58733, -0.34266) 米兰贝尔
Miralrio (40.88901, -2.9434) 米拉尔里奥
Miralcamp (41.60516, 0.87987) 米拉尔坎普
Mirafuentes (42.62297, -2.27966) 米拉富恩特斯
Mirabueno (40.94479, -2.72438) 米拉布埃诺
Mino de San Esteban (41.53584, -3.34579) 圣埃斯特万的米诺
Mino (35.53333, 136.91667) 美浓
Mingorria (40.75192, -4.66583) 明戈里亚
Milmarcos (41.08622, -1.87652) 米尔马科斯
Millana (40.50717, -2.57116) 米利亚纳
Milagros (12.21814, 123.50951) 米拉格罗斯
Mijares (40.29655, -4.83651) 米哈雷斯
Miguelanez (41.12155, -4.3641) 米格拉内斯
Mieza (41.16424, -6.69137) 米耶萨
Mieres (43.25, -5.76667) 米耶雷斯
Miengo (43.42861, -3.99866) 米恩戈
Miedes de Atienza (41.26672, -2.96375) 阿蒂恩萨的米耶德斯
Micieces de Ojeda (42.69078, -4.46166) 奥赫达的米谢塞斯
Micereces de Tera (41.98886, -5.87133) 特拉的米塞雷塞斯
Mianos (42.58544, -0.95478) 米亚诺斯
Mezquita de Jarque (40.721, -0.867) 哈尔克的梅斯基塔
Mezalocha (41.42581, -1.08276) 梅萨洛查
Metauten (42.67714, -2.13015) 梅陶滕
Mesones de Isuela (41.55119, -1.53858) 伊苏埃拉的梅索内斯
Mesia (43.1, -8.26667) 梅西亚
Mesegar de Corneja (40.50209, -5.30131) 科尔内哈的梅塞加尔
Mentrida (40.23899, -4.19337) 门特里达
Mengamunoz (40.50006, -4.99983) 门加穆尼奥斯
Meneses de Campos (41.94142, -4.91927) 坎波斯的梅内塞斯
Mendigorria (42.62822, -1.8345) 门迪戈里亚
Mendavia (42.44335, -2.20087) 门达维亚
Mendaro (43.25326, -2.38568) 门达罗
Menarguens (41.73333, 0.75) 梅纳尔根斯
Membrillera (40.94807, -2.97969) 梅姆布里列拉
Membibre de la Hoz (41.44958, -4.09571) 拉奥斯的门比夫雷
Melque de Cercos (41.05166, -4.46944) 塞尔科斯的梅尔克
Melon (42.26016, -8.214) 梅隆
Melida (42.35869, -1.54888) 梅利达
Melgar de Yuso (42.25381, -4.25394) 尤索的梅尔加尔
Melgar de Tera (41.96618, -6.0139) 特拉的梅尔加尔
Melgar de Arriba (42.26806, -5.09712) 阿里巴的梅尔加尔
Melgar de Abajo (42.24344, -5.14216) 阿巴霍的梅尔加尔
Mejorada del Campo (40.39283, -3.48194) 坎波的梅霍拉达
Mejorada (40.00991, -4.88506) 梅霍拉达
Meis (42.5, -8.75) 梅伊斯
Meira (43.21337, -7.29372) 梅拉
Megina (40.63911, -1.87041) 梅希纳
Megeces (41.40828, -4.56166) 梅赫塞斯
Medrano (42.38361, -2.55394) 梅德拉诺
Medranda (40.98333, -2.93719) 梅德兰达
Mediona (41.47798, 1.61222) 梅迪奥纳
Medinilla (40.43967, -5.61772) 梅迪尼利亚
Medina de Rioseco (41.88327, -5.04405) 里奥塞科的梅迪纳
Medina de Pomar (42.92938, -3.48804) 波马尔的梅迪纳
Medina del Campo (41.31239, -4.91413) 坎波的梅迪纳
Medinaceli (41.17224, -2.43476) 梅迪纳塞利
Mediana de Voltoya (40.70104, -4.56341) 沃尔托亚的梅迪亚纳
Mediana (41.46668, -0.70579) 梅迪亚纳
Meco (40.55274, -3.32894) 梅科
Mecerreyes (42.09536, -3.57393) 梅塞雷耶斯
Meano (42.44661, -8.78122) 梅亚诺
Mazuela (42.20767, -3.9192) 马苏埃拉
Mazuecos (40.2602, -3.00755) 马苏埃科斯
Mazariegos (42.02691, -4.71542) 马萨列戈斯
Mazaricos (42.94033, -8.97187) 马萨里科斯
