Ayegui (42.65656, -2.03934) 艾耶圭
Aya (31.98333, 131.26667) 阿亚
AxpeSan Bartolome (43.38355, -2.69772) 阿克斯佩圣巴托洛梅
Avion (50.41038, 2.83053) 阿维翁
Avinyo (41.86367, 1.97095) 阿维尼奥
Aviles (43.55473, -5.92483) 阿维莱斯
Avila (40.65724, -4.69951) 阿维拉
Avia (42.06667, 1.85) 阿维亚
Avellanosa de Muno (41.98349, -3.82553) 穆尼奥的阿韦利亚诺萨
Urrestieta (43.22942, -3.16172) 乌雷斯蒂耶塔
Aveinte (40.78227, -4.83649) 阿维恩特
Autol (42.21661, -2.00525) 奥托尔
Autillo de Campos (42.08725, -4.83376) 坎波斯的奥蒂略
Autilla del Pino (41.99207, -4.63393) 皮诺的奥蒂利亚
Ausejo de la Sierra (41.89462, -2.37394) 拉谢拉的奥塞霍
Ausejo (42.3421, -2.1671) 奥塞霍
Aunon (40.51752, -2.7925) 奥农
Aulesti (43.3, -2.56667) 奥莱斯蒂
Atienza (41.19722, -2.87129) 阿蒂恩萨
Ateca (41.33092, -1.79353) 阿特卡
Atea (41.16059, -1.55533) 阿特亚
Ataun (43.00612, -2.17663) 阿塔恩
Ataquines (41.18247, -4.80319) 阿塔基内斯
Atapuerca (42.37757, -3.5079) 阿塔普尔卡
Asturianos (42.05201, -6.4894) 阿斯图里亚诺斯
Astudillo (42.1933, -4.29394) 阿斯图迪略
Astigarraga (43.28174, -1.94634) 阿斯蒂加拉加
Asteasu (43.19436, -2.09818) 阿斯特阿苏
Aspariegos (41.67458, -5.59955) 阿斯帕列戈斯
Aspa (41.49472, 0.67277) 阿斯帕
Asco (41.18333, 0.56667) 阿斯科
Arzua (42.93333, -8.15) 阿尔苏阿
Artieda (42.58538, -0.98422) 阿尔蒂耶达
Artesa de Segre (41.89467, 1.04625) 塞格雷的阿尔特萨
Artes (41.798, 1.95428) 阿尔特斯
Arteixo (43.30482, -8.50749) 阿尔泰霍
Artazu (42.69228, -1.83954) 阿尔塔苏
Artajona (42.58867, -1.76504) 阿尔塔霍纳
Arrubal (42.43485, -2.25143) 阿鲁瓦尔
