El Cotillo (28.68264, -14.00637) 埃尔科蒂略
Los Gigantes (28.24361, -16.84153) 洛斯吉甘特斯
Los Realejos (28.38487, -16.58275) 洛斯雷亚莱霍斯
Sant Joan de Mediona (41.47862, 1.61164) 圣胡安德梅迪奥纳
Pasaia (43.3253, -1.92707) 帕萨亚
L'Entregu/El Entrego (43.28752, -5.638) 埃尔恩特雷古
El Toro (39.48477, 2.48222) 埃尔托罗
Navas de San Juan (38.18382, -3.31598) 纳瓦斯德圣胡安
Basauri (43.2397, -2.8858) 巴萨乌里
Castrillon (43.54793, -5.99381) 卡斯特里隆
Noves (43.87736, 4.90248) 诺韦斯
La Restinga (27.64134, -17.98179) 拉雷斯廷加
El Grado (42.15096, 0.22337) 埃尔格拉多
Sahun (42.5759, 0.46546) 萨洪
Sant Agusti (39.55065, 2.59741) 圣阿古斯蒂
Taberno (37.4688, -2.07736) 塔贝尔诺
Llefia (41.43806, 2.2195) 列菲亚
Stadtzentrum (28.1272, -15.4314) 市中心
Las Caldas (43.33304, -5.92052) 拉斯卡尔达斯
Corvera de Asturias (43.53554, -5.88893) 科尔韦拉德阿斯图里亚斯
Vega del Codorno (40.42457, -1.91312) 维加德尔科多尔诺
els Poblets (38.85381, 0.02103) 埃尔斯波布莱茨
Tres Cantos (40.60092, -3.70806) 特雷斯坎托斯
Castellar del Riu (42.12299, 1.77378) 卡斯特利亚尔德尔里乌
Senterada (42.32549, 0.93641) 森特拉达
Mendexa (43.3459, -2.4842) 门德克萨
Capolat (42.0772, 1.75352) 卡波拉特
Totalan (36.76526, -4.29707) 托塔兰
Jete (36.79691, -3.6672) 赫特
Atanzon (40.66697, -2.99686) 阿坦松
Etxebarria (43.25414, -2.47776) 埃切巴里亚
Bakio (43.42917, -2.80881) 巴基奥
Iturrama (42.80847, -1.65825) 伊图拉马
Ermitagana (42.81084, -1.66409) 埃尔米塔加纳
Primer Ensanche (42.81483, -1.64898) 普里梅尔恩桑切
Segundo Ensanche (42.8139, -1.64295) 塞贡多恩桑切
San Tirso de Abres (43.40873, -7.14317) 圣蒂尔索德阿布雷斯
FuencarralEl Pardo (40.4984, -3.7314) 丰卡拉尔埃尔帕尔多
Villa de Vallecas (40.36695, -3.60146) 巴列卡斯别墅
Sa Rapita (39.36536, 2.94193) 萨拉皮塔
Moriles (37.4367, -4.60761) 莫里莱斯
Soto de Vinuelas (40.61017, -3.68875) 索托德维努埃拉斯
Natahoyo (43.54035, -5.68233) 纳塔霍约
Castroviejo (42.32938, -2.66122) 卡斯特罗维耶霍
Daroca de Rioja (42.37115, -2.58187) 里奥哈达罗卡
Son Ferrer (39.49666, 2.50102) 桑费雷尔
Es Cubells (38.88108, 1.27235) 埃斯库贝尔斯
Balmori (43.42394, -4.83403) 巴尔莫里
Liendo (43.4008, -3.37029) 列恩多
Villanova (41.96357, 12.75633) 维拉诺瓦
Gordexola (43.1786, -3.076) 戈尔德索拉
Lierganes (43.34614, -3.74668) 列尔加内斯
Sant Julia de Ramis (42.02932, 2.85338) 圣胡利亚德拉米斯
Olivenza (38.68269, -7.10046) 奥利文萨
Muxika (43.28905, -2.68937) 穆希卡
Llanos del Caudillo (39.11797, -3.3516) 卡乌迪略平原
Costacabana (36.83807, -2.38111) 科斯塔卡巴纳
Castellnou de Bages (41.83444, 1.83721) 卡斯特尔诺乌德巴赫斯
La Pobla de Farnals (39.56571, -0.28425) 拉波布拉德法纳尔斯
Callus (41.78146, 1.78401) 卡尤斯
Ubide (43.02396, -2.68759) 乌比德
Valdezorras (37.42939, -5.92629) 瓦尔德索拉斯
La Gangosa Vistasol (36.80581, -2.62174) 拉甘戈萨维斯塔索尔
FontRubi (41.4343, 1.59096) 丰特鲁比
Balanegra (36.74886, -2.9097) 巴拉内格拉
Tietar (40.02945, -5.48192) 蒂塔尔
Montbau (41.43529, 2.13781) 蒙特鲍
el Baix Guinardo (41.41175, 2.16784) 埃尔拜克斯吉纳尔多
la Prosperitat (41.44269, 2.182) 拉普罗斯佩里塔特
el Putxet i el Farro (41.40693, 2.14392) 埃尔普特谢特和法罗
Sant Antoni (41.37857, 2.15937) 圣安东尼
Can Baro (41.41677, 2.16242) 坎巴罗
Baro de Viver (41.44584, 2.19902) 巴罗德维韦尔
Vallbona (41.46341, 2.18417) 瓦尔博纳
la Vila de Gracia (41.40315, 2.15687) 拉维拉德格拉西亚
Porta (41.4349, 2.17883) 波尔塔
Sants  Badal (41.37471, 2.12775) 桑茨巴达尔
Verdun (49.15964, 5.3829) 凡尔登
Can Peguera (41.43487, 2.16646) 坎佩格拉
la Marina de Port (41.36, 2.13986) 拉马里纳德波尔特
