Punkaharju (61.75883, 29.38843) 庞卡哈尤
Pulkkila (64.26667, 25.86667) 普尔基拉
Pukkila (60.644, 25.5821) 普基拉
Pukinmaeki (60.2448, 24.989) 普金迈基
Puistola (60.27115, 25.04703) 普伊斯托拉
Pudasjaervi (65.38333, 26.91667) 普达斯耶尔维
Poeytyae (60.76667, 22.66667) 波于蒂耶
Posio (66.10856, 28.17186) 波西奥
Pornainen (60.47581, 25.3749) 波尔奈宁
Pori (61.48333, 21.78333) 波里
Pomarkku (61.69348, 22.00862) 波马克库
Polvijaervi (62.85, 29.36667) 波尔维耶尔维
Pohja (60.09626, 23.52757) 波赫亚
Pitaejaenmaeki (60.22287, 24.86103) 皮泰耶恩迈基
Pispala (61.50434, 23.7083) 皮斯帕拉
Pirkkala (61.46125, 23.63228) 皮尔卡拉
Piippola (64.16667, 25.96667) 皮普波拉
Piikkioe (60.42481, 22.51601) 皮基奥
Pihtipudas (63.38333, 25.56667) 皮赫蒂普达斯
Pielavesi (63.23333, 26.75) 皮耶拉维西
Pieksaemaeki (62.3, 27.13333) 皮耶克塞迈基
Petsamo (61.50722, 23.79656) 佩察莫
Petaejaevesi (62.25, 25.2) 佩泰耶维西
Pertunmaa (61.5, 26.48333) 佩尔通马
Pertteli (60.43333, 23.26667) 佩尔特利
Pernioe (60.2, 23.13333) 佩尔尼奥
Perho (63.21667, 24.41667) 佩尔霍
Pello (66.77364, 23.96255) 佩洛
Pelkosenniemi (67.11083, 27.51056) 佩尔科森涅米
Pedersoere (63.65, 22.68333) 佩德尔索雷
Pateniemi (65.07936, 25.40889) 帕特涅米
Pasila (60.19897, 24.93218) 帕西拉
Parola (20.88098, 75.11937) 帕罗拉
Parkano (62.01667, 23.01667) 帕尔卡诺
Parikkala (61.55, 29.5) 帕里卡拉
Pargas (60.30672, 22.30097) 帕尔加斯
Paltamo (64.41667, 27.83333) 帕尔塔莫
Paelkaene (61.33424, 24.27197) 佩尔凯内
Pakila (60.24327, 24.94867) 帕基拉
Paimio (60.45671, 22.68694) 派米奥
Padasjoki (61.35, 25.28333) 帕达斯约基
Outokumpu (62.72685, 29.01592) 奥托昆普
Oulunsuu (65.0086, 25.52759) 奥卢恩苏
Oulunsalo (64.93456, 25.41121) 奥卢恩萨洛
Oulunkylae (60.22924, 24.96403) 奥伦基莱
Oulu (65.01236, 25.46816) 奥卢
Oulainen (64.26667, 24.8) 奥莱宁
Otaniemi (60.18395, 24.82786) 奥塔涅米
OEstersundom (60.25778, 25.19278) 厄斯特松多姆
Orivesi (61.67766, 24.3572) 奥里维西
Oripaeae (60.85, 22.68333) 奥里派耶
Orimattila (60.80487, 25.72964) 奥里马蒂拉
Oravais (63.30135, 22.37821) 奥拉维斯
Oitti (60.78333, 25.03333) 奥伊蒂
Nykarleby (63.52277, 22.53073) 尼卡尔莱比
Nurmijaervi (60.46407, 24.8073) 努尔米耶尔维
Nurmes (63.54205, 29.13965) 努尔梅斯
Nuijamaa (60.96011, 28.55104) 努伊亚马
Noeykkioe (60.16073, 24.66808) 诺伊基奥
Nousiainen (60.60416, 22.07926) 努西艾宁
Noormarkku (61.59274, 21.86846) 诺尔马克库
Nokia (61.46667, 23.5) 诺基亚
Nokela (64.9905, 25.4821) 诺凯拉
Nivala (63.91667, 24.96667) 尼瓦拉
Nilsiae (63.20746, 28.08222) 尼尔西耶
Nickby (60.38333, 25.28333) 尼克比
Nastola (60.94797, 25.92882) 纳斯托拉
Naerpes (62.47283, 21.33707) 纳尔佩斯
Nakkila (61.36667, 22) 纳基拉
Nagu (60.19375, 21.90972) 纳古
Naantali (60.46744, 22.02428) 纳恩塔利
Myrskylae (60.66965, 25.8475) 米尔斯基莱
Mynaemaeki (60.67915, 21.99274) 米纳迈基
Nivavaara (66.53333, 25.83333) 尼瓦瓦拉
Muurla (60.35, 23.28333) 穆尔拉
Muurame (62.13333, 25.66667) 穆拉梅
Muonio (67.95546, 23.68258) 穆奥尼奥
Munkkisaari (60.157, 24.92792) 芒克基萨里
Munkkiniemi (60.19861, 24.87772) 芒克基涅米
Multia (62.41667, 24.78333) 穆尔蒂亚
Muhos (64.80798, 25.99314) 穆霍斯
Mouhijaervi (61.5, 23.01667) 穆希耶尔维
Monninkylae (60.49533, 25.53979) 蒙宁基莱
Mikkeli (61.68857, 27.27227) 米凯利
Mietoinen (60.63333, 21.93333) 米耶托伊宁
Miehikkaelae (60.66667, 27.7) 米耶希凯莱
Messukylae (61.48547, 23.84222) 梅苏基莱
Merimasku (60.48333, 21.86667) 梅里马斯库
Merikarvia (61.85839, 21.50035) 梅里卡尔维亚
Merijaervi (64.3, 24.45) 梅里耶尔维
Mellunkylae (60.23355, 25.09947) 梅伦基莱
Mellilae (60.76667, 22.95) 梅利莱
Meilahti (60.18982, 24.89717) 梅拉赫蒂
Maunula (60.22873, 24.93081) 毛努拉
Matinkylae (60.15885, 24.74241) 马廷基莱
Masku (60.57082, 22.09883) 马斯库
Marttila (60.58333, 22.9) 马尔蒂拉
Martinniemi (65.21241, 25.30941) 马丁涅米
Marjaniemi (60.2018, 25.08275) 马里亚涅米
Maentyharju (61.41667, 26.88333) 曼蒂哈尔尤
