Maenttae (62.03014, 24.62791) 曼塔
Maentsaelae (60.63333, 25.31667) 曼策拉
Mankkaa (60.19424, 24.76996) 曼卡
Malax (62.94225, 21.57311) 马拉克斯
Maaninka (63.15523, 27.29939) 马宁卡
Luvia (61.36375, 21.62556) 卢维亚
Luumaeki (60.92618, 27.58135) 卢马基
Luopioinen (61.36293, 24.66781) 卢奥皮奥宁
Lumijoki (64.83744, 25.18607) 卢米约基
Luhanka (61.79682, 25.70457) 卢汉卡
Lovisa (60.45659, 26.22505) 洛维萨
Loppi (60.71667, 24.45) 洛皮
Loimaa (60.84972, 23.0561) 洛伊马
Lohtaja (64.02472, 23.50482) 洛赫塔亚
Lohja (60.24859, 24.06534) 洛赫亚
Liperi (62.53333, 29.36667) 利佩里
Liminka (64.80985, 25.41545) 利明卡
Liljendal (60.57346, 26.05257) 利尔延达尔
Lieto (60.51032, 22.46176) 利耶托
Lielahti (61.51754, 23.66584) 利耶拉赫蒂
Lieksa (63.31667, 30.01667) 列克萨
Lestijaervi (63.53333, 24.65) 莱斯蒂耶尔维
Leppaevirta (62.49009, 27.78262) 莱佩维尔塔
Leppaevaara (60.21283, 24.81348) 莱佩瓦拉
Lemu (60.56667, 21.96667) 莱穆
Lempaeaelae (61.31667, 23.75) 伦佩拉
Lemi (61.06244, 27.80571) 莱米
Leivonmaeki (61.91198, 26.12796) 莱沃马基
Lehtisaari (60.17972, 24.85167) 莱赫蒂萨里
Lavia (61.59659, 22.58726) 拉维亚
Lauttasaari (60.15896, 24.86797) 劳塔萨里
Lautiosaari (65.79912, 24.57968) 劳蒂奥萨里
Lauritsala (61.07191, 28.25915) 劳里察拉
Laukaa (62.41407, 25.95194) 劳卡
Larsmo (63.75388, 22.74728) 拉尔斯莫
Lapua (62.96927, 23.0088) 拉普阿
Lepplax (63.67028, 22.89325) 莱普拉克斯
Lappi (61.1, 21.83333) 拉皮
Lappeenranta (61.05871, 28.18871) 拉彭兰塔
Lappajaervi (63.2, 23.63333) 拉帕耶尔维
Lapinlahti (63.36667, 27.4) 拉平拉赫蒂
Lapinjaervi (60.62443, 26.1972) 拉平耶尔维
Laengelmaeki (61.65, 22.1) 朗格尔迈基
Lamminpaeae (61.51963, 23.62618) 拉明佩
Lammi (61.08333, 25.01667) 拉米
Laitila (60.87575, 21.69765) 莱蒂拉
Laihia (62.97609, 22.01143) 莱希亚
Lahti (60.98267, 25.66151) 拉赫蒂
Laanila (65.02383, 25.50785) 拉尼拉
Laaksolahti (60.24164, 24.75855) 拉克索拉赫蒂
Laajalahti (60.20076, 24.80352) 拉亚拉赫蒂
Kyyjaervi (63.03333, 24.56667) 居耶尔维
Kyroe (60.7, 22.75) 居勒
Kirkkonummi (60.12381, 24.43853) 基尔科努米
Kylmaekoski (61.154, 23.68858) 居尔梅科斯基
Kuusjoki (60.51667, 23.2) 库斯约基
Kuusimaeki (61.05029, 28.14033) 库西迈基
Kuusamo (65.96447, 29.18878) 库萨莫
Kustavi (60.54529, 21.3588) 库斯塔维
Kuru (61.87558, 23.71948) 库鲁
Kurikka (62.61667, 22.41667) 库里卡
Kuortane (62.8, 23.5) 库奥尔塔内
Kuopio (62.89238, 27.67703) 库奥皮奥
Kuninkaala (60.28481, 25.04557) 库宁卡拉
Kulosaari (60.18572, 25.00516) 库洛萨里
Kullaa (61.46998, 22.16145) 库拉
Pohtola (61.5373, 23.67579) 波赫托拉
Kuivaniemi (65.57847, 25.18814) 库伊瓦涅米
Kuhmoinen (61.56667, 25.18333) 库赫莫伊宁
Kuhmo (64.13333, 29.51667) 库赫莫
Kruununhaka (60.17174, 24.9566) 克鲁努哈卡
Kronoby (63.72859, 23.03387) 克罗诺比
Kristinestad (62.27429, 21.37596) 克里斯蒂内斯塔德
Koeylioe (61.1191, 22.30976) 科伊略
Kouvola (60.86667, 26.7) 科沃拉
Kotka (60.4664, 26.94582) 科特卡
Haemeenkoski (61.02222, 25.15417) 海门科斯基
Koski Tl (60.65, 23.15) 科斯基
Koskela (65.04509, 25.44528) 科斯凯拉
Korvensuora (65.03897, 25.57686) 科尔文苏奥拉
Kortesjaervi (63.3, 23.16667) 科尔特谢尔维
Korso (60.35107, 25.07805) 科尔索
Korsnaes (62.78333, 21.2) 科尔斯奈斯
Korsholm (63.11418, 21.68216) 科尔斯霍尔姆
Korpo (60.1638, 21.56151) 科尔波
Korpilahti (62.01667, 25.55) 科尔皮拉赫蒂
Koria (60.84614, 26.60755) 科里亚
Kontiolahti (62.76023, 29.84711) 孔蒂奥拉赫蒂
Konnevesi (62.61667, 26.31667) 孔内韦西
Kolari (67.33047, 23.77785) 科拉里
Kokkola (63.83847, 23.13066) 科科拉
Kokemaeki (61.25647, 22.35643) 科科迈基
Koivistonkylae (61.47084, 23.79141) 科伊维斯通凯莱
Kodisjoki (61.0293, 21.70028) 科迪斯约基
Kluuvi (60.17012, 24.94815) 克鲁维
Klaukkala (60.38244, 24.751) 克劳卡拉
Kivijaervi (63.11984, 25.07835) 基维耶尔维
Kiuruvesi (63.65, 26.61667) 基乌鲁韦西
Kiukainen (61.21667, 22.08333) 基乌凯宁
Kittilae (67.66474, 24.89356) 基蒂莱
