Venansault (46.68614, -1.51386) 文南索
Venaco (42.23232, 9.17252) 韦纳科
Venables (49.19892, 1.29485) 韦纳布勒
Vemars (49.06942, 2.56643) 韦马尔
Velluire (46.4047, -0.89412) 韦吕尔
Velles (46.68904, 1.64933) 韦勒
Velleron (43.95742, 5.02936) 韦勒龙
VelizyVillacoublay (48.78198, 2.19395) 韦利济-维拉库布莱
Velines (44.85855, 0.10748) 韦利讷
Velaux (43.52839, 5.25661) 韦洛
Velarssur-Ouche (47.3196, 4.90594) 韦拉尔-叙尔-乌什
Velaineen-Haye (48.6999, 6.02754) 韦莱讷昂-艾
Veigy (46.26787, 6.26304) 韦伊吉
Veigne (47.28556, 0.74079) 韦涅
Vedene (43.97744, 4.90428) 韦德讷
Vecqueville (48.45788, 5.14178) 韦克维尔
Vecquemont (49.90016, 2.45107) 韦克蒙
Vecoux (47.97797, 6.63651) 韦库
Veckring (49.33774, 6.37702) 韦克林
Veauvilleles-Baons (49.65, 0.76667) 沃维尔莱-邦
Veaugues (47.25742, 2.75695) 沃格
Veauchette (45.56236, 4.2626) 沃谢特
Veauche (45.56326, 4.29192) 沃什
Vazerac (44.19074, 1.28504) 瓦泽拉克
Vayressur-Essonne (48.43333, 2.35) 瓦雷-叙尔-埃松
Vayres (44.89693, -0.31867) 瓦雷
Vayrac (44.95312, 1.70327) 瓦拉克
Vay (47.55459, -1.70172) 瓦伊
Vauxsur-Vienne (46.91275, 0.56714) 沃叙尔-维埃纳
Vauxsur-Seine (49.01271, 1.96942) 沃叙尔-塞纳
Vauxsur-Mer (45.64464, -1.06038) 沃叙尔-梅尔
Vauxsous-Aubigny (47.65524, 5.28728) 沃苏-欧比尼
Vauxles-Saint-Claude (46.35818, 5.73727) 沃莱-圣克洛德
Vauxle-Penil (48.52803, 2.69165) 沃勒-佩尼尔
Vauxet-Chantegrue (46.80827, 6.24501) 沃埃-尚特格吕
Vauxen-Bugey (45.92671, 5.35141) 沃昂-比热
Vauxen-Beaujolais (46.05613, 4.59183) 沃昂-博若莱
Vauxbuin (49.3587, 3.29405) 沃布安
VauxAndigny (50.02287, 3.517) 沃昂迪尼
Vaux (49.09332, 6.08683) 沃
Vauvillers (47.92159, 6.09773) 沃维莱尔
Vauvert (43.69386, 4.27587) 沃韦尔
Vauvenargues (43.55515, 5.59892) 沃韦纳尔格
Vautorte (48.30084, -0.83294) 沃托尔特
Vaureal (49.03333, 2.03333) 沃雷阿尔
Vaunaveysla-Rochette (44.76667, 5.03333) 沃纳韦拉-罗谢特
Vaumoise (49.23525, 2.98077) 沃穆瓦兹
Vaumas (46.44621, 3.63007) 沃马
VaulxVraucourt (50.1491, 2.9083) 沃尔-弗罗库尔
VaulxMilieu (45.61329, 5.18371) 沃尔-米约
Vaulxen-Velin (45.78693, 4.9251) 沃尔昂-韦兰
Vaulx (45.92968, 5.99553) 沃尔
Vaulnaveysle-Haut (45.12524, 5.81723) 沃尔纳韦勒-奥
Vaulnaveysle-Bas (45.1002, 5.82532) 沃尔纳韦勒-巴
Vaujours (48.93022, 2.5711) 沃茹尔
Vauhallan (48.73354, 2.20277) 沃阿朗
Vaugrigneuse (48.60263, 2.12218) 沃格里涅斯
Vaugneray (45.73791, 4.65645) 沃涅雷
Vaufrege (43.24905, 5.44283) 沃夫雷热
Vaudry (48.8413, -0.85309) 沃德里
Vaudricourt (50.50076, 2.62509) 沃德里库尔
Vaudreching (49.2841, 6.52519) 沃德雷兴
Vaudoyen-Brie (48.68879, 3.08003) 沃杜瓦昂-布里
Vaudes (48.17805, 4.18906) 沃德
Vaudelnay (47.13744, -0.20443) 沃德奈
Vaucresson (48.84078, 2.15652) 沃克雷松
Vaucouleurs (48.60313, 5.66659) 沃库勒尔
Vauciennes (49.23565, 3.03025) 沃西耶纳
Vauchretien (47.33234, -0.47678) 沃克雷蒂安
Vattevillela-Rue (49.5, 0.68333) 瓦特维尔拉-吕
Vatan (47.07447, 1.8101) 瓦唐
Vasteville (49.595, -1.77476) 瓦斯特维尔
Vassy (48.85381, -0.67485) 瓦西
Vasselay (47.15686, 2.38963) 瓦瑟莱
Vasles (46.57569, -0.02519) 瓦莱
Varzy (47.3581, 3.38619) 瓦尔齐
Varzay (45.70564, -0.73462) 瓦尔泽
Varsberg (49.17296, 6.62905) 瓦尔斯贝格
Vars (45.76207, 0.12402) 瓦尔
Varreddes (49.00305, 2.92788) 瓦雷德
Varrains (47.22184, -0.06403) 瓦兰
Varoiset-Chaignot (47.35059, 5.12838) 瓦鲁瓦-沙尼奥
Varilhes (43.04572, 1.62813) 瓦里耶
Varetz (45.19392, 1.45063) 瓦雷
Varennessur-Seine (48.37304, 2.92571) 瓦雷讷-叙尔-塞纳
Varennessur-Loire (47.23851, 0.05314) 瓦雷讷-叙尔-卢瓦尔
Varennessur-Fouzon (47.21294, 1.60552) 瓦雷讷-叙尔-富宗
Varennessur-Allier (46.31318, 3.40147) 瓦雷讷-叙尔-阿列
Varennessous-Dun (46.2901, 4.33281) 瓦雷讷-苏-丹
Varennesles-Narcy (47.2319, 3.06315) 瓦雷讷-莱-纳尔西
Varennesle-Grand (46.71868, 4.86872) 瓦雷讷-勒-格朗
VarennesJarcy (48.67914, 2.56152) 瓦雷讷-雅尔西
Varennesen-Argonne (49.22732, 5.03509) 瓦雷讷-昂-阿尔贡
Varengevillesur-Mer (49.90475, 0.99479) 瓦朗热维尔-叙尔-梅尔
Varaville (49.25321, -0.15879) 瓦拉维尔
Varangeville (48.63675, 6.31875) 瓦朗热维尔
Varanges (47.23077, 5.19513) 瓦朗热
Varaize (45.9232, -0.42274) 瓦雷兹
Varages (43.59744, 5.95996) 瓦拉热
Varades (47.385, -1.03039) 瓦拉德
