Thurysous-Clermont (49.35756, 2.32902) 图里苏克莱蒙
ThuryHarcourt (48.98434, -0.47519) 图里阿尔库尔
Thurins (45.68179, 4.64079) 图兰
Thuret (45.969, 3.25879) 图雷
Thure (46.8317, 0.45938) 图雷
Thurageau (46.76862, 0.24173) 图拉若
ThunSaint-Amand (50.47276, 3.45115) 吞圣阿芒
Thumeries (50.47662, 3.055) 图梅里
Thuir (42.6322, 2.75577) 吐尔
Thueyts (44.67628, 4.22146) 吐埃
Thuellin (45.63964, 5.5084) 吐兰
ThouryFerottes (48.2942, 2.94153) 图里费罗特
Thourotte (49.47591, 2.8821) 图罗特
Thourie (47.85524, -1.48062) 图里
ThouarsaisBouildroux (46.61959, -0.88026) 图阿尔赛布伊尔德鲁
Thouars (46.9815, -0.21175) 图阿尔
Thouaresur-Loire (47.26957, -1.44354) 图阿尔河畔
Thouarce (47.26715, -0.50091) 图阿尔斯
Thorignysur-Oreuse (48.29297, 3.40128) 托里尼奥雷斯
Thorignysur-Marne (48.88689, 2.71806) 托里尼马恩河畔
Thorigny (46.61301, -1.24103) 托里尼
Thorignesur-Due (48.03931, 0.53561) 托里尼迪厄河畔
Thorigne (46.29149, -0.25122) 托里涅
Thoreyen-Plaine (47.21622, 5.13333) 托雷普兰
ThorensGlieres (45.9951, 6.24557) 托朗格利耶
Thorela-Rochette (47.78735, 0.96355) 托雷拉罗谢特
Thoreeles-Pins (47.68655, 0.04183) 托雷莱潘
Thononles-Bains (46.37049, 6.47985) 托农莱班
Thones (45.88123, 6.32572) 托内
Thomery (48.40723, 2.78852) 托梅里
Thollonles-Memises (46.38971, 6.71399) 托隆莱梅米斯
Thoissey (46.17222, 4.80251) 托瓦西
Thoiry (46.23762, 5.98111) 托伊里
Thoirette (46.26999, 5.5294) 托雷特
Thodure (45.31717, 5.16919) 托迪尔
Thoard (44.14962, 6.14806) 托阿尔
Thizyles-Bourgs (46.02995, 4.31299) 蒂济莱布尔
Thiviers (45.41763, 0.92143) 蒂维耶
ThivervalGrignon (48.84964, 1.91729) 蒂韦尔瓦尔格里尼翁
Thiverny (49.2518, 2.43609) 蒂韦尔尼
Thivencelle (50.44002, 3.63386) 蒂文塞勒
Thivars (48.37852, 1.4515) 蒂瓦尔
Thise (47.28486, 6.08127) 蒂斯
Thiron Gardais (48.31667, 0.98333) 蒂龙加尔代
Thionville (49.35994, 6.16044) 蒂永维尔
Thimory (47.92254, 2.60141) 蒂莫里
Thilouze (47.22415, 0.57963) 蒂卢兹
Thilay (49.87345, 4.80772) 蒂莱
Thil (49.473, 5.90821) 蒂尔
Thiezac (45.01478, 2.66467) 蒂耶扎克
Thieux (49.00768, 2.67206) 蒂厄
Thiescourt (49.56667, 2.88333) 蒂耶库尔
Thiervillesur-Meuse (49.1705, 5.35266) 蒂耶尔维尔默兹河畔
Thierssur-Theve (49.15252, 2.57051) 蒂耶尔斯特韦夫河畔
Thiers (45.85654, 3.54758) 蒂耶尔
Thiennes (50.65147, 2.46676) 蒂耶讷
Thiembronne (50.62101, 2.05869) 蒂昂布龙
Thielsur-Acolin (46.52336, 3.58179) 蒂耶尔阿科兰河畔
Thiefosse (47.97014, 6.73093) 蒂福斯
ThieblemontFaremont (48.68994, 4.7303) 蒂布勒蒙法勒蒙
Thiberville (49.13768, 0.45502) 蒂贝尔维尔
Thiant (50.3048, 3.44796) 蒂昂
Thiais (48.76496, 2.3961) 蒂亚
Theziers (43.89966, 4.62056) 泰济耶
Theze (43.47641, -0.34907) 泰兹
Thezanles-Beziers (43.42166, 3.16897) 泰赞莱贝济耶
Thezandes-Corbieres (43.1, 2.76667) 泰赞德科比耶尔
Theza (42.63906, 2.95103) 泰扎
Theys (45.30132, 5.99848) 泰伊
Thesee (47.32345, 1.30882) 泰塞
Therouanne (50.63695, 2.25838) 泰鲁安
Therdonne (49.41846, 2.15839) 泰尔东
Theoulesur-Mer (43.5078, 6.9408) 泰乌勒滨海
Thenon (45.13739, 1.07086) 泰农
Thenioux (47.25609, 1.93571) 泰尼乌
Thenezay (46.71954, -0.02763) 泰内扎
Thenelles (49.82992, 3.46642) 泰内勒
Thenay (46.6306, 1.42747) 泰奈
Thenac (45.66761, -0.65395) 泰纳克
Thelus (50.35441, 2.80146) 泰吕斯
Theize (45.93963, 4.61634) 泰兹
Theix (47.62938, -2.65061) 泰克斯
Theilsur-Vanne (48.16696, 3.42632) 泰伊勒瓦讷河畔
Theillay (47.31429, 2.04028) 泰伊莱
Thehillac (47.56799, -2.11602) 泰伊拉克
Theding (49.12847, 6.8922) 泰丁
Thaonles-Vosges (48.25, 6.41667) 塔昂莱沃日
Thaon (49.25796, -0.45605) 塔昂
Thann (47.80789, 7.10301) 坦恩
ThalMarmoutier (48.70229, 7.3526) 塔尔马尔穆捷
Thaire (46.07355, -1.00288) 泰尔
Teyran (43.68528, 3.92889) 泰朗
TeurthevilleHague (49.58262, -1.72857) 特尔特维尔阿格
TeurthevilleBocage (49.59245, -1.3965) 特尔特维尔博卡日
Teuillac (45.09289, -0.54756) 特伊亚克
Tetingsur-Nied (49.05704, 6.66294) 特廷尼德河畔
Teterchen (49.23067, 6.56188) 特特尔申
Teteghem (51.01859, 2.44454) 特特海姆
Tessysur-Vire (48.97381, -1.06087) 特西维尔河畔
Tesson (45.63257, -0.65289) 特松
