Soues (43.20687, 0.0991) 苏埃
Soueich (43.04747, 0.77941) 苏埃什
Souday (48.0368, 0.86691) 苏代
Soudan (47.73805, -1.30589) 苏丹
Soucy (48.24956, 3.32385) 苏西
Soucieuen-Jarrest (45.67771, 4.70379) 苏西厄恩-雅雷
Soucht (48.95902, 7.33434) 苏赫特
Souchez (50.39291, 2.73984) 苏谢
Soucelles (47.56948, -0.42052) 苏塞勒
Soubise (45.92398, -1.009) 苏比斯
Soubes (43.76762, 3.34654) 苏贝
Souanceau-Perche (48.26698, 0.85527) 苏昂索-佩尔什
Soual (43.55622, 2.11677) 苏阿尔
Soturac (44.4886, 1.01622) 索图拉克
Sottevilleles-Rouen (49.40972, 1.09005) 索特维尔莱鲁昂
Sottevast (49.52374, -1.59169) 索特瓦斯特
Sotta (41.54478, 9.1963) 索塔
Sospel (43.87792, 7.44788) 索斯佩尔
Sos (44.04283, 0.14087) 索斯
Sorten-Chalosse (43.68328, -0.93073) 索尔坦-沙洛斯
Sornay (46.63023, 5.17999) 索尔奈
Sornac (45.66727, 2.19327) 索尔纳克
Sormonne (49.81072, 4.56604) 索尔蒙
Sormiou (43.20959, 5.41872) 索尔米乌
Sorigny (47.24329, 0.6952) 索里尼
Sorgues (44.01023, 4.87381) 索尔格
Sorges (45.30743, 0.87352) 索尔热
Soreze (43.45292, 2.06683) 索雷兹
SorelMoussel (48.83391, 1.36699) 索雷尔穆塞尔
Sorede (42.53069, 2.95708) 索雷德
Sore (44.32363, -0.58076) 索尔
SorcySaint-Martin (48.71367, 5.63399) 索尔西圣马丁
SorboOcagnano (42.47619, 9.45591) 索尔博奥卡尼亚诺
Sorbiers (45.49111, 4.44163) 索尔比耶
Soppele-Haut (47.73207, 7.06072) 索佩勒-奥
Soppele-Bas (47.71779, 7.08809) 索佩勒-巴
Soorts (43.66462, -1.39628) 索尔茨
Sonzay (47.52687, 0.46203) 索恩扎伊
Sonnaz (45.61765, 5.91505) 索纳
Sonnay (45.35809, 4.90479) 索奈
Sonnac (45.83947, -0.2718) 索纳克
Songeons (49.54916, 1.85361) 索让
Sondernach (47.99832, 7.07414) 索恩德纳赫
Sonchamp (48.5759, 1.87753) 索尚
Sommieresdu-Clain (46.27954, 0.35897) 索米耶尔杜克兰
Sommieres (43.78457, 4.09) 索米耶尔
Sommevoire (48.41134, 4.84172) 索姆瓦尔
SommeSuippe (49.11574, 4.58043) 索姆苏伊普
Sommery (49.6345, 1.44097) 索梅里
Sommerviller (48.63194, 6.37632) 索梅维勒
Sommervieu (49.293, -0.64596) 索梅维厄
SommepyTahure (49.25124, 4.55834) 索梅皮塔于尔
Sommelonne (48.67151, 5.03625) 索梅隆
Sommedieue (49.0838, 5.46356) 索梅迪厄
Somloire (47.03227, -0.60782) 索姆卢瓦尔
Sombernon (47.30987, 4.70976) 索姆贝尔农
Sombacour (46.95231, 6.25803) 索姆巴库尔
Somain (50.35961, 3.28108) 索曼
Solrele-Chateau (50.17432, 4.08898) 索尔勒-沙托
SolliesVille (43.18256, 6.03849) 索利耶维尔
SolliesToucas (43.20579, 6.02485) 索利耶图卡斯
SolliesPont (43.19009, 6.04115) 索利耶蓬
Solignyla-Trappe (48.61428, 0.53572) 索利尼拉特拉普
Solignacsur-Loire (44.96833, 3.88635) 索利尼亚克叙尔卢瓦尔
Solignac (45.75518, 1.27488) 索利尼亚克
Soliers (49.1344, -0.29613) 索利耶
Solgne (48.96543, 6.29429) 索涅
Soleymieu (45.70899, 5.35023) 索莱米厄
Solesmes (50.18468, 3.49799) 索莱姆
Solers (48.65919, 2.71617) 索莱尔
Solaro (44.8799, 9.17315) 索拉罗
Solaize (45.6397, 4.84038) 索莱兹
Soisysur-Seine (48.64875, 2.45223) 索瓦西叙尔塞纳
Soisysur-Ecole (48.47637, 2.49301) 索瓦西叙尔埃科勒
SoisyBouy (48.51178, 3.29495) 索瓦西布伊
Soissons (49.38167, 3.32361) 索瓦松
Soingsen-Sologne (47.41289, 1.52452) 索安昂索洛涅
Soindres (48.95791, 1.67541) 索安德尔
Soignollesen-Brie (48.6535, 2.69968) 索尼奥莱昂布里
Socx (50.93571, 2.42422) 索克斯
Sochaux (47.50808, 6.82748) 索肖
Smarves (46.5113, 0.35007) 斯马尔夫
Sizun (48.4057, -4.07836) 西宗
Sixtsur-Aff (47.77606, -2.07987) 西克斯叙尔阿夫
SixFours-les-Plages (43.09174, 5.82465) 西克斯福尔莱普拉日
SivryCourtry (48.52829, 2.75459) 西夫里库尔特里
Sisteron (44.19002, 5.94643) 锡斯特龙
Sissy (49.8018, 3.42704) 锡西
Sissonne (49.57107, 3.89369) 锡松
Sisco (42.8, 9.43333) 锡斯科
Siros (43.34347, -0.48142) 锡罗斯
Sirod (46.73278, 5.98396) 锡罗
Sireuil (45.61571, 0.00935) 锡勒伊
Siran (40.19064, 39.11747) 锡兰
Sioracen-Perigord (44.82122, 0.98678) 锡奥拉克昂佩里戈尔
Sionles-Mines (47.73512, -1.59201) 锡永莱米讷
Sinle-Noble (50.36159, 3.13113) 辛勒诺布尔
Sinceny (49.59619, 3.24679) 辛塞尼
Sinard (44.94478, 5.65763) 辛纳尔
Simorre (43.44971, 0.73368) 西莫尔
