Rukaj (41.68361, 20.01917) 鲁卡伊
Rajce (41.09028, 20.57639) 拉伊采
QukesSkenderbe (41.08389, 20.43806) 库克斯斯坎德贝
QukesShkumbin (41.09333, 20.44778) 库克斯什库姆宾
Qestorat (40.1175, 20.19972) 切斯托拉特
Qereshnik (40.76333, 20.00972) 切雷什尼克
Qafemal (42.09333, 20.09056) 卡费马尔
PerrenjasFshat (41.06667, 20.53528) 佩雷尼亚斯村
Perrenjas (41.07306, 20.54889) 佩雷尼亚斯
Proptisht (40.98611, 20.5025) 普罗普蒂什特
Proger (40.69417, 20.94028) 普罗格尔
Potom (40.48833, 20.37333) 波托姆
Porocan (40.94194, 20.29861) 波罗坎
PolisGostime (41.13333, 20.25833) 波利斯戈斯蒂梅
Polican (40.61222, 20.09806) 波利坎
Pojan (40.72583, 20.8375) 波扬
Pogradec (40.9025, 20.6525) 波格拉德茨
Pishaj (40.88111, 20.18278) 皮沙伊
Pirg (40.785, 20.70611) 皮尔格
Gjinkar (40.19944, 20.40611) 金卡尔
Petran (40.20944, 20.41833) 佩特兰
Peshkopi (41.685, 20.42889) 佩什科皮
Permet (40.23361, 20.35167) 佩尔梅特
Ostreni i Math (41.43083, 20.45556) 大奥斯特雷尼
Orosh (41.83333, 20.08333) 奥罗什
Orenje (41.28472, 20.21194) 奥伦耶
Odrie (40.13333, 20.16667) 奥德里耶
Novosele (40.76139, 20.69833) 诺沃塞莱
Picar (40.16667, 20.04833) 皮卡尔
Mollas (40.92694, 20.00361) 莫拉斯
Mollaj (40.56028, 20.74028) 莫拉伊
Miras (40.50917, 20.92833) 米拉斯
Melan (41.65417, 20.46528) 梅兰
Mbrakull (40.62917, 20.06667) 姆布拉库尔
Mborje (40.60333, 20.80306) 姆博尔耶
Martanesh (41.4, 20.2) 马尔塔内什
Maqellare (41.58889, 20.48306) 马凯拉雷
Maliq (40.70583, 20.69972) 马利克
Malinat (40.61194, 20.03278) 马利纳特
Macukull (41.68861, 20.11028) 马库库尔
Lunik (41.28917, 20.32361) 卢尼克
Llugaj (42.34139, 20.10861) 卢加伊
Lis (41.6275, 20.08528) 利斯
Liqenas (40.78667, 20.90222) 利克纳斯
Librazhd (41.17944, 20.315) 利布拉日德
Libonik (40.70444, 20.70861) 利博尼克
Libohove (40.03111, 20.26306) 利博霍夫
Leskovik (40.15139, 20.59722) 列斯科维克
Leshnje (40.53694, 20.31333) 列什涅
Lenias (40.76667, 20.39139) 列尼亚斯
Lekas (40.60222, 20.5125) 列卡斯
Lazarat (40.04667, 20.1475) 拉扎拉特
LabinotMal (41.20083, 20.15222) 拉比诺特马尔
LabinotFushe (41.14056, 20.14611) 拉比诺特富舍
Kushove (40.78889, 20.18889) 库绍韦
Kurbnesh (41.77972, 20.08361) 库尔布内什
Kukur (40.86778, 20.36361) 库库尔
Kukes (42.07694, 20.42194) 库克斯
Kthella e Eperme (41.81194, 20.05889) 上克塞拉
Krume (42.19694, 20.41333) 克鲁梅
Kraste (41.42278, 20.205) 克拉斯特
Korce (40.61861, 20.78083) 科尔察
Kolsh (42.07806, 20.34194) 科尔什
Kodovjat (40.80556, 20.25111) 科多维亚特
Klos (41.50694, 20.08667) 克洛斯
Kelcyre (40.31306, 20.18944) 克尔奇雷
Kastriot (41.72944, 20.37722) 卡斯特里奥特
Kardhiq (40.12167, 20.0275) 卡尔迪克
Kapinove (40.63611, 20.12056) 卡皮诺韦
Kalis (41.83889, 20.36667) 卡利斯
Iballe (42.1875, 20.0025) 伊巴勒
Hotolisht (41.15667, 20.39722) 霍托利什特
Hocisht (40.60833, 20.91417) 霍奇什特
Gramsh (40.86972, 20.18444) 格拉姆什
Gostime (41.14556, 20.24) 戈斯蒂梅
Golaj (42.2475, 20.38028) 戈拉伊
Gjorica e Siperme (41.53444, 20.45) 上焦里察
Gjirokaster (40.07583, 20.13889) 吉罗卡斯特
Gjinar (41.0225, 20.18889) 吉纳尔
Gjinaj (42.11806, 20.43583) 吉纳伊
Gjergjan (41.04306, 20.02972) 杰尔贾恩
Gjegjan (41.93778, 20.01111) 杰格扬
FusheMuhurr (41.67972, 20.33139) 富舍穆胡尔
FusheLure (41.80611, 20.23194) 富舍卢雷
FusheCidhne (41.76056, 20.34111) 富舍奇德内
FusheBulqize (41.52194, 20.28222) 富舍布尔奇泽
FusheArrez (42.06222, 20.01667) 富舍阿雷兹
Frasher (40.36889, 20.42444) 弗拉舍尔
Fierze (42.26056, 20.01694) 菲尔泽
Fajze (42.16694, 20.35083) 法伊泽
Erseke (40.33778, 20.67889) 埃尔塞克
Elbasan (41.1125, 20.08222) 埃尔巴桑
Drenove (40.58333, 20.79222) 德雷诺韦
Dishnice (40.65139, 20.81361) 迪什尼采
Derjan (41.67361, 20.05833) 德尔扬
Gjerbes (40.62917, 20.25111) 杰尔贝斯
Corovode (40.50417, 20.22722) 乔罗沃德
Clirim (40.80951, 19.78419) 克利里姆
Cerava (40.85139, 20.725) 切拉瓦
Cepan (40.42056, 20.26056) 切潘
