Rupanyup (-36.62846, 142.63152) 鲁帕纽普
Rubyvale (-23.41816, 147.69908) 鲁比韦尔
Royalla (-35.51667, 149.15) 罗亚拉
Rowville (-37.93333, 145.23333) 罗维尔
Ross Creek (-37.65, 143.75) 罗斯溪
Rosewood (-27.6335, 152.58949) 罗斯伍德
Roseville (38.75212, -121.28801) 罗斯维尔
Rosehill (-33.82009, 151.0245) 罗斯希尔
Rosedale (40.66205, -73.73541) 罗斯代尔
Rosebud (-38.35542, 144.9068) 罗斯巴德
Rosebery (-12.51046, 130.9878) 罗斯伯里
Rosanna (-37.73895, 145.06735) 罗莎娜
Rooty Hill (-33.76667, 150.83333) 鲁蒂山
Romsey (50.98906, -1.49989) 罗姆西
Roma (-29.44667, 27.70806) 罗马
Rokeby (-42.89875, 147.44917) 罗克比
Rocklea (-27.53917, 153.00402) 罗克利
Rockhampton (-23.38032, 150.50595) 罗克汉普顿
Rockdale (-33.95, 151.13333) 洛克代尔
Rockbank (-37.73353, 144.67003) 洛克班克
Rochester (43.15478, -77.61556) 罗切斯特
Rochedale (-27.56667, 153.13333) 罗切代尔
Robertson (-33.80342, 19.88537) 罗伯逊
Riverview (27.86614, -82.32648) 河景
Riverstone (-33.68333, 150.86667) 河石
Ripponlea (-37.878, 144.995) 里彭利
Ripley (53.03333, -1.4) 里普利
Ringwood North (-37.8, 145.23333) 林伍德北
Ringwood East (-37.81667, 145.25) 林伍德东
Ringwood (-37.81667, 145.23333) 林伍德
Ridgley (-41.148, 145.833) 里奇利
Richmond (37.55376, -77.46026) 里士满
Rhyll (-38.46421, 145.29948) 里尔
Rhodes (-33.82663, 151.0881) 罗兹
Revesby (-33.95, 151.01667) 里夫斯比
Reservoir (-37.71667, 145) 水库
Research (-37.7, 145.18333) 里瑟奇
Repton (52.83983, -1.55061) 雷普顿
Renmark West (-34.16531, 140.7097) 伦马克西
Renmark North (-34.12554, 140.71269) 伦马克北
Renmark (-34.17702, 140.74697) 伦马克
Regents Park (-27.67664, 153.04165) 摄政公园
Red Rock (-29.98453, 153.22623) 红岩
Redlynch (-16.9254, 145.69559) 红林奇
Redland Bay (-27.6113, 153.30022) 红地湾
Red Hill South (-38.38333, 145.03333) 红山南
Red Hill (33.99961, -79.2581) 红山
Redhead (-33.01178, 151.71142) 红头
Redfern (-33.89279, 151.20415) 雷德芬
Red Cliffs (-34.30942, 142.18971) 红崖
Redbank (-27.6, 152.86667) 红岸
Raymond Terrace (-32.75952, 151.7505) 雷蒙德台地
Raworth (-32.73333, 151.61667) 拉沃思
Ravenshoe (-17.60901, 145.48413) 雷文斯霍
Rathmines (53.32028, -6.26333) 拉斯迈恩斯
Ranelagh (-43.00977, 147.03764) 拉内拉
Raleigh (35.7721, -78.63861) 罗利
Rainbow Flat (-32.03333, 152.48333) 彩虹平地
Rainbow (33.41031, -117.14781) 彩虹
Railton (-41.3457, 146.42363) 雷尔顿
Raglan (-37.8, 174.88333) 拉格伦
Quirindi (-31.50763, 150.67902) 奎林迪
Quilpie (-26.61348, 144.26949) 奎尔皮
Queenstown (-31.89756, 26.87533) 昆士敦
Queenscliff (-33.78278, 151.28495) 昆士崖
Queanbeyan (-35.35493, 149.232) 昆比恩
Quakers Hill (-33.73333, 150.88333) 贵格山
Pyrmont (-33.86985, 151.19402) 皮尔蒙特
Pyramid Hill (-36.05583, 144.11467) 金字塔山
Pymble (-33.74386, 151.14188) 平布尔
Pyalong (-37.11288, 144.85235) 皮亚隆
Purga (-27.6592, 152.7158) 普尔加
Puckapunyal (-36.99493, 145.04005) 帕卡普尼亚尔
Proserpine (-20.4011, 148.5802) 普罗瑟派恩
Preston (53.76282, -2.70452) 普雷斯顿
Prahran (-37.85114, 144.99318) 普拉兰
Potts Point (-33.86701, 151.22586) 波茨角
Port Sorell (-41.16652, 146.55283) 索雷尔港
Port Melbourne (-37.83961, 144.94228) 墨尔本港
Port Macquarie (-31.43084, 152.90894) 麦夸里港
Port MacDonnell (-38.05313, 140.69963) 麦克唐奈尔港
Portland (45.52345, -122.67621) 波特兰
Port Kembla (-34.4818, 150.9012) 坎布拉港
Port Hacking (-34.06791, 151.12561) 哈金港
Port Fairy (-38.38535, 142.2371) 仙女港
Port Douglas (-16.48383, 145.46725) 道格拉斯港
Port Campbell (-38.61919, 142.99583) 坎贝尔港
Portarlington (53.16222, -7.19111) 波塔灵顿
Porepunkah (-36.69606, 146.91038) 波尔蓬卡
Poowong (-38.34285, 145.76379) 普翁
Pontville (-42.68705, 147.2686) 庞特维尔
Pomona (34.05529, -117.75228) 波莫纳
Pokolbin (-32.8, 151.28333) 波科尔宾
Point Vernon (-25.25727, 152.81725) 弗农角
Point Lonsdale (-38.28173, 144.61055) 朗斯代尔角
Point Cook (-37.91482, 144.75088) 库克角
Point Clare (-33.44378, 151.32732) 克莱尔角
Plenty (-37.66667, 145.11667) 普伦蒂
Plainland (-27.56667, 152.41667) 普莱恩兰
Pitt Town (-33.58718, 150.85857) 皮特镇
