PontSaint-Martin (47.12421, -1.58476) - 圣马丁桥
PontSaint-Esprit (44.25656, 4.6478) - 圣埃斯普里桥
PontSainte-Maxence (49.30168, 2.60467) - 圣马克桑斯桥
PontSainte-Marie (48.31848, 4.09447) - 圣玛丽桥
Pontrieux (48.69755, -3.15948) - 普特里厄
PontRemy (50.05, 1.91667) - 雷米桥
Pontpoint (49.3, 2.65) - 蓬普安
Pontpierre (49.53639, 6.02944) - 蓬皮埃尔
Pontorson (48.55316, -1.50754) - 蓬托尔松
Pontonxsur-l'Adour (43.78783, -0.92508) - 阿杜尔河畔蓬通克斯
Pontoise (49.05, 2.1) - 蓬图瓦兹
PontNoyelles (49.94072, 2.44441) - 蓬努瓦耶勒
PontMelvez (48.46061, -3.3066) - 蓬梅尔韦
Pontmain (48.43897, -1.05902) - 蓬曼
Pontlevoy (47.39002, 1.25465) - 蓬勒瓦
Pontl'Eveque (49.28912, 0.19161) - 主教桥
Pontl'Abbe-d'Arnoult (45.82845, -0.87493) - 阿尔努尔特的阿贝桥
Pontl'Abbe (47.8669, -4.22416) - 阿贝桥
Pontivy (48.06835, -2.96645) - 蓬蒂维
Pontigny (47.90529, 3.71198) - 蓬蒂尼
Ponthoile (50.21434, 1.71055) - 蓬图瓦勒
Ponthierry (48.53366, 2.54419) - 蓬蒂耶里
Ponthevrard (48.55194, 1.91049) - 蓬特夫拉尔
PontHebert (49.16714, -1.13428) - 埃贝尔桥
Pontgouin (48.48166, 1.16006) - 蓬古安
Pontgibaud (45.83242, 2.85095) - 蓬吉博
Ponteves (43.5537, 6.02923) - 蓬特韦斯
PontEveque (45.53217, 4.90922) - 主教桥
Pontenxles-Forges (44.24129, -1.12096) - 福尔热的蓬唐克斯
Ponten-Royans (45.0625, 5.34094) - 罗扬的蓬唐
Ponteilla (42.62659, 2.81427) - 蓬泰拉
PontEcrepin (48.76425, -0.24455) - 埃克雷潘桥
Pontdu-Chateau (45.7983, 3.24839) - 城堡桥
Pontdu-Casse (44.22951, 0.67679) - 卡塞桥
Pont de Vivaux (43.27604, 5.41586) - 维沃桥
Pontde-Veyle (46.26166, 4.88612) - 维勒桥
Pontde-Vaux (46.43326, 4.94473) - 沃桥
Pontde-Salars (44.28134, 2.72743) - 萨拉尔桥
Pontde-Ruan (47.26155, 0.57541) - 鲁昂桥
Pontde-Roide (47.38738, 6.7684) - 罗伊德桥
Pontde-Poitte (46.58712, 5.69135) - 普瓦特桥
Pontde-Metz (49.8782, 2.24266) - 梅斯桥
Pontde-Larn (43.50447, 2.40582) - 拉恩桥
Pontde-Labeaume (44.6667, 4.2897) - 拉博姆桥
Pontde-Cheruy (45.75344, 5.17245) - 谢吕伊桥
Pontd'Ain (46.05583, 5.33974) - 安桥
PontCroix (48.04088, -4.48714) - 十字桥
Pontchateau (47.43868, -2.09422) - 城堡桥
Pontcharra (45.43588, 6.01782) - 蓬沙拉
Pontcarre (48.79772, 2.70508) - 蓬卡雷
Ponta-Vendin (50.47358, 2.88884) - 旺丹的蓬塔
PontAven (47.85536, -3.74799) - 阿文桥
PontAuthou (49.24411, 0.71294) - 奥图桥
Pontaumur (45.86851, 2.67472) - 蓬托穆尔
PontAudemer (49.35, 0.51667) - 奥德梅尔桥
Pontarme (49.15335, 2.55024) - 蓬塔尔姆
Pontarlier (46.90347, 6.35542) - 蓬塔利耶
Ponta-Mousson (48.90702, 6.05635) - 穆松的蓬塔
Ponta-Marcq (50.52213, 3.11441) - 马克的蓬塔
Pontaillersur-Saone (47.30455, 5.41479) - 索恩河畔的蓬泰耶
Pontacq (43.18564, -0.11463) - 蓬塔克
Pons (45.58015, -0.54813) - 蓬斯
PonlatTaillebourg (43.11143, 0.59958) - 泰勒堡的蓬拉特
Poncins (45.72508, 4.17012) - 蓬桑
Poncin (46.08531, 5.4112) - 蓬桑
Ponchon (49.34652, 2.19677) - 蓬雄
Pomport (44.7798, 0.41824) - 蓬波尔
Pomponne (48.8813, 2.68232) - 蓬蓬纳
Pompignan (43.81768, 1.31209) - 蓬皮尼昂
Pompignac (44.85115, -0.43711) - 蓬皮尼亚克
Pompey (48.76876, 6.12639) - 蓬佩
Pompertuzat (43.49078, 1.51669) - 蓬佩尔图扎
Pompaire (46.60817, -0.23354) - 蓬佩尔
Pommiersla-Placette (45.31867, 5.65649) - 拉普拉塞特的蓬米耶
Pommiers (45.9554, 4.69251) - 蓬米耶
Pommeuse (48.81667, 3.01667) - 蓬缪斯
Pommeritle-Vicomte (48.61976, -3.08948) - 维孔特的蓬梅里特
PommeritJaudy (48.73211, -3.24412) - 蓬梅里特-若迪
Pommerieux (47.82386, -0.89792) - 蓬梅里厄
Pommereuil (50.11228, 3.59637) - 蓬梅勒伊
Pommeret (48.46251, -2.62656) - 蓬梅雷
Pommard (47.00965, 4.79452) - 蓬马尔
Pomeys (45.64967, 4.44389) - 蓬梅
Pomerols (43.39139, 3.49944) - 蓬梅罗尔
Pomerol (44.93333, -0.2) - 蓬梅罗
Pomas (43.11174, 2.29158) - 蓬马斯
Pomarez (43.62975, -0.82991) - 蓬马雷
Polminhac (44.95177, 2.57751) - 波尔米尼亚克
Pollionnay (45.76459, 4.66112) - 波利奥奈
Polliat (46.24849, 5.12658) - 波利亚
Pollestres (42.63799, 2.86736) - 波莱斯特雷
Polincove (50.84752, 2.09062) - 波兰科夫
Poligny (46.83712, 5.70505) - 波利尼
Poligne (47.88774, -1.68575) - 波利涅
Polignac (45.0709, 3.86031) - 波利尼亚克
Polienas (45.25235, 5.47491) - 波利耶纳
PoixTerron (49.65035, 4.64147) - 特龙的普瓦
Poixdu-Nord (50.18927, 3.60956) - 北普瓦
Poixde-Picardie (49.78333, 1.98333) - 皮卡第的普瓦
Poitiers (46.58261, 0.34348) - 普瓦捷
