Ozouerle-Voulgis (48.66012, 2.77409) 奥祖埃尔勒-武尔吉
Ozoirla-Ferriere (48.76699, 2.66871) 奥佐伊尔拉-费里耶尔
Ozillac (45.39413, -0.39385) 奥齐拉克
Ozan (37.82155, 37.68021) 奥赞
OytierSaint-Oblas (45.55757, 5.03083) 奥伊捷圣-奥布拉
Oyre (46.87281, 0.62812) 奥伊尔
Oyonnax (46.25917, 5.65727) 奥约纳
Oyeu (45.42207, 5.4744) 奥耶
OyePlage (50.97713, 2.04276) 奥耶普拉日
Oyeet-Pallet (46.84913, 6.33047) 奥耶特-帕莱
Ouzouersur-Trezee (47.67266, 2.808) 乌祖埃尔叙尔-特雷泽
Ouzouersur-Loire (47.76638, 2.48038) 乌祖埃尔叙尔-卢瓦尔
Ouzouerle-Marche (47.91055, 1.52607) 乌祖埃尔勒-马尔什
Ouvillela-Riviere (49.87373, 0.9597) 乌维尔拉-里维耶尔
OuveWirquin (50.64783, 2.13706) 乌夫维尔坎
Ouveillan (43.28858, 2.97029) 乌维扬
Outreau (50.70535, 1.5897) 乌特罗
Outarville (48.21393, 2.02198) 乌塔维尔
Oust (42.87499, 1.21521) 乌斯特
Oussonsur-Loire (47.59019, 2.78733) 乌松叙尔-卢瓦尔
Ousse (43.28317, -0.26715) 乌斯
Ourvilleen-Caux (49.72854, 0.6046) 乌尔维尔昂-科
Ourton (50.45684, 2.48132) 乌尔东
Oursbelille (43.28688, 0.03698) 乌尔斯贝利耶
Ourouxsur-Saone (46.72147, 4.95262) 乌鲁叙尔-索恩
Ourouxen-Morvan (47.18333, 3.95) 乌鲁昂-莫尔旺
Oulmes (33.42585, -6.00137) 乌尔梅斯
Oullins (45.71404, 4.80755) 乌兰
Oulins (48.86451, 1.47038) 乌兰
Oulchyle-Chateau (49.20559, 3.36975) 乌尔希勒-沙托
Ouistreham (49.27566, -0.2591) 维斯特勒阿姆
Ouillyle-Vicomte (49.18273, 0.2229) 维伊勒-维孔特
Ouillyle-Tesson (48.98658, -0.22116) 维伊勒-泰松
Ouges (47.26164, 5.07395) 乌热
Ouerre (48.70066, 1.46553) 乌埃尔
Oudrenne (49.37942, 6.32729) 乌德雷讷
Oudon (47.34692, -1.28659) 乌东
Oudezeele (50.83815, 2.50995) 乌德泽勒
Oucques (47.82252, 1.29383) 乌克
Ouches (46.01582, 3.98828) 乌什
Ouchamps (47.47284, 1.30831) 乌尚
Ouarville (48.35477, 1.77406) 瓦尔维尔
Ouanne (47.66045, 3.41832) 瓦讷
Ottrott (48.45642, 7.42556) 奥特罗
Ottmarsheim (47.78802, 7.50777) 奥特马尔斯海姆
Otterswiller (48.72568, 7.37878) 奥特斯维勒
Ottersthal (48.7546, 7.34985) 奥特斯塔尔
Ottange (49.44307, 6.01988) 奥唐日
Othis (49.07387, 2.67502) 奥蒂斯
Ota (36.3, 139.36667) 大田
Ostwald (48.54369, 7.71099) 奥斯特瓦尔德
Ostricourt (50.45145, 3.03417) 奥斯特里库尔
Osthouse (48.40208, 7.64262) 奥斯特豪斯
Osthoffen (48.58688, 7.5561) 奥斯托芬
Ossun (43.18393, -0.02662) 奥松
Osses (43.24175, -1.28464) 奥塞斯
Osseja (42.41383, 1.98192) 奥塞哈
Osse (48.05542, -1.45029) 奥斯
Osny (49.0701, 2.06277) 奥尼
Osmanville (49.32911, -1.08013) 奥斯曼维尔
Oslon (46.78369, 4.92336) 奥斯隆
Osenbach (47.98577, 7.21824) 奥森巴赫
OrvillersSorel (49.57813, 2.7085) 奥尔维莱尔索雷尔
Orvault (47.27117, -1.62361) 奥尔沃
Orval (46.72581, 2.47144) 奥尔瓦尔
Orthez (43.48834, -0.77266) 奥尔泰兹
Orthevielle (43.55268, -1.14771) 奥尔特维耶勒
Ortaffa (42.58025, 2.92502) 奥尔塔法
Orsennes (46.47648, 1.68298) 奥尔塞讷
Orschwihr (47.93489, 7.23304) 奥尔施维尔
Orschwiller (48.2416, 7.38453) 奥尔施维勒
Orsay (48.69572, 2.18727) 奥赛
Orsan (44.13181, 4.66594) 奥尔桑
Ors (50.10056, 3.634) 奥尔
Orryla-Ville (49.13345, 2.51139) 奥里拉-维尔
Orrouy (49.29076, 2.85756) 奥鲁伊
Orphin (48.57833, 1.78067) 奥尔芬
Oroer (49.49605, 2.16247) 奥罗埃
Ornex (46.2727, 6.09982) 奥尔内
Ornans (47.10749, 6.14306) 奥尔南
Ornaisons (43.18093, 2.83724) 奥尔内松
Ormoyla-Riviere (48.40502, 2.14979) 奥尔莫伊拉-里维耶尔
Ormoy (48.57489, 2.45206) 奥尔莫伊
Ormessonsur-Marne (48.7863, 2.54471) 奥尔梅松叙尔-马恩
Ormes (47.94152, 1.81823) 奥尔梅斯
Orlysur-Morin (48.90381, 3.23067) 奥尔利叙尔-莫兰
Orly (48.74792, 2.39253) 奥利
Orlienas (45.65886, 4.71832) 奥尔利耶纳
Orleix (43.27945, 0.12043) 奥尔莱
Orleat (45.86059, 3.42083) 奥尔莱
Orival (49.72429, 1.20512) 奥里瓦尔
Orist (43.64151, -1.17643) 奥里斯特
OrignySainte-Benoite (49.83333, 3.5) 奥里尼圣-贝努瓦
Orignyle-Sec (48.46609, 3.7741) 奥里尼勒-塞克
Orignyen-Thierache (49.89327, 4.01644) 奥里尼昂-蒂拉什
Orignolles (45.23076, -0.23404) 奥里尼奥勒
Orgueil (43.90618, 1.41071) 奥尔盖伊
Orgon (43.79108, 5.03869) 奥尔贡
Orgeval (48.92162, 1.9779) 奥尔热瓦尔
Orgerus (48.83851, 1.70132) 奥尔热吕斯
