Chevanceaux (45.30437, -0.23312) - 雪旺索
ChevalBlanc (43.80189, 5.06229) - 白马
Chevaigne (48.21142, -1.62966) - 谢瓦涅
Chevagnes (46.61129, 3.55097) - 谢瓦涅
Cheux (49.16611, -0.52544) - 谢
Chessyles-Pres (48.02358, 3.91534) - 谢西莱普雷
Chessy (48.88333, 2.76667) - 谢西
Cheryles-Pouilly (49.65738, 3.60393) - 谢里莱普伊
Cherveux (46.41559, -0.35743) - 谢尔沃
ChervesRichemont (45.74345, -0.35096) - 谢尔夫里什蒙
Cherves (46.71827, 0.01759) - 谢尔夫
CherveixCubas (45.28933, 1.11618) - 谢尔韦库巴
Cherrueix (48.60546, -1.71026) - 谢吕埃
Cherreau (48.19284, 0.68173) - 谢罗
Cherre (48.1729, 0.65781) - 谢尔
Cheroy (48.20076, 3.00011) - 谢罗伊
Chermignac (45.68533, -0.67462) - 谢尔米尼亚克
Cherisy (48.75, 1.43333) - 谢里西
Chereng (50.61059, 3.20666) - 谢朗
Cheraute (43.23135, -0.86835) - 谢罗特
Cherac (45.70456, -0.43859) - 谢拉克
Chepy (50.06361, 1.64694) - 谢皮
Cheptainville (48.5509, 2.27665) - 谢普坦维尔
Chepniers (45.2576, -0.31002) - 谢普涅
Cheny (47.95166, 3.5334) - 谢尼
Chenssur-Leman (46.32459, 6.27075) - 谢恩莱芒
Chenove (47.29323, 5.00457) - 谢诺夫
Chenoise (48.61462, 3.19459) - 谢诺瓦兹
Chenimenil (48.1388, 6.60346) - 谢尼梅尼尔
Cheniers (46.35095, 1.8279) - 谢尼耶
Chenieres (49.47272, 5.76614) - 谢尼耶尔
Chenevieres (48.51943, 6.62919) - 谢讷维耶尔
Chenerailles (46.11272, 2.17534) - 谢讷赖
CheneceyBuillon (47.14075, 5.95943) - 谢讷塞布永
Chenebier (47.64367, 6.72015) - 谢讷比耶
Chenay (46.32527, -0.03399) - 谢奈
Chemy (50.53111, 2.98862) - 谢米
Chemirele-Gaudin (47.92878, -0.01665) - 谢米雷勒戈丹
Cheminot (48.9475, 6.13879) - 谢米诺
Cheminon (48.73751, 4.90496) - 谢米农
Chemillysur-Yonne (47.8982, 3.56139) - 谢米伊叙尔约讷
Chemilly (46.48794, 3.31469) - 谢米伊
Chemillesur-Deme (47.65845, 0.6481) - 谢米耶叙尔德梅
ChemilleMelay (47.21476, -0.72488) - 谢米耶梅莱
Chemery (47.34682, 1.47899) - 谢梅里
Chemere (47.11667, -1.91667) - 谢梅尔
Chemellier (47.34109, -0.35775) - 谢梅利耶
Chemaze (47.78718, -0.77513) - 谢马兹
Chemaudin (47.22392, 5.89419) - 谢莫丹
Chelles (48.88109, 2.59295) - 谢勒
Chelieu (45.51163, 5.47607) - 谢利厄
Cheixen-Retz (47.18197, -1.8139) - 谢克桑雷
Cheille (47.26114, 0.40553) - 谢伊
Cheffois (46.66721, -0.79024) - 谢富瓦
Cheffes (47.61667, -0.5) - 谢夫
Chefdu-Pont (49.38476, -1.34368) - 谢夫迪蓬
ChefBoutonne (46.10922, -0.07005) - 谢夫布通
Checy (47.89402, 2.02304) - 谢西
Chazeysur-Ain (45.893, 5.25352) - 沙泽叙尔安
ChazeyBons (45.80403, 5.68236) - 沙泽邦
Chazesur-Argos (47.6172, -0.89249) - 沙泽叙尔阿尔戈
Chazellessur-Lyon (45.63779, 4.3889) - 沙泽莱叙尔里昂
Chazelles (45.64746, 0.36723) - 沙泽勒
ChazeHenry (47.75267, -1.11156) - 沙泽昂利
Chaville (48.80565, 2.18864) - 沙维尔
Chavigny (48.62899, 6.12317) - 沙维尼
Chavignon (49.47929, 3.52214) - 沙维尼翁
Chaveyriat (46.19783, 5.06057) - 沙韦里亚
Chavenay (48.85437, 1.99163) - 沙韦奈
Chavelot (48.23459, 6.43809) - 沙韦洛
Chaveignes (47.0384, 0.34973) - 沙韦涅
Chavanoz (45.76846, 5.18808) - 沙瓦诺
Chavanod (45.89005, 6.03928) - 沙瓦诺
Chavannessur-Suran (46.26351, 5.42798) - 沙瓦讷叙尔叙朗
Chavanges (48.50899, 4.57598) - 沙旺日
Chavanay (45.41647, 4.72602) - 沙瓦奈
Chavagnesles-Redoux (46.71671, -0.91927) - 沙瓦涅莱勒杜
Chavagnesen-Paillers (46.8925, -1.25193) - 沙瓦涅昂帕耶
Chavagnes (47.26993, -0.45479) - 沙瓦涅
Chavagne (48.05366, -1.7877) - 沙瓦涅
Chaux (47.7153, 6.83519) - 肖
Chauvigny (46.56979, 0.64346) - 肖维尼
Chauvigne (48.37665, -1.46081) - 肖维涅
Chauve (47.15199, -1.98666) - 肖夫
Chaussy (49.12194, 1.69148) - 肖西
ChaussoyEpagny (49.73333, 2.33333) - 肖索伊埃帕尼
Chaussin (46.96612, 5.40791) - 肖桑
Chaussan (45.63365, 4.63932) - 肖桑
Chauriat (45.75127, 3.27895) - 肖里亚
Chauray (46.36066, -0.37753) - 肖雷
Chauny (49.61514, 3.21857) - 肖尼
Chaunay (46.20727, 0.16412) - 肖奈
Chaumousey (48.17333, 6.33462) - 肖穆塞
Chaumot (48.08027, 3.21835) - 肖莫
Chaumontsur-Tharonne (47.61039, 1.90514) - 肖蒙叙尔塔龙
Chaumontsur-Loire (47.48108, 1.18929) - 肖蒙叙尔卢瓦尔
Chaumonten-Vexin (49.26595, 1.88597) - 肖蒙昂韦克桑
Chaumontel (49.1247, 2.43237) - 肖蒙泰尔
Chaumont (48.11121, 5.14134) - 肖蒙
Chaumesen-Brie (48.66853, 2.84015) - 肖姆昂布里耶
