Cerise (48.45, 0.13333) - 樱桃
Cerilly (46.61791, 2.8208) - 塞里伊
Cergy (49.03645, 2.07613) - 塞尔吉
Ceret (42.48533, 2.74804) - 塞雷
Cereste (43.8558, 5.58685) - 塞雷斯特
Cerences (48.91667, -1.4347) - 塞朗斯
Cerelles (47.50168, 0.68333) - 塞雷勒
Cerdon (47.63571, 2.36277) - 塞尔东
Cercyla-Tour (46.86203, 3.64652) - 塞尔西拉图尔
Cercoux (45.12954, -0.20571) - 塞尔库
Cercottes (47.98642, 1.88304) - 塞尔科特
Cercier (46.02578, 6.04899) - 塞尔西耶
Cercie (46.1197, 4.67067) - 塞尔西耶
CeransFoulletourte (47.82742, 0.07549) - 塞朗福莱图尔特
Cepoy (48.04795, 2.73782) - 塞普瓦
Cepie (43.10502, 2.24413) - 塞皮耶
Cepet (43.74979, 1.43089) - 塞佩
Centres (44.16416, 2.40886) - 桑特尔
Cenonsur-Vienne (46.77409, 0.53663) - 维埃纳河畔塞农
Cenon (44.85614, -0.53355) - 塞农
Cendrieux (44.99624, 0.82384) - 桑德里厄
Cendras (44.15, 4.06667) - 桑德拉
Cenac (44.77977, -0.4605) - 塞纳克
Cempuis (49.65947, 1.99112) - 桑皮
Cely (48.45959, 2.53245) - 塞利
Cellule (45.94732, 3.14055) - 塞吕勒
Cellieu (45.51866, 4.54332) - 塞利厄
Cellettes (47.52758, 1.38102) - 塞莱特
Cellessur-Plaine (48.45383, 6.94984) - 普莱讷河畔塞勒
Cellessur-Durolle (45.85829, 3.6354) - 杜罗勒河畔塞勒
Cellessur-Belle (46.26183, -0.2118) - 贝勒河畔塞勒
CelleLevescault (46.42358, 0.18733) - 塞勒莱韦斯科
Ceintrey (48.5248, 6.16331) - 桑特雷
Ceffonds (48.47097, 4.76399) - 塞丰
Cebazat (45.8314, 3.09992) - 塞巴扎
Ceauxen-Loudun (47.02596, 0.23852) - 洛丹的索
Ceauxen-Couhe (46.31667, 0.23333) - 库埃的索
Ceaulmont (46.52323, 1.5757) - 索蒙
Ceauce (48.49436, -0.62526) - 索斯
Cazoulsles-Beziers (43.39236, 3.10114) - 贝济耶的卡祖尔
Cazilhac (43.18365, 2.36241) - 卡齐拉克
CazesMondenard (44.22726, 1.2018) - 卡泽蒙德纳尔
Cazeressur-l'Adour (43.76088, -0.31702) - 阿杜尔河畔卡泽雷
Cazeres (43.20718, 1.08578) - 卡泽雷
Cazaubon (43.93475, -0.07209) - 卡佐邦
Cazals (44.64354, 1.22561) - 卡扎尔
Cayres (44.92543, 3.80705) - 凯尔
Caylus (44.23646, 1.77105) - 凯吕斯
Cayeuxsur-Mer (50.182, 1.494) - 梅尔河畔凯约
Cavillargues (44.1148, 4.5222) - 卡维拉尔格
Cavignac (45.10062, -0.38967) - 卡维尼亚克
Caves (42.93167, 2.97471) - 卡夫
Caveirac (43.82437, 4.26664) - 卡韦拉克
Cavanac (43.17002, 2.32292) - 卡瓦纳克
Cavan (53.99083, -7.36056) - 卡万
Cavalairesur-Mer (43.17261, 6.52959) - 梅尔河畔卡瓦莱尔
Cavaillon (43.83125, 5.03586) - 卡瓦永
Cauxet-Sauzens (43.22521, 2.25593) - 科塞和索赞
Cauvillesur-Mer (49.6, 0.13333) - 梅尔河畔科维尔
Cauvigny (49.3018, 2.24844) - 科维尼
Cauterets (42.8892, -0.11412) - 科特雷
Causseset-Veyran (43.47414, 3.08573) - 科斯和韦朗
Caussens (43.94303, 0.42398) - 科森
Caussade (44.16125, 1.53691) - 科萨德
Cauroir (50.17303, 3.30253) - 科鲁瓦
Cauro (41.91756, 8.9148) - 科罗
Caurel (49.30393, 4.15305) - 科雷尔
CaunesMinervois (43.32771, 2.52679) - 米内尔瓦的科讷
Cauneille (43.54661, -1.06367) - 科内伊
Caumontsur-Garonne (44.43879, 0.18144) - 加龙河畔科蒙
Caumontsur-Durance (43.89356, 4.94745) - 杜朗斯河畔科蒙
Caumontl'Evente (49.09017, -0.80501) - 埃文特的科蒙
Caumont (49.36642, 0.89591) - 科蒙
