Cabasse (43.42646, 6.21917) 卡巴斯
Cabariot (45.92553, -0.85743) 卡巴里奥
Cabannes (43.86015, 4.95192) 卡班纳
Byanssur-Doubs (47.11486, 5.8546) 比昂叙尔-杜
BuzyDarmont (49.16667, 5.7) 比齐达尔蒙
Buzy (43.133, -0.4595) 比齐
Buzetsur-Tarn (43.77977, 1.63301) 比泽叙尔-塔恩
Buzetsur-Baise (44.25816, 0.29889) 比泽叙尔-贝兹
Buzancais (46.88877, 1.4195) 比赞塞
Buxy (46.71369, 4.70427) 比克西
Buxieresles-Mines (46.46807, 2.95994) 比克西耶尔莱斯-米讷
Buxerolles (46.61667, 0.48333) 比克斯罗勒
Butten (48.97064, 7.22262) 比滕
Butrysur-Oise (49.08837, 2.19916) 比特里叙尔-瓦兹
Buthiers (48.28712, 2.43163) 比蒂耶
Busy (47.16727, 5.9482) 比西
BussySaint-Martin (48.84898, 2.69044) 比西圣马丁
BussySaint-Georges (48.84099, 2.70165) 比西圣乔治
Bussyen-Othe (48.01942, 3.51372) 比西昂-奥特
Bussieres (45.8357, 4.27123) 比西耶尔
BussierePoitevine (46.23537, 0.90481) 比西耶尔普瓦特维纳
BussiereGalant (45.6269, 1.03636) 比西耶尔加朗
BussiereDunoise (46.25845, 1.76228) 比西耶尔迪努瓦兹
BussiereBadil (45.65135, 0.60517) 比西耶尔巴迪尔
Busset (46.06185, 3.51262) 比塞
Busserolles (45.67656, 0.64209) 比塞罗勒
Bussang (47.88449, 6.85272) 比桑
BussacForet (45.21276, -0.37017) 比萨克福雷
Bussacsur-Charente (45.78333, -0.63333) 比萨克叙尔-夏朗德
Busque (43.78223, 1.9598) 比斯克
Busnes (50.58781, 2.51827) 比内斯
Busigny (50.03424, 3.46713) 比西尼
Buschwiller (47.55879, 7.50744) 比施维勒
Burzet (44.73985, 4.24446) 比尔泽
Buros (43.35256, -0.30959) 比罗斯
Burnhauptle-Haut (47.73162, 7.14437) 比尔纳普特勒-奥
Burnhauptle-Bas (47.71764, 7.16148) 比尔纳普特勒-巴
Burlats (43.63641, 2.31818) 比尔拉
Burie (45.77273, -0.42289) 比里
Burgnac (45.72593, 1.15113) 比尔尼亚克
Buressur-Yvette (48.69981, 2.17064) 比雷叙尔-伊韦特
Burdignin (46.22142, 6.42352) 比尔迪尼
Burbure (50.53663, 2.46897) 比尔比尔
BunoBonnevaux (48.35625, 2.38677) 比诺博讷沃
Bullyles-Mines (50.4438, 2.72703) 比利莱斯-米讷
Bully (45.85113, 4.58328) 比利
Bullion (48.62285, 1.99024) 比利翁
Bulles (49.45948, 2.32566) 比勒
Bulgneville (48.20694, 5.8343) 比尔涅维尔
Bujaleuf (45.79673, 1.62828) 比雅勒夫
Buisles-Baronnies (44.27647, 5.27187) 比伊莱斯-巴罗尼
Buironfosse (49.96659, 3.83587) 比龙福斯
Buirele-Sec (50.3843, 1.83251) 比尔勒-塞克
Buire (49.90301, 4.05499) 比尔
BuignySaint-Maclou (50.15526, 1.81349) 比尼圣马克卢
Bugnicourt (50.29143, 3.15524) 比尼库尔
Bugeat (45.59809, 1.92727) 比热阿
Buellas (46.2111, 5.1322) 比拉
Bueil (48.93189, 1.44257) 比伊
Budos (44.53359, -0.38573) 比多斯
Budeliere (46.22026, 2.46803) 比德利耶尔
Bucyle-Long (49.39072, 3.39582) 比西勒-隆
Bucquoy (50.13973, 2.71036) 比库瓦
Buchy (49.58513, 1.35852) 比希
Bucheres (48.23508, 4.1131) 比谢尔
Buchelay (48.97926, 1.67026) 比谢莱
Buceyles-Gy (47.42293, 5.84281) 比塞莱-吉
Buc (48.77627, 2.12577) 比克
Bubry (47.96345, -3.17347) 比布里
Buais (48.52284, -0.97015) 比艾
Bu (48.79705, 1.49702) 比
Brysur-Marne (48.83811, 2.52488) 布里叙尔-马恩
Bruz (48.02459, -1.74709) 布吕兹
Bruyeressur-Oise (49.15756, 2.32577) 布吕耶尔叙尔-瓦兹
Bruyeresle-Chatel (48.58868, 2.18991) 布吕耶尔勒-沙泰尔
Bruyeres (48.20709, 6.71845) 布吕耶尔
Brux (46.23593, 0.19306) 布吕
Brusvily (48.39042, -2.12741) 布吕斯维利
Brussieu (45.74819, 4.5245) 布吕西厄
Brunstatt (47.72131, 7.32009) 布伦施塔特
Brunoy (48.6942, 2.49223) 布鲁诺伊
Bruniquel (44.05484, 1.66391) 布吕尼凯尔
Brunelles (48.3242, 0.89335) 布吕内勒
Brunehamel (49.77004, 4.182) 布吕内阿梅尔
Brumath (48.73398, 7.71095) 布吕马特
Brulon (47.9686, -0.23484) 布吕隆
Brullioles (45.7612, 4.4992) 布吕略勒
Bruley (48.70677, 5.85252) 布吕莱
Brulain (46.20193, -0.32044) 布吕兰
BruilleSaint-Amand (50.46605, 3.50013) 布吕耶圣阿芒
Bruguieres (43.7272, 1.40762) 布吕吉耶尔
Brugheas (46.07676, 3.3678) 布吕热阿
Bruges (44.88287, -0.61222) 布吕日
BrugesCapbis-Mifaget (43.13333, -0.3) 布吕热卡比米法热
BruereAllichamps (46.76848, 2.43258) 布吕埃尔阿利尚
Bruebach (47.70069, 7.35903) 布吕巴赫
BrueAuriac (43.52906, 5.94257) 布吕奥里亚克
Brucsur-Aff (47.81471, -2.01964) 布吕克叙尔-阿夫
Bruaysur-l'Escaut (50.39918, 3.54379) 布吕埃叙尔-莱斯科
Bruayla-Buissiere (50.48333, 2.55) 布吕埃拉-比西耶尔
