Bruailles (46.5959, 5.23555) 布鲁阿耶
Bru (48.34777, 6.68248) 布吕
Broye (46.87184, 4.29054) 布鲁瓦
Brouzetles-Ales (44.13683, 4.24573) 布鲁泽莱阿莱
Brouvelieures (48.23691, 6.73108) 布鲁韦利厄尔
BroutVernet (46.18756, 3.27324) 布鲁韦尔内
Brousur-Chantereine (48.88333, 2.63333) 布鲁叙尔尚特雷讷
Brousseval (48.48978, 4.9669) 布鲁塞瓦尔
Brouilla (42.56701, 2.90299) 布鲁亚
Broue (48.74871, 1.52347) 布鲁埃
Brouderdorff (48.69725, 7.10153) 布鲁德多夫
Brouckerque (50.95476, 2.29378) 布鲁克凯尔克
Brouchy (49.71667, 3.1) 布鲁希
Brou (48.21719, 1.16539) 布鲁
Brosville (49.1, 1.11667) 布罗斯维尔
Brossac (45.33031, -0.04519) 布罗萨克
Broquies (44.00505, 2.69602) 布罗基耶
Broons (48.31721, -2.26054) 布龙
Bronvaux (49.19597, 6.08677) 布龙沃
Bron (45.73865, 4.91303) 布龙
Brommat (44.83002, 2.68456) 布罗马
Broglie (49.00911, 0.52915) 布罗伊
Brochon (47.23839, 4.96906) 布罗雄
Brocas (44.04429, -0.53232) 布罗卡
Brizambourg (45.82016, -0.47829) 布里藏堡
Brix (49.54512, -1.58012) 布里克斯
BrivesCharensac (45.0478, 3.92878) 布里夫沙朗萨克
Brivela-Gaillarde (45.1589, 1.53326) 布里夫拉盖亚尔德
Brissarthe (47.70052, -0.44875) 布里萨尔特
BrissacQuince (47.35575, -0.44924) 布里萨克坎塞
Brissac (43.87884, 3.70188) 布里萨克
BrisonSaint-Innocent (45.7244, 5.88895) 布里松圣伊诺桑
Briscous (43.46028, -1.33394) 布里斯库
Briouze (48.69848, -0.36806) 布里乌兹
Briouxsur-Boutonne (46.14206, -0.22259) 布里乌叙尔布通
Brioude (45.29419, 3.38423) 布里乌德
Briord (45.78604, 5.45657) 布里奥尔
Brionpres-Thouet (47.05264, -0.1868) 布里翁普雷图埃
Brionne (49.19553, 0.7151) 布里翁
Brion (47.44121, -0.15616) 布里翁
Briollay (47.56446, -0.50805) 布里奥莱
Brinsur-Seille (48.77986, 6.35462) 布兰叙尔塞耶
Brinonsur-Sauldre (47.566, 2.25647) 布里农叙尔索尔德尔
Brindas (45.72111, 4.69349) 布兰达
Brimeux (50.44348, 1.83489) 布里默
Brillonen-Barrois (48.71209, 5.0951) 布里隆昂巴鲁瓦
Brillon (50.435, 3.32891) 布里永
Brillac (46.06084, 0.77733) 布里亚克
Briissous-Forges (48.62399, 2.12112) 布里苏福尔日
Brigueuil (45.95342, 0.86032) 布里盖伊
Brigueille-Chantre (46.39575, 1.08752) 布里盖伊尚特尔
Brignon (43.98905, 4.21342) 布里尼翁
Brignoles (43.4058, 6.06172) 布里尼奥勒
BrignoganPlages (48.66433, -4.32655) 布里尼奥冈普拉日
Brignais (45.67383, 4.75418) 布里尼
Brignacla-Plaine (45.18886, 1.33907) 布里尼亚克拉普兰
Briey (49.2492, 5.93975) 布里耶
Brieresles-Scelles (48.45648, 2.13712) 布里耶尔莱塞勒
Brienonsur-Armancon (47.99009, 3.61628) 布里农叙尔阿尔芒松
Briennon (46.15127, 4.0769) 布里农
Briennele-Chateau (48.39319, 4.52637) 布里耶讷勒沙托
Brielles (48.00879, -1.08985) 布里耶勒
Brieet-Angonnes (45.12418, 5.78374) 布里埃昂戈讷
BrieComte-Robert (48.69247, 2.6109) 布里孔特罗贝尔
Briec (48.10184, -3.99915) 布里埃克
Brie (45.73812, 0.24077) 布里
Bridore (47.02799, 1.08299) 布里多尔
Bridesles-Bains (45.453, 6.56832) 布里德莱班
Bricy (47.99847, 1.77937) 布里西
Bricquevillesur-Mer (48.91331, -1.52101) 布里克维尔叙尔梅尔
Bricquebec (49.47008, -1.63254) 布里克贝克
Briatexte (43.75237, 1.90879) 布里亚泰克斯特
Briastre (50.161, 3.48518) 布里亚斯特尔
Briarressur-Essonne (48.23333, 2.41667) 布里亚尔叙尔埃松
Briare (47.63343, 2.7438) 布里亚尔
Briantes (46.55742, 2.02181) 布里昂特
Briancon (44.89978, 6.64201) 布里昂松
Brezolles (48.69033, 1.07404) 布雷佐勒
Brezins (45.35213, 5.30539) 布雷赞
Breze (47.17266, -0.06132) 布雷泽
BrexentEnocq (50.51025, 1.73095) 布雷克桑特诺克
Brevonnes (48.35899, 4.39951) 布雷沃讷
Brevilliers (47.58226, 6.7897) 布雷维利耶
Brevillesur-Mer (48.86551, -1.55645) 布雷维尔叙尔梅尔
Brevilleles-Monts (49.23333, -0.23333) 布雷维尔莱蒙
Breville (45.79664, -0.2623) 布雷维尔
Breviandes (48.25693, 4.09531) 布雷维昂德
Brevans (47.09698, 5.5248) 布雷旺
Breval (48.94545, 1.53309) 布雷瓦尔
Breuschwickersheim (48.58007, 7.60159) 布勒施维克尔塞姆
Breureyles-Faverney (47.75548, 6.13109) 布勒雷莱法韦尔内
Breuilpont (48.96398, 1.42919) 布勒伊蓬
BreuilMagne (45.98387, -0.95885) 布勒伊马涅
Breuille-Vert (49.36176, 2.43633) 布勒伊勒韦尔
Breuillet (48.57064, 2.17424) 布勒伊莱
Breuille-Sec (49.37135, 2.45084) 布勒伊勒塞克
Brueilen-Vexin (49.03333, 1.81667) 布吕埃勒韦克桑
BreuilBois-Robert (48.94557, 1.71703) 布勒伊布瓦罗贝尔
BreuilBarret (46.65241, -0.68241) 布勒伊巴雷
Breuches (47.79909, 6.32861) 布勒什
