Carshove (40.11806, 20.54083) 卡尔绍夫
Kokaj (41.87833, 20.50472) 科卡伊
Buz (40.445, 20.00472) 布兹
Bushtrice (41.87861, 20.42194) 布什特里采
Burrel (41.61028, 20.00889) 布雷尔
Bulqize (41.49167, 20.22194) 布尔奇泽
Bujan (42.32639, 20.07639) 布扬
Bradashesh (41.105, 20.0225) 布拉达舍什
Blinisht (41.86139, 20) 布利尼什特
Blerim (42.16056, 20.19194) 布莱里姆
Bilisht (40.6275, 20.99) 比利什特
Bicaj (41.99472, 20.4125) 比卡伊
Dardhas (40.84583, 20.65722) 达尔达斯
Barmash (40.27778, 20.61833) 巴尔马什
Ballaban (40.41667, 20.13444) 巴拉班
Arrez (40.50111, 20.83972) 阿雷兹
Arren (41.91306, 20.28833) 阿伦
Arras (50.29301, 2.78186) 阿拉斯
Bytyc (42.31, 20.20278) 比蒂奇
LibrazhdQender (41.19694, 20.33556) 利布拉日德中心
Funare (41.19639, 20.05972) 富纳雷
Lumas (40.96889, 20.00972) 卢马斯
Moglice (40.71806, 20.43806) 莫格利采
Bogove (40.57111, 20.15) 博戈韦
Piskove (40.27917, 20.2725) 皮斯科韦
Lukove (39.99222, 19.91389) 卢科韦
Ksamil (39.76889, 19.99972) 克萨米尔
Zharrez (40.70917, 19.64972) 扎雷兹
Zejmen (41.70778, 19.68917) 泽伊门
ZallHerr (41.38944, 19.8275) 扎尔赫尔
ZallBastar (41.42972, 19.93028) 扎尔巴斯塔尔
Xhafzotaj (41.34444, 19.5475) 夏夫佐泰
Vukatane (42.02806, 19.54778) 武卡塔内
Vranisht (40.20972, 19.69083) 弗拉尼什特
Vore (41.39083, 19.655) 沃雷
Vlore (40.4686, 19.48318) 弗洛勒
Vlashuk (40.85444, 19.9025) 弗拉舒克
Veterrik (40.73583, 19.91) 韦特里克
Velipoje (41.87833, 19.40556) 韦利波耶
Veleshnje (40.62889, 19.93806) 韦莱什涅
Velagosht (40.83694, 19.9675) 韦拉戈什特
Velabisht (40.70167, 19.93222) 韦拉比什特
Vaqarr (41.29917, 19.74417) 瓦卡尔
Uznove (40.69722, 19.98028) 乌兹诺韦
Ura Vajgurore (40.76889, 19.87778) 乌拉瓦伊古罗雷
Ungrej (41.87528, 19.79472) 翁格雷
Ullinjas (40.74389, 19.97194) 乌林贾斯
Ulez (51.59195, 22.10741) 乌莱兹
Topoje (40.76306, 19.43278) 托波耶
Tirana (41.3275, 19.81889) 地拉那
Thumane (41.5475, 19.67778) 图马内
Terbuf (41.04, 19.61417) 特尔布夫
Tapi (40.79361, 19.88028) 塔皮
Syzes (40.82327, 19.81988) 西泽斯
Synej (41.18, 19.5425) 西内伊
Sukth (41.38056, 19.53778) 苏克特
Strum (44.54969, -91.39266) 斯特鲁姆
Starove (40.71722, 19.91778) 斯塔罗韦
Sqepur (40.78393, 19.81858) 斯克普尔
Skrevan (40.74833, 19.82472) 斯克雷万
Sinaballaj (41.06889, 19.69944) 西纳巴拉伊
Shkoder (42.06828, 19.51258) 斯库台
Shijak (41.34556, 19.56722) 希贾克
Sheze (41.02417, 19.81611) 谢泽
Shenkoll (41.69083, 19.65333) 申科尔
Shengjergj (41.18333, 19.53333) 申杰尔杰
Shales (40.99861, 19.94778) 沙莱斯
NicajShale (42.29944, 19.805) 尼卡伊沙莱
Sevaster (40.39639, 19.72972) 塞瓦斯特
Selite (41.63528, 19.755) 塞利特
Valbone (42.45139, 19.89167) 瓦尔博内
Selenice (40.53056, 19.63583) 塞莱尼采
Samatice (40.80591, 19.7516) 萨马蒂采
Ruzhdie (40.67083, 19.69833) 鲁兹迪耶
Rubik (41.77444, 19.78611) 鲁比克
Rrogozhine (41.07639, 19.66528) 罗戈日内
Rreshen (41.7675, 19.87556) 雷申
Rerez (40.77709, 19.76111) 雷雷兹
Rrashbull (41.32278, 19.51028) 拉什布尔
Rrasa e Siperme (40.96778, 19.82111) 拉萨埃西佩尔梅
Rrape (42.04444, 19.97056) 拉佩
Roskovec (40.7375, 19.70222) 罗斯科韦克
Remas (40.88639, 19.51139) 雷马斯
Qerret (42.05306, 19.83722) 切雷特
Qelez (42.08972, 19.895) 切莱兹
Puke (42.04444, 19.89972) 普克
Progonat (40.21333, 19.94472) 普罗戈纳特
Preze (41.42722, 19.67278) 普雷泽
Poshnje (40.78028, 19.84417) 波什涅
Portez (40.69917, 19.57444) 波尔泰兹
Pobrat (40.76713, 19.78608) 波布拉特
Peza e Madhe (41.2175, 19.69611) 佩扎埃马德
Petrele (41.25306, 19.85306) 佩特雷莱
Perparim (41.05, 19.79917) 佩尔帕里姆
Perondi (40.77889, 19.92306) 佩隆迪
Peqin (41.04611, 19.75111) 佩钦
Patos Fshat (40.64278, 19.65083) 帕托斯村
Patos (-7.02444, -37.28) 帕托斯
Paskuqan (41.35389, 19.80667) 帕斯库坎
Pashalli (40.77026, 19.86113) 帕沙利
