Bonchamples-Laval (48.07379, -0.70195) 邦尚普勒-拉瓦尔
Bomy (50.5737, 2.23471) 博米
Bompas (42.73099, 2.93325) 博帕斯
Bommes (44.54681, -0.35741) 博梅斯
Bombon (13.6887, 123.2077) 邦邦
Bolquere (42.50314, 2.07557) 博尔凯尔
Bologne (48.20005, 5.14209) 博洛涅
Bollwiller (47.85832, 7.26179) 博尔维勒
Bollezeele (50.86687, 2.34751) 博勒泽勒
Bolleville (49.59963, 0.56489) 博勒维尔
Bollene (44.28124, 4.74891) 博莱讷
Bolbec (49.57321, 0.47339) 博尔贝克
Boistrudan (47.96969, -1.40133) 博伊斯特鲁丹
Boissysous-Saint-Yon (48.55379, 2.21212) 博伊西苏圣扬
Boissysans-Avoir (48.81667, 1.8) 博伊西桑阿沃尔
BoissySaint-Leger (48.75149, 2.51163) 博伊西圣莱热
BoissyMauvoisin (48.96319, 1.57818) 博伊西莫沃桑
Boissyles-Perche (48.68525, 0.88926) 博伊西莱佩尔什
Boissyle-Sec (48.47859, 2.09) 博伊西勒塞克
Boissyle-Cutte (48.4702, 2.28326) 博伊西勒库特
Boissyle-Chatel (48.82073, 3.13651) 博伊西勒沙泰尔
BoissyFresnoy (49.16438, 2.87022) 博伊西弗雷努瓦
Boissisele-Roi (48.52479, 2.56971) 博伊西勒鲁瓦
Boissisela-Bertrand (48.52849, 2.58943) 博伊西拉贝特朗
Boissieres (43.77488, 4.23424) 博瓦西耶尔
Boisseyle-Chatel (49.27108, 0.78391) 博瓦西勒沙泰尔
Boisseuil (45.77003, 1.33124) 博瓦瑟伊
BoissetSaint-Priest (45.5131, 4.10388) 博瓦塞圣普里耶斯特
Boissetles-Montrond (45.62695, 4.21314) 博瓦塞莱蒙特龙
Boisset (44.0476, 4.00908) 博瓦塞
Boisseron (43.75795, 4.0797) 博瓦塞龙
BoissePenchot (44.59233, 2.20722) 博瓦塞潘肖
Boisredon (45.31449, -0.53886) 博瓦雷东
Boismorand (47.7859, 2.71876) 博瓦莫朗
Boismont (50.15208, 1.68529) 博瓦蒙
Boisme (46.77472, -0.43573) 博瓦梅
Boisle-Roi (48.47348, 2.70464) 博瓦勒鲁瓦
BoisGuillaume (49.4602, 1.12219) 博瓦吉约姆
BoisGrenier (50.64985, 2.87409) 博瓦格勒尼耶
Boisgervilly (48.16688, -2.06436) 博瓦热尔维利
Boisemont (49.02493, 2.00575) 博瓦蒙
