Blanzat (45.82975, 3.07794) 布朗扎
BlanzacPorcheresse (45.48333, 0.03333) 布朗扎克波尔谢雷斯
Blanquefort (44.91065, -0.63758) 布朗克福尔
BlangyTronville (49.87902, 2.42263) 布朗吉特龙维尔
Blangysur-Ternoise (50.4215, 2.16874) 布朗吉叙尔泰尔努瓦兹
Blangysur-Bresle (49.93211, 1.62514) 布朗吉叙尔布雷斯勒
Blangyle-Chateau (49.24303, 0.27339) 布朗吉勒沙托
Blandy (48.56718, 2.78178) 布朗迪
Blan (43.52776, 2.00794) 布朗
Blamont (47.38513, 6.848) 布拉蒙
Blajan (43.25979, 0.64294) 布拉让
BlaisyBas (47.37107, 4.73845) 布莱西巴
BlaisonGohier (47.39951, -0.37723) 布莱松戈耶
Blainvillesur-Orne (49.22913, -0.30061) 布兰维尔叙尔奥恩
Blainvillesur-Mer (49.06599, -1.5834) 布兰维尔叙尔梅尔
BlainvilleCrevon (49.50395, 1.29952) 布兰维尔克雷翁
Blaincourtles-Precy (49.23333, 2.35) 布兰库尔莱普雷西
Blain (47.47563, -1.76449) 布兰
Blagny (49.62167, 5.19194) 布拉尼
Blagnac (43.63675, 1.38971) 布拉尼亚克
Blaesheim (48.50648, 7.60923) 布莱斯海姆
Blacy (48.72504, 4.5545) 布拉西
Blacqueville (49.56203, 0.86714) 布拉克维尔
Blace (46.03152, 4.64448) 布拉斯
Bizonnes (45.45274, 5.37949) 比佐讷
Biziat (46.21735, 4.94304) 比齐亚
BizeMinervois (43.31843, 2.87078) 比兹米内尔瓦
Bizanos (43.28753, -0.35164) 比扎诺斯
Bizanet (43.16498, 2.87046) 比扎内
Bivillela-Baignarde (49.72214, 1.04857) 比维尔拉贝尼亚尔德
Biviers (45.23333, 5.8) 比维耶
Bitche (49.05232, 7.42992) 比奇
Bisseuil (49.04619, 4.08803) 比瑟伊
Bisel (47.53527, 7.2183) 比塞尔
Bischwiller (48.76826, 7.85406) 比施维莱尔
Bischwihr (48.0971, 7.43719) 比施维尔
Bischoffsheim (48.48703, 7.48967) 比舍夫赛姆
Biscarrosse (44.39454, -1.16721) 比斯卡罗斯
Biron (44.42385, -89.7804) 比龙
Biriatou (43.33333, -1.74335) 比里亚图
Biracsur-Trec (44.48592, 0.26479) 比拉克叙尔特雷克
Biozat (46.07688, 3.27243) 比奥扎
Bioule (44.08953, 1.53859) 比乌勒
Biot (43.62852, 7.0953) 比奥
Bining (49.03729, 7.25273) 比宁
Binic (48.60498, -2.82428) 比尼克
Binges (47.32957, 5.26732) 比涅
Bindernheim (48.28342, 7.60786) 比登海姆
Binas (47.90424, 1.46194) 比纳
Billysur-Aisne (49.35632, 3.38357) 比利叙尔埃纳
BillyMontigny (50.41711, 2.90286) 比利蒙蒂尼
BillyBerclau (50.51783, 2.86613) 比利贝尔克劳
Billy (46.23649, 3.42909) 比利
Billom (45.72267, 3.33869) 比隆
Billiers (47.5321, -2.49013) 比利耶
Billere (43.30264, -0.39733) 比莱尔
Bille (48.28823, -1.24559) 比耶
Bilieu (45.44809, 5.54268) 比利厄
Bihorel (49.45468, 1.1223) 比奥雷尔
Biguglia (42.62692, 9.42018) 比古利亚
Bignoux (46.59969, 0.46943) 比尼奥
Bignan (47.87889, -2.77432) 比尼昂
Biganos (44.64425, -0.97841) 比加诺斯
Bievres (48.75772, 2.21881) 比耶夫尔
BievilleBeuville (49.24293, -0.32762) 比耶维尔博维尔
Bieuzy (47.98463, -3.06346) 比厄齐
Biesles (48.08597, 5.29409) 比耶勒
Biesheim (48.04118, 7.54474) 比耶斯海姆
Bierne (50.96232, 2.40963) 比耶尔讷
Bienville (48.57582, 5.04579) 比安维尔
Bidart (43.43698, -1.59294) 比达尔
Bidarray (43.26673, -1.34522) 比达赖
Bidache (43.48317, -1.1413) 比达什
Bicqueley (48.62615, 5.91178) 比克莱
Bichancourt (49.57953, 3.21781) 比尚库尔
Biaudos (43.55123, -1.30567) 比奥多斯
Bias (44.41595, 0.66933) 比亚斯
Biarssur-Cere (44.92831, 1.8465) 比亚尔叙尔塞雷
Biarritz (43.48055, -1.55684) 比亚里茨
Biard (46.57726, 0.30554) 比亚尔
Biansles-Usiers (46.96444, 6.27486) 比昂莱于西耶
BiacheSaint-Vaast (50.30869, 2.94777) 比亚什圣瓦斯特
BezuSaint-Eloi (49.29524, 1.70404) 贝祖圣埃洛伊
Bezouce (43.8819, 4.49034) 贝祖斯
Bezons (48.92426, 2.2128) 贝宗
Beziers (43.34122, 3.21402) 贝济耶
Bezenet (46.32902, 2.84495) 贝泽内
Beze (47.46794, 5.27119) 贝兹
Bezannes (49.22339, 3.98892) 贝扎讷
Beyssac (45.37131, 1.40387) 贝萨克
Beyriesur-Joyeuse (43.31667, -1.06667) 贝里叙尔若耶斯
Beynost (45.83569, 4.9991) 贝诺斯特
Beynes (48.85626, 1.87261) 贝纳
Beynat (45.12444, 1.72323) 贝纳
Beynacet-Cazenac (44.83965, 1.14387) 贝纳克卡泽纳克
Beynac (45.76698, 1.16798) 贝纳克
Beychac (44.87747, -0.40277) 贝沙克
Bey (46.81985, 4.96764) 贝
Bevillers (50.15738, 3.3901) 贝维耶
Bevillele-Comte (48.43558, 1.71305) 贝维尔勒孔特
