Vernham Dean (51.30704, -1.51197) 弗恩汉姆迪恩
Uttoxeter (52.89838, -1.86488) 阿托克斯特
Usk (51.70347, -2.90332) 阿斯克
Ushaw Moor (54.77803, -1.6472) 乌肖穆尔
Urmston (53.44852, -2.35419) 厄姆斯顿
Urchfont (51.31217, -1.94292) 厄奇丰特
Upwell (52.60249, 0.2219) 阿普韦尔
Upton upon Severn (52.06258, -2.21802) 塞文河畔厄普顿
Upton Scudamore (51.23, -2.19333) 厄普顿斯库达莫尔
Upton (53.61466, -1.28677) 厄普顿
Uppingham (52.58803, -0.72272) 阿平厄姆
Upper Poppleton (53.97907, -1.15204) 上波普尔顿
Upper Norwood (51.41505, -0.0927) 上诺伍德
Upper Langwith (53.22919, -1.20695) 上兰威思
Upper Heyford (51.93558, -1.25451) 上海福德
Upminster (51.55594, 0.2556) 阿普敏斯特
Uplawmoor (55.76475, -4.49612) 阿普劳穆尔
Upham (50.98253, -1.23493) 阿普汉姆
Upchurch (51.3762, 0.64789) 阿普彻奇
Uny Lelant (50.18298, -5.44047) 尤尼莱兰特
Undy (51.57526, -2.81453) 安迪
Ulverston (54.19594, -3.09626) 乌尔弗斯顿
Ulrome (53.99198, -0.22968) 乌尔罗姆
Ulley (53.382, -1.30222) 乌利
Ullesthorpe (52.48438, -1.25269) 乌勒索普
Ulleskelf (53.85434, -1.21266) 乌勒斯凯尔夫
Ullapool (57.89872, -5.16039) 乌拉普尔
Uley (51.68417, -2.30583) 尤利
Ulcombe (51.21057, 0.64455) 乌尔科姆
Ulceby (53.61667, -0.33333) 乌尔西比
Ufford (52.62379, -0.38435) 阿福德
Uffculme (50.90604, -3.32746) 阿夫库姆
Uddingston (55.81971, -4.08362) 阿丁斯顿
Uckfield (50.96948, 0.09589) 阿克菲尔德
Tytherington (51.5925, -2.47972) 泰瑟灵顿
Tynemouth (55.01788, -1.42559) 泰恩茅斯
Tyldesley (53.51393, -2.46754) 泰尔兹利
Tycroes (51.77806, -4.02) 泰克罗斯
Tyberton (52.0455, -2.90414) 泰伯顿
Twyford (51.47518, -0.86037) 特威福德
Twickenham (51.44489, -0.3377) 特威克纳姆
Tuxford (53.23004, -0.89325) 塔克斯福德
Turvey (52.16285, -0.62528) 特维
Turriff (57.5384, -2.45932) 特里夫
Turners Hill (51.10341, -0.08514) 特纳斯希尔
Turnastone (52.02398, -2.94833) 特纳斯通
Trunch (52.86214, 1.3966) 特伦奇
Trowbridge (51.31889, -2.20861) 特罗布里奇
Troon (55.54359, -4.66335) 特鲁恩
Tring (51.79471, -0.65824) 特灵
Trimdon Grange (54.71414, -1.42611) 特里姆登格兰奇
Trimdon (54.69878, -1.42881) 特里姆登
Trewen (50.61667, -4.46667) 特鲁恩
Treuddyn (53.1148, -3.12003) 特雷丁
Treorchy (51.65958, -3.50587) 特雷奥奇
Trelech (51.94444, -4.5) 特雷莱赫
Treherbert (51.67139, -3.52972) 特雷赫伯特
Treharris (51.66457, -3.30725) 特雷哈里斯
Tregynon (52.57913, -3.33267) 特雷吉农
Tregoney (50.2674, -4.91647) 特雷戈尼
Tregarth (53.19012, -4.0878) 特雷加斯
Tregaron (52.2195, -3.93295) 特雷加伦
Trefriw (53.15138, -3.82573) 特雷夫里乌
Trefonen (52.83333, -3.1) 特雷福嫩
Trefnant (53.22526, -3.4203) 特雷夫南特
Treeton (53.38564, -1.35189) 特里顿
Tredegar (51.77251, -3.24679) 特雷代加
Trawsfynydd (52.90212, -3.92289) 特劳斯芬尼德
Tranent (55.94439, -2.95412) 特兰内特
Trafford Park (53.46879, -2.31194) 特拉福德公园
Toxteth (53.39069, -2.97103) 托克斯泰斯
Town Yetholm (55.54546, -2.28745) 镇耶索姆
Townhill (56.0891, -3.43889) 镇山
Tow Law (54.74456, -1.81434) 托劳
Towcester (52.13359, -0.99057) 托斯特
Totton (50.91877, -1.49037) 托顿
Tottington (53.61326, -2.34071) 托廷顿
Totternhoe (51.88555, -0.57343) 托特恩霍
Totteridge (51.63333, -0.2) 托特里奇
Totnes (50.43107, -3.6843) 托特尼斯
Totland (50.68466, -1.53688) 托特兰
Torpoint (50.37505, -4.19566) 托尔波因特
Torphins (57.10561, -2.62398) 托尔芬斯
Torphichen (55.93353, -3.6546) 托尔菲肯
Topsham (43.92758, -69.97588) 托普舍姆
Tonyrefail (51.58402, -3.43041) 托尼雷费尔
Tong (52.66667, -2.3) 通
Tonbridge (51.19532, 0.27363) 汤布里奇
Tolleshunt Knights (51.79869, 0.77651) 托尔斯亨特骑士
Tollesbury (51.75913, 0.83462) 托尔斯伯里
Toft (52.18719, -0.01219) 托夫特
Todwick (53.35373, -1.25673) 托德威克
Todmorden (53.71434, -2.09701) 托德莫登
Toddington (51.94922, -0.53277) 托丁顿
Tiverton (50.90241, -3.49232) 蒂弗顿
Titchmarsh (52.40677, -0.49825) 蒂奇马什
Titchfield (50.85115, -1.23716) 蒂奇菲尔德
Tisbury (51.06283, -2.08058) 蒂斯伯里
Tiptree (51.8123, 0.7454) 蒂普特里
Tipton (52.52956, -2.06773) 蒂普顿
