Stoke Golding (52.5706, -1.41124) 斯托克戈尔丁
Stoke Gifford (51.51686, -2.54053) 斯托克吉福德
Stoke Gabriel (50.40328, -3.62111) 斯托克加布里埃尔
Stoke Fleming (50.32508, -3.59862) 斯托克弗莱明
Stoke Ferry (52.57051, 0.5132) 斯托克费里
Stoke Canon (50.77146, -3.50773) 斯托克卡农
Stoke by Clare (52.06241, 0.53833) 克莱尔附近的斯托克
Stoke (-41.31667, 173.23333) 斯托克
Upper Stoke (51.44679, 0.61824) 上斯托克
Stogursey (51.17972, -3.14194) 斯托古尔西
Stocktonon-Tees (54.56848, -1.3187) 斯托克顿-蒂斯
Stocksfield (54.94026, -1.90398) 斯托克斯菲尔德
Stocksbridge (53.48249, -1.59373) 斯托克斯布里奇
Stockport (53.40979, -2.15761) 斯托克波特
Stockbridge (33.54428, -84.23381) 斯托克布里奇
Stock (51.66351, 0.44263) 斯托克
Stithians (50.1887, -5.17807) 斯蒂西安斯
Stilton (52.48788, -0.28894) 斯蒂尔顿
Stillington (54.60529, -1.42191) 斯蒂灵顿
Stickney (41.82142, -87.78283) 斯蒂克尼
Steyning (50.88744, -0.32787) 斯泰宁
Stewkley (51.92744, -0.76381) 斯图克利
Stewarton (55.67986, -4.51435) 斯图尔顿
Stevington (52.16848, -0.55515) 斯蒂文顿
Steventon (51.62473, -1.32145) 斯蒂文顿
Stevenston (55.6397, -4.75339) 斯蒂文斯顿
Stevenage (51.90224, -0.20256) 斯蒂夫尼奇
Stetchworth (52.2, 0.4) 斯特奇沃思
Stepps (55.88899, -4.1521) 斯特普斯
Steppingley (52.00758, -0.52855) 斯特平利
Stepaside (51.73484, -4.69367) 斯特普赛德
Steeton (53.88333, -1.95) 斯蒂顿
Steeple Morden (52.06648, -0.1248) 斯蒂普尔莫登
Steeple Claydon (51.93643, -0.98328) 斯蒂普尔克莱登
Steeple Bumpstead (52.04346, 0.44808) 斯蒂普尔邦普斯特德
Steeple Aston (51.92749, -1.31106) 斯蒂普尔阿斯顿
Steeple Ashton (51.31033, -2.13538) 斯蒂普尔阿什顿
Steep (51.02277, -0.94212) 斯蒂普
Stedham (50.99447, -0.77119) 斯特德姆
Stebbing (51.89111, 0.41422) 斯特宾
Staveley (53.26667, -1.35) 斯塔夫利
Stathern (52.87203, -0.85522) 斯塔瑟恩
Startforth (54.53851, -1.93016) 斯塔特福斯
Starcross (50.62734, -3.44797) 斯塔克罗斯
Staplehurst (51.1611, 0.55249) 斯塔普尔赫斯特
Stapleford (51.11667, -1.9) 斯塔普尔福德
Staplecross (50.97356, 0.53576) 斯塔普尔克罗斯
Stanwick (52.33198, -0.56348) 斯坦威克
Stanwell (51.45414, -0.47812) 斯坦韦尔
Stanton Harcourt (51.74919, -1.40179) 斯坦顿哈考特
Stannington (55.10862, -1.66855) 斯坦宁顿
Stanion (52.47482, -0.65549) 斯坦尼恩
Stanfordle-Hope (51.52274, 0.43422) 斯坦福德勒霍普
Stanford in the Vale (51.63969, -1.50652) 斯坦福德因瓦尔
Standon (52.91667, -2.28333) 斯坦登
Standlake (51.7269, -1.42436) 斯坦德莱克
Stanbridge (51.90864, -0.59815) 斯坦布里奇
Stamford Bridge (53.9885, -0.91547) 斯坦福桥
Stamford (41.05343, -73.53873) 斯坦福德
Stalybridge (53.48414, -2.05908) 斯塔利布里奇
Stallingborough (53.58675, -0.18489) 斯托林伯勒
Stalham (52.77079, 1.51783) 斯塔勒姆
Stalbridge (50.95807, -2.37548) 斯塔尔布里奇
Staithes (54.55904, -0.79258) 斯泰瑟斯
Stainton (54.64548, -2.801) 斯坦顿
Stainforth (53.6, -1.03333) 斯坦福斯
Staines (51.43092, -0.50606) 斯坦斯
Staindrop (54.58102, -1.80708) 斯坦德罗普
Stainburn (53.93333, -1.61667) 斯坦伯恩
Stainborough (53.52623, -1.518) 斯坦伯勒
Stagsden (52.13046, -0.56678) 斯塔格斯登
Stadhampton (51.68131, -1.13138) 斯塔德汉普顿
Sprowston (52.65, 1.33333) 斯普罗斯顿
Sproughton (52.06233, 1.09499) 斯普劳顿
Sproatley (53.79379, -0.1913) 斯普罗特利
Springside (55.61514, -4.59062) 斯普林赛德
Spratton (52.32447, -0.95386) 斯普拉特顿
Sporle (52.66573, 0.73226) 斯波尔
Spofforth (53.95427, -1.44848) 斯波福斯
Spixworth (52.68529, 1.32027) 斯皮克斯沃思
Spittal (51.86889, -4.9425) 斯皮塔尔
Spitalfields (51.5202, -0.07436) 斯皮塔菲尔德
Spilsby (53.17363, 0.09373) 斯皮尔斯比
Spetisbury (50.82054, -2.12516) 斯佩蒂斯伯里
Spennymoor (54.6988, -1.60229) 斯彭尼穆尔
Speldhurst (51.15076, 0.21947) 斯佩尔德赫斯特
Speke (53.34071, -2.841) 斯皮克
Spean Bridge (56.89157, -4.91982) 斯皮恩桥
Spaldwick (52.34179, -0.34435) 斯帕尔德威克
Sowerby Bridge (53.70903, -1.90929) 索尔比桥
South Zeal (50.72604, -3.91277) 南齐尔
Southwold (52.32721, 1.68017) 南沃尔德
South Witham (52.76476, -0.62811) 南威瑟姆
South Wingfield (53.09593, -1.43998) 南温菲尔德
Southwick (42.05482, -72.77037) 南威克
Southwell (53.07804, -0.95538) 南韦尔
Southwater (51.02369, -0.35173) 南沃特
Tidworth (51.23142, -1.66324) 蒂德沃思
South Shields (54.99859, -1.4323) 南希尔兹
Southsea (50.78351, -1.09071) 南海塞
