Purleigh (51.68724, 0.65832) 普利
Puriton (51.16933, -2.97198) 普里顿
Purfleeton-Thames (51.4839, 0.24247) 普尔弗利特
Pulloxhill (51.99487, -0.45316) 普洛克斯希尔
Pulham St Mary (52.42333, 1.24862) 普勒姆圣玛丽
Pulborough (50.95753, -0.5128) 普尔伯勒
Pudsey (53.79538, -1.66134) 普德西
Puddletown (50.75, -2.35) 普德尔镇
Puckeridge (51.89013, 0.01309) 普克里奇
Publow (51.37877, -2.54351) 普布洛
Prudhoe (54.96154, -1.85168) 普鲁多
Probus (50.29267, -4.95401) 普罗布斯
Priston (51.34306, -2.43917) 普里斯顿
Priors Marston (52.21374, -1.28586) 普赖尔斯马斯顿
Princetown (50.54393, -3.98855) 普林斯镇
Princes Risborough (51.72549, -0.83144) 普林西斯里斯伯勒
Prestwick (55.48333, -4.61667) 普雷斯特威克
Prestwich (53.53333, -2.28333) 普雷斯特维奇
Prestonpans (55.95939, -2.98038) 普雷斯顿潘斯
Preston Candover (51.17057, -1.13372) 普雷斯顿坎多弗
Presteigne (52.27183, -3.00579) 普雷斯泰因
Prestbury (53.28333, -2.15) 普雷斯特伯里
Prestatyn (53.33748, -3.40776) 普雷斯塔廷
Prescot (53.42948, -2.80031) 普雷斯科特
Preesall (53.9182, -2.96633) 普里索尔
Prees (52.89689, -2.66401) 普里斯
Poynton (53.35, -2.11667) 波因顿
Poundstock (50.76667, -4.55) 庞德斯托克
Poultonle-Fylde (53.83333, -2.98333) 波尔顿勒菲尔德
Poughill (50.84295, -4.52727) 波希尔
Pott Shrigley (53.30957, -2.08405) 波特施里格利
Potton (52.12911, -0.21561) 波顿
Potterspury (52.08288, -0.89676) 波特斯普里
Potters Bar (51.69353, -0.17835) 波特斯巴
Potterne (51.32917, -2.00519) 波特恩
Potter Heigham (52.71754, 1.57527) 波特海厄姆
Potsgrove (51.95939, -0.61755) 波茨格罗夫
Port Talbot (51.59241, -3.78019) 波特塔尔博特
Portstewart (55.18132, -6.71402) 波特斯图尔特
Portsoy (57.68144, -2.68956) 波特索伊
Portslade (50.84286, -0.21608) 波特斯莱德
Portrush (55.19592, -6.6493) 波特拉什
Portree (57.41288, -6.19418) 波特里
Portreath (50.26058, -5.28933) 波特里斯
Portpatrick (54.84143, -5.11705) 波特帕特里克
Portlethen (57.06942, -2.13246) 波特莱森
Portknockie (57.70248, -2.85989) 波特诺基
Portishead (51.48199, -2.76973) 波蒂斯黑德
Portscatho (50.17271, -4.97356) 波特斯卡索
Porthmadog (52.92924, -4.13137) 波斯马多克
Porthleven (50.08618, -5.31501) 波斯莱文
Porthcawl (51.47903, -3.70362) 波斯考尔
Porth (51.61306, -3.40361) 波斯
Portgordon (57.66407, -3.01353) 波特戈登
Portglenone (54.87147, -6.47146) 波特格伦诺
Port Glasgow (55.93464, -4.6895) 波特格拉斯哥
Portesham (50.67065, -2.56393) 波特舍姆
Port Erroll (57.41427, -1.84596) 波特埃罗尔
Port Ellen (55.63333, -6.18333) 波特艾伦
Port Bannatyne (55.8566, -5.06503) 波特班纳泰恩
Portavogie (54.45916, -5.44304) 波特阿沃吉
Portaferry (54.38086, -5.54569) 波特阿费里
Portadown (54.42302, -6.44434) 波特当
Porlock (51.20889, -3.59556) 波洛克
Poringland (52.56756, 1.34961) 波林兰
Poplar (51.51113, -0.01565) 波普勒
Poole (50.71429, -1.98458) 普尔
Pool (53.9, -1.61667) 普尔
Pontypridd (51.6021, -3.34211) 庞蒂普里德
Pontypool (51.70111, -3.04444) 庞蒂普尔
Pontycymer (51.61118, -3.58421) 庞蒂西默
Pontyberem (51.77826, -4.1689) 庞蒂贝雷姆
Pontyates (51.75182, -4.21718) 庞蒂亚特斯
Pontrhydyfen (51.63435, -3.74469) 庞特里迪芬
Pontrhydfendigaid (52.28258, -3.863) 庞特里德芬迪盖德
Ponthir (51.63222, -2.97611) 庞希尔
Pontesbury (52.64826, -2.89035) 庞特斯伯里
Ponteland (55.05024, -1.74532) 庞特兰
Pontefract (53.69107, -1.31269) 庞特弗拉克特
Pontarddulais (51.71423, -4.03859) 庞塔杜莱斯
Ponders End (51.6445, -0.04652) 庞德斯恩德
Polruan (50.32689, -4.63144) 波尔鲁安
Polperro (50.3313, -4.5222) 波尔佩罗
Polmont (55.9905, -3.70737) 波尔蒙特
Pollington (53.67093, -1.07237) 波林顿
Polesworth (52.61962, -1.61036) 波尔斯沃思
Pointon (52.87203, -0.34298) 波因顿
Poyntington (50.97939, -2.49945) 波因廷顿
Podington (52.25424, -0.62463) 波丁顿
Pocklington (53.93335, -0.78106) 波克灵顿
Plymstock (50.35999, -4.09049) 普利姆斯托克
Plymouth (50.37153, -4.14305) 普利茅斯
Plumstead (51.48333, 0.08333) 普拉姆斯特德
Plumpton Green (50.9342, -0.0612) 普拉姆普顿格林
Plean (56.06516, -3.87596) 普林
Plaxtol (51.25832, 0.29569) 普拉克斯托尔
Pitton (51.08168, -1.69868) 皮顿
Pittington (54.8, -1.48333) 皮廷顿
Pittenweem (56.21406, -2.72839) 皮滕威姆
Pitstone (51.8283, -0.63987) 皮特斯通
