Overton (51.24389, -1.26154) 奥弗顿
Overstrand (52.91623, 1.339) 奥弗斯特兰德
Over Kellet (54.12277, -2.73203) 奥弗凯莱特
Over (52.31667, 0.01667) 奥弗
Outwell (52.60946, 0.23333) 奥特韦尔
Oundle (52.48093, -0.46732) 奥恩德尔
Oughtibridge (53.43612, -1.53902) 奥蒂布里奇
Ottringham (53.70092, -0.07909) 奥特林厄姆
Ottery St Mary (50.75, -3.26667) 奥特里圣玛丽
Otterton (50.66014, -3.29802) 奥特顿
Ottershaw (51.36262, -0.52752) 奥特肖
Otterburn (55.2334, -2.18059) 奥特本
Otley (53.90553, -1.69383) 奥特利
Othery (51.08056, -2.88111) 奥瑟里
Otford (51.31283, 0.19046) 奥特福德
Oswestry (52.86195, -3.05497) 奥斯沃斯特里
Ossett (53.67978, -1.58006) 奥塞特
Osmotherley (54.36843, -1.29916) 奥斯莫瑟利
Orwell (41.53506, -80.86814) 奥威尔
Orsett (51.51232, 0.36753) 奥塞特
Orpington (51.37457, 0.09785) 奥平顿
Ormskirk (53.56685, -2.88178) 奥姆斯柯克
Ormesby St Margaret (52.67506, 1.6885) 奥姆斯比圣玛格丽特
Orleton (52.3, -2.75) 奥尔顿
Orgreave (53.38333, -1.36667) 奥格里夫
Ombersley (52.27103, -2.22883) 奥姆伯斯利
Omagh (54.6, -7.3) 奥马
Olveston (51.58032, -2.5775) 奥尔维斯顿
Olney (39.15316, -77.06692) 奥尔尼
Old Windsor (51.45807, -0.58674) 老温莎
Old Sarum (51.10169, -1.78532) 老萨勒姆
Old Newton (52.22349, 1.0001) 老牛顿
Oldmeldrum (57.33492, -2.3199) 老梅尔德拉姆
Old Leake (53.03108, 0.09873) 老利克
Old Kilpatrick (55.92241, -4.45567) 老基尔帕特里克
Oldham (53.54051, -2.1183) 奥尔德姆
Oldbury (52.5, -2.01667) 奥尔德伯里
Old Buckenham (52.48061, 1.04143) 老巴克纳姆
Okehampton (50.73841, -4.0016) 奥克汉普顿
Odiham (51.25407, -0.93933) 奥迪汉姆
Odell (45.62706, -121.54313) 奥德尔
Ocle Pychard (52.11667, -2.6) 奥克尔皮查德
Ockley (51.14678, -0.36366) 奥克利
Ochiltree (55.45981, -4.36782) 奥奇尔特里
Occold (52.29347, 1.15944) 奥科尔德
Oban (56.41535, -5.47184) 奥本
Oaksey (51.64133, -2.01699) 奥克西
Oakley (37.99742, -121.71245) 奥克利
Oakington (52.26044, 0.06849) 奥金顿
Oakhill (51.22361, -2.52639) 奥克希尔
Oakham (52.66667, -0.73333) 奥克姆
Oakengates (52.69501, -2.45036) 奥克恩盖茨
Oadby (52.60621, -1.08354) 奥德比
Nutfield (51.24505, -0.14299) 纳特菲尔德
Nunthorpe (54.5288, -1.18438) 南索普
Nunney (51.20729, -2.37858) 南尼
Nuneaton (52.52323, -1.46523) 纳尼顿
Nuffield (51.57947, -1.03477) 纳菲尔德
Notton (53.61267, -1.47234) 诺顿
Nottingham (52.9536, -1.15047) 诺丁汉
Norwich (52.62783, 1.29834) 诺里奇
Norton St Philip (51.30222, -2.32472) 诺顿圣菲利普
Norton Canes (52.67142, -1.96262) 诺顿凯恩斯
Norton (-17.88333, 30.7) 诺顿
North Wraxall (51.4734, -2.263) 北拉克索尔
North Wootton (52.78333, 0.43333) 北伍顿
Northwold (52.54452, 0.58425) 北沃尔德
Northwich (53.25882, -2.52025) 诺斯威奇
North Wheatley (53.36232, -0.85635) 北惠特利
North Waltham (51.21248, -1.19605) 北沃尔瑟姆
North Walsham (52.82121, 1.38746) 北沃尔沙姆
North Thoresby (53.46651, -0.05575) 北索雷斯比
North Tawton (50.79968, -3.89759) 北托顿
North Sunderland (55.57688, -1.66436) 北桑德兰
North Somercotes (53.44573, 0.14103) 北萨默科茨
North Shields (55.01646, -1.44925) 北希尔兹
North Scarle (53.19305, -0.72869) 北斯卡尔
Northrepps (52.90423, 1.33724) 北雷普斯
North Queensferry (56.00899, -3.39134) 北昆斯费里
North Petherton (51.09243, -3.01549) 北佩瑟顿
Northorpe (53.46307, -0.65347) 诺索普
Northop (53.20692, -3.13277) 诺索普
Northolt (51.54855, -0.36778) 诺索尔特
North Newbald (53.81667, -0.61667) 北纽博尔德
North Muskham (53.11988, -0.81091) 北马斯卡姆
North Molton (51.05394, -3.79909) 北莫尔顿
North Marston (51.89901, -0.87702) 北马斯顿
North Luffenham (52.62108, -0.61987) 北拉芬汉姆
North Lopham (52.40352, 0.99169) 北洛帕姆
North Leigh (51.81432, -1.44144) 北利
Northleach (51.82994, -1.83712) 北利奇
Lancing (50.82882, -0.32247) 兰辛
North Kilworth (52.44424, -1.0958) 北基尔沃思
North Kessock (57.50254, -4.24793) 北凯索克
North Kelsey (53.5034, -0.42542) 北凯尔西
Northiam (50.99439, 0.60026) 诺西亚姆
North Hill (50.55, -4.43333) 北希尔
North Ferriby (53.72124, -0.5052) 北费里比
North Fambridge (51.64279, 0.6751) 北范布里奇
North Elmsall (53.60885, -1.28214) 北埃尔姆索尔
