Jeffreyston (51.725, -4.7675) 杰弗里斯顿
Jedburgh (55.47997, -2.552) 杰德堡
Jarrow (54.98036, -1.48423) 贾罗
Jacobstow (50.73333, -4.55) 雅各布斯托
Ixworth (52.29893, 0.8341) 伊克斯沃思
Iwerne Minster (50.92836, -2.19133) 艾沃恩修道院
Iwade (34.25, 135.31667) 伊瓦德
Ivychurch (51.01278, 0.88886) 常春藤教堂
Ivybridge (50.39039, -3.91914) 常春藤桥
Ivinghoe (51.83602, -0.62983) 艾文霍
Iver (51.5, -0.5) 艾弗
Islip (40.72982, -73.21039) 艾斯利普
Isleworth (51.47518, -0.34246) 艾尔沃斯
Isleham (52.34289, 0.41212) 艾尔汉姆
Isham (52.35747, -0.70326) 艾舍姆
Irvinestown (54.46667, -7.63333) 欧文斯敦
Irvine (33.66946, -117.82311) 欧文
Irthlingborough (52.32674, -0.61129) 欧斯灵堡
Ironbridge (52.62795, -2.48465) 铁桥
Iron Acton (51.54921, -2.46087) 铁阿克顿
Irlam (53.44253, -2.42323) 艾尔拉姆
Irchester (52.28108, -0.6451) 艾尔切斯特
Ipstones (53.04683, -1.97016) 艾普斯通斯
Ipplepen (50.48919, -3.639) 艾普尔彭
Inverurie (57.28446, -2.37736) 因弗鲁里
Inverkip (55.90831, -4.87051) 因弗基普
Inverkeithing (56.03297, -3.39555) 因弗基辛
Inverbervie (56.84463, -2.27997) 因弗伯维
Inveraray (56.23052, -5.07474) 因弗雷
Instow (51.05369, -4.17918) 因斯托
Insch (57.34273, -2.61321) 因奇
Innerleithen (55.61927, -3.06301) 因纳利森
Innellan (55.89195, -4.9616) 因内兰
Inkberrow (52.21284, -1.98093) 因克伯罗
Ingrave (51.60416, 0.34058) 因格雷夫
Ingoldmells (53.19414, 0.33358) 因戈尔德梅尔斯
Ingoldisthorpe (52.86478, 0.50408) 因戈尔迪斯索普
Ingleton (54.15392, -2.46849) 英格尔顿
Ingleby Greenhow (54.44983, -1.10687) 英格尔比格林豪
Ingatestone (51.67027, 0.38359) 英格特斯通
Inchture (56.44551, -3.16956) 因奇图尔
Inchinnan (55.88995, -4.43842) 因奇南
Incein-Makerfield (53.53333, -2.61667) 因斯因梅克菲尔德
Ince Blundell (53.52429, -3.02733) 因斯布伦德尔
Ince (53.28333, -2.83333) 因斯
Immingham (53.6142, -0.21579) 伊明汉姆
Ilton (50.95428, -2.92473) 伊尔顿
Ilminster (50.92684, -2.91009) 伊尔明斯特
Ilmington (52.08921, -1.69138) 伊尔明顿
Ilkeston (52.97055, -1.30951) 伊尔克斯顿
Ilfracombe (51.2093, -4.11344) 伊尔弗勒科姆
Ilford (51.55765, 0.07278) 伊尔福德
Ilchester (39.25094, -76.76469) 伊尔切斯特
Ickleton (52.07228, 0.17737) 伊克尔顿
Icklesham (50.91581, 0.66776) 伊克尔舍姆
Ickenham (51.56433, -0.44373) 伊肯纳姆
Ibstock (52.68554, -1.39965) 伊布斯托克
Hythe (50.86004, -1.40162) 海斯
Hyde (53.45131, -2.07943) 海德
Huyton (53.4115, -2.83935) 休顿
Hutton Magna (54.50992, -1.80622) 赫顿马格纳
Hutton (53.96667, -0.43333) 赫顿
Huttoft (53.26725, 0.26838) 赫托夫特
Husthwaite (54.16972, -1.2094) 赫斯特怀特
Husbands Bosworth (52.45232, -1.05557) 赫斯本兹博斯沃思
Hurworth (54.49008, -1.53294) 赫沃斯
Hurstpierpoint (50.93388, -0.18007) 赫斯特皮尔波因特
Hurstbourne Tarrant (51.27627, -1.45298) 赫斯特伯恩塔兰特
Hurst (32.82346, -97.17057) 赫斯特
Hurley (41.92454, -74.06125) 赫尔利
Hunwick (54.68791, -1.70539) 亨威克
Huntspill (51.20562, -2.98735) 亨特斯皮尔
Huntley (42.16808, -88.42814) 亨特利
Huntington (38.41925, -82.44515) 亨廷顿
Hunstanton (52.95, 0.5) 亨斯坦顿
Hunmanby (54.17957, -0.32007) 亨曼比
Hungerford (51.41513, -1.51556) 亨格福德
Hundon (52.10988, 0.53644) 亨登
Humshaugh (55.03768, -2.12843) 亨肖
Humbleton (53.78333, -0.15) 亨布尔顿
Humberstone (52.64738, -1.08647) 亨伯斯通
Humberston (53.53036, -0.02465) 亨伯斯顿
Humber (52.2, -2.66667) 亨伯
Hullavington (51.53778, -2.15163) 赫拉文顿
Huish (51.37114, -1.79266) 休伊什
Hugh Town (49.91447, -6.31145) 休镇
Huddersfield (53.64904, -1.78416) 哈德斯菲尔德
Hucknall (53.03333, -1.2) 哈克诺尔
Hoyland Nether (53.5, -1.45) 霍伊兰德内瑟
Hoylake (53.39046, -3.18066) 霍伊莱克
Howwood (55.8106, -4.55733) 豪伍德
Hounslow (51.46839, -0.36092) 豪恩斯洛
Houghton Regis (51.90441, -0.52125) 豪顿里吉斯
Houghton on the Hill (52.62663, -0.99546) 豪顿山
HoughtonLe-Spring (54.84034, -1.46427) 豪顿勒斯普林
Houghton Conquest (52.06178, -0.47756) 豪顿康奎斯特
Hotham (53.79583, -0.64253) 霍瑟姆
Hose (52.85699, -0.90428) 霍斯
Horwich (53.60126, -2.54975) 霍里奇
Horton Kirby (51.39481, 0.24483) 霍顿柯比
