Gnosall (52.78558, -2.25483) 诺索尔
Glynneath (51.7475, -3.61833) 格林内斯
Glyncorrwg (51.67944, -3.62806) 格林科尔格
Glusburn (53.9, -2) 格鲁斯本
Glooston (52.55478, -0.89556) 格鲁斯顿
Glinton (52.63921, -0.29629) 格林顿
Glentham (53.39967, -0.49489) 格伦瑟姆
Glenrothes (56.19514, -3.17316) 格伦罗西斯
Glen Parva (52.58527, -1.17062) 格伦帕尔瓦
Glenluce (54.87879, -4.81037) 格伦卢斯
Glenfarg (56.28006, -3.40027) 格伦法格
Glenboig (55.89422, -4.04619) 格伦博伊格
Glenavy (54.59231, -6.21371) 格伦纳维
Glenariff (55.05, -6.06667) 格伦阿里夫
Glemsford (52.10351, 0.66912) 格莱姆斯福德
Glazebury (53.47078, -2.49823) 格雷兹伯里
Glastonbury (41.71232, -72.60815) 格拉斯顿伯里
Glassford (55.69974, -4.02949) 格拉斯福德
Glasgow (55.86515, -4.25763) 格拉斯哥
Glanamman (51.8, -3.93333) 格兰阿曼
Gislingham (52.3036, 1.04198) 吉斯林厄姆
Gisburn (53.93494, -2.26347) 吉斯本
Girvan (55.24255, -4.85551) 吉尔万
Girton (52.23333, 0.08333) 吉尔顿
Gimingham (52.87614, 1.39234) 吉明厄姆
Gilwern (51.82475, -3.09355) 吉尔温
Gilmorton (52.48682, -1.16001) 吉尔莫顿
Gillingham (51.38914, 0.54863) 吉灵厄姆
Gilford (43.54758, -71.40674) 吉尔福德
Gilfach Goch (51.59213, -3.47296) 吉尔法赫戈赫
Gildersome (53.7614, -1.63147) 吉尔德索姆
Gilberdyke (53.75297, -0.73892) 吉尔伯代克
Gifford (27.67531, -80.40922) 吉福德
Giffnock (55.80373, -4.29488) 吉夫诺克
Gerrans (50.17863, -4.98166) 杰兰斯
Germoe (50.11539, -5.37881) 杰莫
Gelligaer (51.66444, -3.25611) 格利加尔
Gedney Hill (52.68434, -0.02008) 格德尼山
Gedling (52.97574, -1.07873) 格德林
Geddington (52.43757, -0.68965) 格丁顿
Gazeley (52.24872, 0.51782) 盖兹利
Gayhurst (52.11362, -0.76278) 盖赫斯特
Gawsworth (53.23178, -2.17014) 高斯沃思
Gawcott (51.98136, -1.0101) 高科特
Gatehouse of Fleet (54.88196, -4.18428) 弗利特门楼
Garvagh (54.98333, -6.66667) 加瓦
Garswood (53.48878, -2.67224) 加斯伍德
Garston (53.33333, -2.9) 加斯顿
Garstang (53.90081, -2.77417) 加斯唐
Garsington (51.71623, -1.16129) 加辛顿
Garmouth (57.66453, -3.10875) 加默斯
Gargunnock (56.12474, -4.08319) 加尔根诺克
Gargrave (53.98353, -2.10459) 加尔格雷夫
Garforth (53.79173, -1.38067) 加福斯
Garelochhead (56.08203, -4.82909) 加雷洛赫黑德
Gardenstown (57.67199, -2.33762) 加登斯敦
Garboldisham (52.39535, 0.9468) 加博尔迪舍姆
Gamlingay (52.15561, -0.19303) 甘林盖
Galgate (53.99362, -2.79201) 加尔盖特
Galashiels (55.61458, -2.80695) 加拉希尔斯
Gainsborough (53.38333, -0.76667) 盖恩斯伯勒
Gainford (54.54718, -1.73601) 盖恩福德
Gaerwen (53.22112, -4.27362) 盖尔文
Fylde (53.83333, -2.91667) 菲尔德
Fyfield (51.74065, 0.26976) 菲尔德
Furneux Pelham (51.93141, 0.08051) 弗尼克斯佩勒姆
Fulwood (53.35, -1.55) 富尔伍德
Fulstow (53.45568, -0.00411) 富尔斯托
Full Sutton (53.98869, -0.86758) 富尔萨顿
Fulford (52.93818, -2.0721) 富尔福德
Fulbourn (52.18283, 0.22046) 富尔本
Frosterley (54.72608, -1.95879) 弗罗斯特利
Frome (51.22834, -2.32211) 弗罗姆
Frodsham (53.29485, -2.72745) 弗罗德舍姆
Frizington (54.54185, -3.4946) 弗里辛顿
Fritwell (51.95974, -1.23291) 弗里特韦尔
Friston (50.76402, 0.1993) 弗里斯顿
Friockheim (56.63688, -2.66806) 弗里奥克海姆
Frintonon-Sea (51.83061, 1.24424) 弗林顿海滨
Fringford (51.95336, -1.12292) 弗林福德
Frimley (51.31667, -0.74544) 弗里姆利
Friern Barnet (51.61328, -0.15853) 弗里恩巴尼特
Freystrop (51.76333, -4.96028) 弗雷斯特罗普
Freuchie (56.24688, -3.15861) 弗鲁奇
Fressingfield (52.34745, 1.31767) 弗雷辛菲尔德
Freshford (52.73417, -7.39889) 弗雷什福德
Fremington (51.06955, -4.1366) 弗雷明顿
Freethorpe (52.5925, 1.55587) 弗里索普
Freckleton (53.75433, -2.86489) 弗雷克尔顿
Fraserburgh (57.68744, -2.01844) 弗雷泽堡
Frant (51.0977, 0.27191) 弗兰特
Frampton on Severn (51.77054, -2.36382) 塞文河畔弗兰普顿
Framlingham (52.22117, 1.34205) 弗拉姆灵厄姆
Framfield (50.96337, 0.12763) 弗拉姆菲尔德
Fownhope (52.00833, -2.61515) 福恩霍普
Fowlmere (52.09343, 0.07433) 福尔米尔
Fowey (50.33634, -4.6386) 福伊
Fovant (51.05593, -1.9921) 福凡特
Four Marks (51.10735, -1.04945) 福尔马克斯
Four Crosses (52.75941, -3.08106) 福尔克罗斯
