Foulsham (52.78182, 1.01049) 弗尔沙姆
Foulridge (53.87579, -2.16864) 弗尔里奇
Fort William (56.81648, -5.11208) 威廉堡
Fortuneswell (50.5603, -2.44243) 福琼斯韦尔
Fortrose (57.58087, -4.13263) 福特罗斯
Fort Augustus (57.14313, -4.68224) 奥古斯都堡
Forres (57.60997, -3.62115) 福里斯
Formby (53.55838, -3.06999) 福姆比
Forgandenny (56.34596, -3.47841) 福尔甘登尼
Forfar (56.64382, -2.89001) 福弗尔
Forest Row (51.09641, 0.03262) 森林罗
Fordingbridge (50.92747, -1.79029) 福丁布里奇
Fordham (40.85927, -73.89847) 福德汉姆
Forden (52.61502, -3.12324) 福登
Ford (52.71693, -2.86881) 福德
Folksworth (52.49537, -0.31278) 福克斯沃思
Folkingham (52.88923, -0.40735) 福尔金厄姆
Folkestone (51.08169, 1.16734) 福克斯通
Fochriw (51.74003, -3.29861) 福克里乌
Fochabers (57.61445, -3.09947) 福卡伯斯
Flushing (43.06308, -83.85107) 弗拉兴
Flore (52.23647, -1.05726) 弗洛尔
Flookburgh (54.17415, -2.97214) 弗卢克堡
Flockton (53.63034, -1.63945) 弗洛克顿
Flitwick (52.00338, -0.49472) 弗利特威克
Flint (43.01253, -83.68746) 弗林特
Flimby (54.68956, -3.52092) 弗林比
Fleetwood (53.92527, -3.01085) 弗利特伍德
Fleet (51.28333, -0.83333) 弗利特
Flax Bourton (51.42122, -2.70522) 弗莱克斯伯顿
Flamstead (51.81971, -0.43707) 弗拉姆斯特德
Flamborough (54.11696, -0.12364) 弗兰伯勒
Fladbury (52.11421, -2.00769) 弗拉德伯里
Fivemiletown (54.38333, -7.3) 五英里镇
Fivehead (51.00212, -2.92145) 五头村
Fitzwilliam (53.63288, -1.3769) 菲茨威廉
Fittleworth (50.9644, -0.56185) 菲特尔沃思
Fishtoft (52.96095, 0.02702) 菲什托夫特
Fishguard (51.99376, -4.97631) 菲什加德
Fishburn (54.68296, -1.43631) 菲什伯恩
Fishbourne (50.83641, -0.82088) 菲什伯恩
Fintona (54.5, -7.31667) 芬托纳
Finningley (53.48696, -0.99083) 芬宁利
Finedon (52.33917, -0.65008) 芬登
Findochty (57.69735, -2.90104) 芬多赫蒂
Findhorn (57.65718, -3.60846) 芬德霍恩
Findern (52.87037, -1.54409) 芬德恩
Finchley (51.60096, -0.19518) 芬奇利
Finchingfield (51.96841, 0.45129) 芬钦菲尔德
Finchampstead (51.36149, -0.85728) 芬查姆斯特德
Fimber (54.03495, -0.63133) 芬伯
Fillongley (52.48252, -1.58727) 菲隆利
Filey (54.21, -0.28917) 菲利
Filby (52.65957, 1.64271) 菲尔比
Ffestiniog (52.95996, -3.93242) 费斯蒂尼奥格
Ferryside (51.76784, -4.369) 费里赛德
Ferryhill (54.68333, -1.55) 费里希尔
Ferryden (56.70097, -2.46474) 费里登
Ferrybridge (53.71058, -1.27948) 费里布里奇
Fernhurst (51.04873, -0.71789) 费恩赫斯特
Fernhill Heath (52.23002, -2.19659) 费恩希尔希思
Fenwick (55.65823, -4.44342) 芬威克
Fenstanton (52.29903, -0.06712) 芬斯坦顿
Fenny Compton (52.16725, -1.39157) 芬尼康普顿
Feltwell (52.48581, 0.51945) 费尔特韦尔
Felton (37.05134, -122.0733) 费尔顿
Feltham (51.4462, -0.41388) 费尔瑟姆
Felling (54.95297, -1.57152) 费林
Felixstowe (51.96375, 1.3511) 菲利克斯托
Felbridge (51.13913, -0.04116) 费尔布里奇
Featherstone (52.64483, -2.09315) 费瑟斯通
Fazeley (52.61443, -1.6985) 费兹利
Fazakerley (53.4614, -2.92863) 费泽克利
Faversham (51.3148, 0.88856) 费弗舍姆
Fauldhouse (55.82749, -3.70741) 福尔德豪斯
Farrington Gurney (51.29774, -2.52913) 法灵顿格尼
Farnworth (53.55, -2.4) 法恩沃思
Farnsfield (53.10223, -1.0332) 法恩斯菲尔德
Farnham Royal (51.54208, -0.61584) 法纳姆皇家
Farndon (53.05, -0.85) 法恩登
Farmborough (51.3439, -2.48778) 法姆伯勒
Faringdon (51.65644, -1.58676) 法灵顿
Fareham (50.85162, -1.17929) 费勒姆
Falkirk (56.0021, -3.78535) 福尔柯克
Falfield (51.63694, -2.46056) 法尔菲尔德
Fakenham (52.82996, 0.8477) 法肯厄姆
Fairlie (55.75602, -4.85564) 费尔利
Fairford (51.70816, -1.78128) 费尔福德
Eyton (52.25, -2.75) 艾顿
Eythorne (51.1971, 1.2662) 艾索恩
Eynsham (51.78077, -1.37454) 艾因舍姆
Eynsford (51.36765, 0.21132) 艾因斯福德
Eyemouth (55.8713, -2.0901) 艾茅斯
Eye (52.608, -0.19209) 艾伊
Eyam (53.28583, -1.67819) 艾姆
Exton (40.029, -75.62077) 埃克斯顿
Exning (52.26642, 0.37439) 埃克斯宁
Exminster (50.68075, -3.49706) 埃克斯明斯特
Exhall (52.46464, -1.48144) 埃克斯霍尔
Ewyas Harold (51.95358, -2.89325) 埃维亚斯哈罗德
