Wooburn Green (51.58776, -0.67935) 乌本格林
Flackwell Heath (51.59757, -0.70601) 弗拉克韦尔希思
Glaisdale (54.44071, -0.80862) 格莱斯代尔
Rowledge (51.1846, -0.82367) 罗利奇
Rhosgadfan (53.08995, -4.23296) 罗斯加德凡
Wexham Street (51.54289, -0.57303) 韦克瑟姆街
Chiswell Green (51.72846, -0.35953) 奇斯韦尔格林
Rucklers Lane (51.72554, -0.45974) 拉克勒斯巷
Ley Hill (51.70807, -0.56948) 莱希尔
How Wood (51.71914, -0.35095) 豪伍德
Frogmore (51.71802, -0.33485) 弗罗格莫尔
South Harefield (51.58975, -0.48046) 南黑尔菲尔德
New Denham (51.5541, -0.48901) 新登纳姆
Millhouse Green (53.5249, -1.67163) 米尔豪斯格林
Upper Denby (53.56094, -1.65769) 上登比
Upper Cumberworth (53.57478, -1.69297) 上坎伯沃思
Littlethorpe (52.56759, -1.20226) 小索普
New Mill (53.57498, -1.75004) 新磨坊
North Anston (53.35479, -1.22312) 北安斯顿
Cwmtillery (51.74495, -3.13188) 库姆蒂勒里
Six Bells (51.72292, -3.1274) 六钟
Hale Barns (53.3689, -2.31333) 黑尔巴恩斯
West Horndon (51.57, 0.34) 西霍恩登
Batchworth (51.63402, -0.46421) 巴奇沃思
Mill End (51.63877, -0.50094) 米尔恩德
West Watford (51.65739, -0.41655) 西沃特福德
Carpenders Park (51.62858, -0.38332) 卡彭德斯公园
Edgwarebury (51.62528, -0.27297) 埃奇韦尔伯里
Ruislip Manor (51.56975, -0.40959) 瑞斯利普庄园
Upton Lea (51.51786, -0.57693) 阿普顿利
Britwell (51.53577, -0.62774) 布里特韦尔
Furze Platt (51.53985, -0.73696) 弗兹普拉特
Pinkneys Green (51.53324, -0.76056) 平克尼格林
Bennetts End (51.74326, -0.44906) 本内茨恩德
Nash Mills (51.72373, -0.44674) 纳什米尔斯
Sopwell (51.73853, -0.33033) 索普韦尔
Cunningham (51.74307, -0.3127) 坎宁安
Marshalswick (51.7648, -0.30881) 马歇尔斯威克
Jersey Farm (51.77, -0.29551) 泽西农场
New Greens (51.77177, -0.3398) 新绿地
Shelsley Walsh (52.26443, -2.4089) 谢尔斯利沃尔什
Sauteurs (12.21833, -61.63917) 索特尔斯
Saint George's (12.05288, -61.75226) 圣乔治
Saint David's (12.04903, -61.66875) 圣大卫
Grenville (12.12278, -61.62498) 格伦维尔
Gouyave (12.16462, -61.72965) 古亚夫
Abastumani (41.75339, 42.83203) 阿巴斯图马尼
Zugdidi (42.5088, 41.87088) 祖格迪迪
Znaur (42.19432, 43.77361) 兹瑙尔
Zhinvali (42.13181, 44.77264) 日瓦利
Zest'aponi (42.10752, 43.03291) 泽斯塔波尼
Zahesi (41.82458, 44.75361) 扎赫西
Vani (42.08408, 42.51189) 瓦尼
Vale (41.61608, 42.88112) 瓦莱
Urek'i (41.99556, 41.77861) 乌雷基
Uplistsikhe (41.96553, 44.17119) 乌普利斯齐赫
Ts'nori (41.618, 45.979) 茨诺里
Tsqnet'i (41.69472, 44.69861) 茨克内季
Ts'khinvali (42.22764, 43.96861) 茨欣瓦利
Ts'inandali (41.89315, 45.57129) 茨纳达利
Tsikhisdziri (41.76659, 41.75517) 茨希斯季里
Ts'alk'a (41.59822, 44.09112) 茨阿尔卡
Ts'alenjikha (42.60857, 42.06693) 茨阿连吉哈
Ts'aghveri (41.80365, 43.48194) 茨阿格韦里
Tsageri (42.64534, 42.76911) 茨阿格里
Tqvarch'eli (42.84035, 41.68007) 特克瓦尔切利
T'q'ibuli (42.34781, 42.99774) 特克布利
Tianeti (42.10987, 44.96784) 蒂阿内季
Tetri Ts'q'aro (41.54379, 44.46181) 特特里茨卡罗
Terjola (42.18058, 42.9776) 特尔乔拉
Telavi (41.91978, 45.47315) 特拉维
Tbilisi (41.69411, 44.83368) 第比利斯
Tbeti (42.23, 43.91292) 特贝蒂
Surami (42.02431, 43.55556) 苏拉米
Sokhumi (43.00697, 40.9893) 苏呼米
Sioni (42.60679, 44.5854) 西奥尼
Sighnaghi (41.61918, 45.92227) 西格纳吉
Shuakhevi (41.62566, 42.18615) 舒阿赫维
Shorap'ani (42.09595, 43.08248) 绍拉帕尼
Shemokmedi (41.9096, 42.06693) 谢莫克梅迪
Shaumiani (41.35134, 44.7645) 沙乌米亚尼
Senak'i (42.27077, 42.06334) 塞纳基
Sartich'ala (41.7179, 45.1757) 萨尔蒂查拉
Sarpi (41.52139, 41.55194) 萨尔皮
Samtredia (42.1537, 42.33517) 萨姆特雷迪亚
Samtavisi (42.00758, 44.40999) 萨姆塔维西
Sagarejo (41.73691, 45.32596) 萨加列霍
Sadakhlo (41.2402, 44.7891) 萨达赫洛
Sach'khere (42.34528, 43.41944) 萨赫赫雷
Rustavi (41.56271, 44.9787) 鲁斯塔维
Q'vareli (41.95493, 45.81716) 瓦雷利
P'ot'i (42.14272, 41.67384) 波季
Pasanauri (42.3506, 44.68912) 帕萨瑙里
Ozurgeti (41.92442, 42.00682) 奥祖尔盖蒂
Orsant'ia (42.46777, 41.67377) 奥尔桑蒂亚
Oni (42.58453, 43.44356) 奥尼
Ochkhamuri (41.85713, 41.83219) 奥克哈穆里
Och'amch'ire (42.71232, 41.46863) 奥恰姆奇雷
Akhali Atoni (43.08427, 40.8185) 阿哈利阿托尼
Ninots'minda (41.26697, 43.58959) 尼诺茨明达
