Neapolis (38.67144, 21.36274) - 新城
Romirion (37.74853, 20.81828) - 罗米里翁
Rokka (39.16683, 20.94356) - 罗卡
Rodotopi (39.70822, 20.72656) - 罗多托皮
Rododafni (38.26976, 22.04875) - 罗多达夫尼
Rodhitsa (38.88829, 22.4641) - 罗迪察
Rodia (35.36541, 25.02023) - 罗迪亚
Rizovouni (39.25936, 20.81136) - 里佐武尼
Rizomylos (39.42763, 22.74717) - 里佐米洛斯
Rizoma (39.66432, 21.73541) - 里佐马
Rizario (39.53912, 21.80116) - 里扎里奥
Rio (38.29558, 21.78504) - 里约
Rethymno (35.36555, 24.48232) - 雷西姆农
Renginion (38.71957, 22.71001) - 伦吉尼翁
Rentina (39.06316, 21.97895) - 伦蒂纳
Raxa (39.61056, 21.74698) - 拉克萨
Raptopoulo (39.14861, 21.48028) - 拉普托普洛
Rapsani (39.90222, 22.54875) - 拉普萨尼
Rachi (39.11406, 20.89956) - 拉希
Rakhai (38.89055, 22.78122) - 拉凯
Rafina (38.01812, 24.00599) - 拉菲纳
Fteri (38.90002, 22.046) - 费特里
Pteleos (39.05261, 22.95271) - 普特莱奥斯
Psychiko (38.01324, 23.77223) - 普西希科
Psathopyrgos (38.32806, 21.87367) - 普萨索皮尔戈斯
Psachna (38.57852, 23.64326) - 普萨赫纳
Prosimna (37.71279, 22.84049) - 普罗西姆纳
Prokopi (38.73402, 23.4906) - 普罗科皮
Profitis Ilias (35.20555, 25.09985) - 先知以利亚
Prodromos (39.37571, 21.97493) - 普罗德罗莫斯
Prinos (40.7409, 24.57787) - 普里诺斯
Prines (35.34566, 24.4251) - 普里内斯
Preveza (38.95617, 20.7505) - 普雷韦扎
Pramanta (39.52306, 21.10139) - 普拉曼塔
Pournari (39.77564, 22.57578) - 普尔纳里
Poullitsa (37.95899, 22.77131) - 普利察
Poullakidha (37.64883, 22.81397) - 普拉基达
Poulithra (37.10942, 22.88595) - 普利特拉
Porto Cheli (37.32786, 23.14384) - 波尔图切利
Portaria (39.3895, 22.99948) - 波塔里亚
Poros (37.49944, 23.45361) - 波罗斯
Pompia (35.00938, 24.86718) - 庞皮亚
Politika (38.59673, 23.54457) - 波利蒂卡
Polichnitos (39.07911, 26.18215) - 波利赫尼托斯
Polidhrosos (38.64015, 22.53174) - 波利德罗斯
Polydendri (38.216, 23.86806) - 波利登德里
Plomari (38.97527, 26.37137) - 普洛马里
Plagia (38.79906, 20.74056) - 普拉吉亚
Platykampos (39.61667, 22.53333) - 普拉特卡姆波斯
Plataria (39.45044, 20.27781) - 普拉塔里亚
Platanos (37.66731, 21.61108) - 普拉塔诺斯
Plataies (38.21357, 23.2675) - 普拉塔伊斯
Planos (37.81635, 20.86437) - 普拉诺斯
Plaka (36.74387, 24.42262) - 普拉卡
Pigi (39.51061, 21.70103) - 皮吉
Pitsidia (35.01555, 24.78129) - 皮齐迪亚
Pithari (35.51672, 24.08653) - 皮塔里
Pythagoreio (37.69102, 26.94341) - 毕达哥里翁
Pyrgion (38.22628, 25.99991) - 皮尔吉翁
Pyrgetos (39.91869, 22.59339) - 皮尔盖托斯
Pirgos (37.07422, 21.69336) - 皮尔戈斯
Piraeus (37.94203, 23.64619) - 比雷埃夫斯
Pylos (36.91298, 21.6965) - 皮洛斯
Pyli (36.84472, 27.15932) - 皮利
Pikermi (38.00161, 23.94075) - 皮克米
Pialeia (39.50552, 21.59523) - 皮阿莱亚
Petroupolis (38.04187, 23.68494) - 佩特鲁波利斯
Petroto (39.58627, 21.96355) - 佩特罗托
Petroporo (39.5615, 21.92812) - 佩特罗波罗
Peta (39.16667, 21.03472) - 佩塔
Petalidi (36.95847, 21.92703) - 佩塔利迪
Periyiali (37.94041, 22.83946) - 佩里亚利
Perivoli (39.41936, 20.01469) - 佩里沃利
Peristeri (38.01539, 23.69187) - 佩里斯特里
Perdikaki (39.04931, 21.36308) - 佩尔迪卡基
Perdika (39.36967, 20.30419) - 佩尔迪卡
Perdhika (37.69226, 23.45306) - 佩尔迪卡
Peratata (38.1357, 20.56357) - 佩拉塔塔
Peran Triovasalos (36.74086, 24.43623) - 佩兰特里奥瓦萨洛斯
Perama (37.96775, 23.5721) - 佩拉马
Perachora (38.03021, 22.94902) - 佩拉霍拉
Penteli (38.05, 23.86667) - 彭特利
Pendalofon (38.48487, 21.24683) - 彭达洛丰
Pelopi (37.67444, 21.59344) - 佩洛皮
Pellana (37.20611, 22.3214) - 佩拉纳
Pelasgia (38.94813, 22.8398) - 佩拉斯吉亚
Pedino (39.51823, 21.95248) - 佩迪诺
Pedini (39.59994, 20.84261) - 佩迪尼
Gaios (39.19722, 20.18556) - 盖奥斯
Patra (38.24444, 21.73444) - 帕特雷
Patoulia (39.53495, 21.86465) - 帕图利亚
Patmos (37.30895, 26.54723) - 帕特莫斯
Patitirion (39.14657, 23.86494) - 帕蒂提里翁
Pasion (38.01294, 22.72814) - 帕西翁
Inachos (37.66419, 22.74985) - 伊纳霍斯
Paros (37.08333, 25.15) - 帕罗斯
Parga (39.28572, 20.40044) - 帕尔加
Paravola (38.61472, 21.52046) - 帕拉沃拉
Proastio (39.48682, 21.90288) - 普罗阿斯提奥
Parapotamos (39.54858, 20.32436) - 帕拉波塔莫斯
