Fyteies (38.69524, 21.18467) 菲特耶斯
Filotion (37.05167, 25.49829) 菲洛蒂翁
Filothei (38.02524, 23.78257) 菲洛西
Filla (38.44177, 23.68306) 菲拉
Filippiada (39.20472, 20.88222) 菲利皮亚达
Filiatra (37.15637, 21.58532) 菲利亚特拉
Filiates (39.60111, 20.31194) 菲利亚特斯
Filia (46.14409, 25.6214) 菲利亚
Fyli (38.10235, 23.66901) 菲利
Fiki (39.51602, 21.65556) 菲基
Fikhtion (37.72117, 22.72436) 菲克提翁
Farsala (39.29472, 22.38472) 法尔萨拉
Faros (38.39959, 23.62275) 法罗斯
Farkadona (39.6, 22.06667) 法尔卡多纳
Faraklata (38.20236, 20.52014) 法拉克拉塔
Faneromeni (39.54679, 21.89397) 法内罗梅尼
Fanari (39.4158, 21.79897) 法纳里
Fanes (36.35076, 27.98292) 法内斯
Falanna (39.71986, 22.39733) 法兰纳
Falaisia (37.28678, 22.17252) 法莱西亚
Exarkhos (38.58791, 22.94439) 埃克萨尔霍斯
Examilia (37.89736, 22.92832) 埃克萨米利亚
Evxinoupolis (39.18414, 22.73831) 埃夫克西诺波利斯
Efpalio (38.41949, 21.92908) 埃夫帕利奥
Evangelismos (39.84006, 22.10433) 埃万杰利斯莫斯
Ermoupolis (37.44466, 24.9429) 埃尔穆波利斯
Ermioni (37.38492, 23.24686) 埃尔米奥尼
Erythres (38.21741, 23.32234) 埃里特雷斯
Eretria (38.40097, 23.8022) 埃雷特里亚
Eresos (39.16973, 25.93437) 埃雷索斯
Erateini (38.36179, 22.2283) 埃拉泰尼
Epitalio (37.62675, 21.49528) 埃皮塔利奥
Episkopi (40.68748, 22.1364) 埃皮斯科皮
Epiniana (39.14231, 21.61353) 埃皮尼亚纳
Ano Arhanes (35.23333, 25.16667) 阿诺阿尔哈内斯
Emporeio (36.35816, 25.44615) 埃姆波雷奥
Emponas (36.22683, 27.85645) 埃姆波纳斯
Empesos (39.02387, 21.31963) 埃姆佩索斯
Elounda (35.265, 25.72127) 埃隆达
Elos (36.83267, 22.6978) 埃洛斯
Elliniko (37.89013, 23.74406) 埃利尼科
Elikistra (38.21592, 21.80117) 埃利基斯特拉
Eleftherochori (39.52761, 21.63436) 埃莱夫塞罗霍里
Eleftheres (40.84666, 24.25431) 埃莱夫塞雷斯
Elefsina (38.04135, 23.54295) 埃莱夫西纳
Eleousa (39.70639, 20.7925) 埃莱乌萨
Eleonas (38.36336, 23.44348) 埃莱奥纳斯
Elateia (38.6277, 22.76492) 埃拉蒂亚
Elati (39.50131, 21.53934) 埃拉蒂
Elassona (39.89472, 22.18861) 埃拉索纳
Elaionas (38.19942, 22.17203) 埃莱奥纳斯
Elia (35.30311, 25.2316) 埃利亚
Elafonisos (36.50805, 22.97885) 埃拉福尼索斯
Ekkara (39.15393, 22.19719) 埃卡拉
Ekali (38.11035, 23.83505) 埃卡利
Voulgareli (39.37194, 21.18333) 武尔加雷利
Drosochori (39.62753, 20.97163) 德罗索霍里
Dhrosia (38.48413, 23.54774) 德罗西亚
Drosia (38.11977, 23.86428) 德罗西亚
Drosero (39.51038, 21.74169) 德罗塞罗
Drepano (38.32152, 21.85221) 德雷帕诺
Drepanon (37.53888, 22.89323) 德雷帕农
Drakotrypa (39.39764, 21.59911) 德拉科特里帕
Dhrafi (38.02375, 23.90788) 德拉菲
Dounaiika (37.74231, 21.33072) 杜奈伊卡
Dorio (37.28824, 21.85625) 多里奥
Domokos (39.12722, 22.30028) 多莫科斯
Dhokimion (38.61352, 21.38072) 多基米翁
Distomo (38.42892, 22.66728) 迪斯托莫
Dionysos (38.10458, 23.87938) 迪奥尼索斯
Dimitsana (37.59524, 22.04025) 迪米察纳
Dilinata (38.22403, 20.51636) 迪利纳塔
Dilesi (38.33762, 23.67077) 迪莱西
Didyma (37.4625, 23.17183) 迪迪马
Diava (39.6926, 21.58124) 迪亚瓦
Dialekto (39.59468, 21.65204) 迪亚莱克托
Diakopto (38.19522, 22.19994) 迪亚科普托
Deskati (39.92422, 21.81031) 德斯卡蒂
Desfina (38.41685, 22.52928) 德斯菲纳
Dherveni (38.13101, 22.41983) 德尔韦尼
Dendrochori (39.55271, 21.63707) 登德罗霍里
Delvinaki (39.93408, 20.46461) 德尔维纳基
Delphi (40.58754, -86.67501) 德尔菲
Dasochori (41.16338, 23.26798) 达索霍里
Daratsos (35.49955, 23.97488) 达拉佐斯
Dhalamanara (37.61837, 22.76989) 达拉马纳拉
Dafni (36.92767, 22.53558) 达夫尼
Dhafni (37.95002, 23.73437) 达夫尼
Dafia (39.24212, 26.1992) 达菲亚
Bouka (38.92652, 21.14226) 布卡
Bolati (37.95611, 22.79094) 博拉蒂
Bokhali (37.79205, 20.89192) 博卡利
Batsion (37.86008, 24.7849) 巴齐翁
Rodopoli (38.11669, 23.87572) 罗多波利
Bafra (41.56787, 35.90311) 巴夫拉
Agios Georgios Feron (39.36977, 22.77716) 阿吉奥斯乔治奥斯费隆
Agios Georgios (38.39343, 22.93189) 阿吉奥斯乔治奥斯
Agios Vissarionas (39.47118, 21.61939) 阿吉奥斯维萨里奥纳斯
Agios Vasileios (38.31464, 21.8164) 阿吉奥斯瓦西莱奥斯
Ayios Vasilios (37.79763, 22.79727) 阿伊奥斯瓦西利奥斯
