Vergina (40.48654, 22.31735) 维尔吉纳
Vergi (40.95396, 23.39833) 维尔吉
Veroia (40.52437, 22.20242) 韦里亚
Velventos (40.25532, 22.07543) 韦尔文托斯
Vathylakkos (40.76942, 22.7088) 瓦西拉科斯
Vasiloudi (40.63193, 23.19029) 瓦西卢迪
Vasilika (40.47966, 23.13695) 瓦西利卡
Varvara (40.56953, 23.6588) 瓦尔瓦拉
Variko (40.53967, 21.50292) 瓦里科
Vamvakofyto (41.17916, 23.39602) 瓦姆瓦科菲托
Vamvakia (41.08394, 23.34608) 瓦姆瓦基亚
Valtotopi (40.99354, 23.59613) 瓦尔托托皮
Valtero (41.17927, 23.32022) 瓦尔泰罗
Vafiochori (41.00984, 22.66344) 瓦菲奥霍里
Tsotili (40.26147, 21.32533) 佐蒂利
Tsakoi (40.95495, 22.03763) 扎科伊
Trilofos (40.46898, 22.9718) 特里洛福斯
Trilofo (40.57182, 22.15195) 特里洛福
Triantafyllia (40.98417, 23.34785) 特里安塔菲利亚
Triadhion (40.54661, 23.04897) 特里亚迪翁
Toumpa (40.93526, 22.5438) 图姆帕
Toichio (40.58338, 21.30453) 托伊希奥
Tychero (41.02878, 26.29455) 提切罗
Tholos (40.99992, 23.78207) 托洛斯
Thessaloniki (40.64361, 22.93086) 塞萨洛尼基
Thermi (40.54712, 23.01967) 特尔米
Theologos (36.38066, 28.03162) 西奥洛戈斯
Theodorakeio (40.94959, 22.19168) 西奥多拉凯奥
Thasos (40.77806, 24.70944) 塔索斯
Terpni (40.91643, 23.48137) 特尔普尼
Taxiarchis (40.42483, 23.52223) 塔克西亚尔基斯
Tagarades (40.48893, 23.02229) 塔加拉德斯
Svoronos (40.26805, 22.46366) 斯沃罗诺斯
Strymoniko (41.04144, 23.31487) 斯特里莫尼科
Stratonion (40.51406, 23.82471) 斯特拉托尼翁
Stratoniki (40.52772, 23.76306) 斯特拉托尼基
Stivos (40.64963, 23.30344) 斯蒂沃斯
Sterna (41.56546, 26.4581) 斯特尔纳
Stenimachos (40.60359, 22.12578) 斯特尼马霍斯
Stavroupoli (40.66944, 22.93806) 斯塔夫鲁波利
Stavrodromi (40.71161, 22.21694) 斯塔夫罗德罗米
Sozopoli (40.27726, 23.14735) 索佐波利
Souroti (40.47274, 23.09197) 苏罗蒂
Soufli (41.19194, 26.29944) 苏夫利
Sosandra (40.99894, 22.03254) 索桑德拉
Sochos (40.81788, 23.35546) 索霍斯
Sminthi (41.23064, 24.88) 斯明西
Skoutari (41.01871, 23.51971) 斯库塔里
Skotoussa (41.12844, 23.38174) 斯科图萨
Skotina (40.01495, 22.55244) 斯科蒂纳
Skopia (40.76346, 21.41039) 斯科皮亚
Sklithro (40.62192, 21.5048) 斯克利斯罗
Skydra (40.76722, 22.15194) 斯基德拉
Leptokarya (40.06032, 22.5612) 莱普托卡里亚
Skala Kallirachis (40.70641, 24.53392) 斯卡拉卡利拉希斯
Sitochori (40.88172, 23.61858) 西托霍里
Sitaria (40.79094, 21.5429) 西塔里亚
Sitagroi (41.11067, 24.02755) 西塔格罗伊
Sindos (40.67045, 22.80545) 辛多斯
Sykies (40.64944, 22.95083) 西基耶斯
Sidirokastro (41.23499, 23.38899) 西迪罗卡斯特罗
Siatista (40.26194, 21.54417) 西亚蒂斯塔
Sfikia (40.38581, 22.20881) 斯菲基亚
Sfendami (40.41307, 22.54677) 斯芬达米
Sevastiana (40.76874, 22.12346) 塞瓦斯蒂亚纳
Sevasti (40.35927, 22.54513) 塞瓦斯蒂
Servia (40.17972, 21.99444) 塞尔维亚
Selero (41.13382, 24.99408) 塞莱罗
Sarti (40.09369, 23.97859) 萨尔蒂
Sarantaporo (40.06783, 22.05264) 萨兰塔波罗
Sapes (41.02861, 25.69306) 萨佩斯
Samothraki (40.47333, 25.52222) 萨莫色雷斯
Samarina (40.10462, 21.01864) 萨马里纳
Rodolivos (40.92055, 23.97489) 罗多利沃斯
Rodochori (40.6907, 22.01751) 罗多霍里
Rizo (40.73331, 22.13674) 里佐
Rizomata (40.35061, 22.21079) 里佐马塔
Rizia (41.6249, 26.42771) 里齐亚
Rizari (40.78373, 22.088) 里扎里
Ritini (40.28835, 22.28361) 里蒂尼
Ryakia (40.40086, 22.39309) 里亚基亚
Pefka (40.65806, 22.99378) 佩夫卡
Rachona (40.81211, 22.53853) 拉霍纳
Ptolemaida (40.51472, 21.67861) 托勒迈达
Ftelia (41.08266, 24.18968) 夫特利亚
Provatonas (41.02654, 26.25906) 普罗瓦托纳斯
Provatas (41.06825, 23.3903) 普罗瓦塔斯
Proti (40.94411, 24.00118) 普罗蒂
Prosotsani (41.18333, 23.96667) 普罗索察尼
Promachoi (41.02517, 22.00437) 普罗马霍伊
Prochoma (40.79826, 22.66659) 普罗霍马
Profitis (40.68827, 23.27658) 普罗菲提斯
Potamia (40.71633, 24.72859) 波塔米亚
Poreia (40.4885, 21.2124) 波雷亚
Pontoirakleia (41.10445, 22.62162) 庞托伊拉克利亚
Pontismeno (41.20885, 23.28325) 庞蒂斯梅诺
Polygyros (40.37704, 23.44135) 波利吉罗斯
Polyplatanos (40.68306, 22.19118) 波利普拉塔诺斯
Polymylos (40.37091, 22.0673) 波利米洛斯
Polikhronon (40.01657, 23.52834) 波利克罗农
