Nea Madytos (40.62275, 23.56102) 新马迪托斯
Nea Lykogianni (40.5727, 22.23803) 新吕科贾尼
Nea Kerdylia (40.79443, 23.84163) 新克尔迪利亚
Nea Karvali (40.96148, 24.51132) 新卡尔瓦利
Nea Karya (40.90621, 24.70726) 新卡里亚
Nea Kallikrateia (40.31312, 23.06343) 新卡利克拉蒂亚
Nea Iraklitsa (40.86442, 24.3165) 新伊拉克利察
Nea Irakleia (40.34772, 23.0155) 新伊拉克利亚
Nea Fokaia (40.13333, 23.39754) 新福卡亚
Nea Efesos (40.22923, 22.49811) 新以弗所
Nea Bafra (40.98847, 24.02036) 新巴夫拉
Nea Apollonia (40.62558, 23.44074) 新阿波罗尼亚
Moustheni (40.86239, 24.11271) 穆斯特尼
Monovrysi (41.06007, 23.60501) 莫诺夫里西
Monospita (40.61844, 22.17581) 莫诺斯皮塔
Myriofyto (41.22328, 22.8272) 米里奥菲托
Milia (40.99205, 22.14465) 米利亚
Mikropolis (41.19351, 23.8157) 米克罗波利斯
Agios Antonios (40.43678, 23.09303) 阿吉奥斯·安东尼奥斯
Mikro Monastiri (40.7043, 22.54112) 米克罗·莫纳斯提里
Mikrokampos (40.84098, 22.77483) 米克罗坎波斯
Mikri Volvi (40.6776, 23.56083) 米克里·沃尔维
Myki (41.24384, 24.92084) 米基
Metagkitsi (40.32443, 23.65511) 梅塔吉齐
Mesopotamia (40.50252, 21.1611) 美索不达米亚
Mesimeri (40.41344, 23.0075) 梅西梅里
Mesaio (40.79493, 22.86465) 梅塞奥
Menemeni (40.65829, 22.89712) 梅内梅尼
Meliti (40.83434, 21.58426) 梅利蒂
Melissochori (40.76796, 22.92858) 梅利索霍里
Meliki (40.51685, 22.39599) 梅利基
Melenikitsi (41.14835, 23.44482) 梅莱尼基齐
Mega Pisto (41.14712, 25.30108) 梅加皮斯托
Megali Panagia (40.44505, 23.67999) 梅加利·帕纳贾
Mavrovouni (40.78243, 22.15629) 马夫罗武尼
Mavrothalassa (40.89427, 23.75048) 马夫罗塔拉萨
Mavroneri (40.88714, 22.81345) 马夫罗内里
Mavrolofos (40.9129, 23.87124) 马夫罗洛福斯
Mavrochori (40.51224, 21.32038) 马夫罗霍里
Marina (36.6844, -121.80217) 马里纳
Maniakoi (40.50064, 21.24446) 马尼亚科伊
Mandalo (40.85677, 22.21264) 曼达洛
Dion (40.17169, 22.48463) 迪翁
Makrochori (40.55125, 22.24955) 马克罗霍里
Makrygialos (40.41551, 22.60392) 马克里贾洛斯
Loutros (40.58873, 22.39976) 卢特罗斯
Loudias (40.67838, 22.54257) 卢迪亚斯
Lofos (40.24395, 22.38033) 洛福斯
Livadi (40.12625, 22.15753) 利瓦迪
Livadero (40.03455, 21.94279) 利瓦德罗
Litochoro (40.10056, 22.49778) 利托霍罗
Liti (40.74533, 22.97982) 利蒂
Lithotopos (41.13444, 23.22154) 利索托波斯
Liparo (40.7469, 22.2474) 利帕罗
Limnochori (41.20587, 23.2046) 利姆诺霍里
Limenaria (40.62741, 24.5765) 利梅纳里亚
Lykeio (41.06413, 25.6857) 吕凯奥
Lianovergi (40.63526, 22.5082) 利亚诺韦尔吉
Lefkopetra (41.13629, 24.97932) 莱夫科佩特拉
Lefkonas (41.10029, 23.49658) 莱夫科纳斯
Lefkadia (40.65298, 22.1191) 莱夫卡迪亚
Lagyna (40.72351, 23.0042) 拉吉纳
Lavara (41.26957, 26.38522) 拉瓦拉
Lagkadikia (40.63569, 23.24653) 拉加迪基亚
Lagkadas (40.75, 23.06667) 拉加达斯
Lakkoma (40.39139, 23.05578) 拉科马
Levaia (40.64531, 21.70313) 莱瓦亚
Lakhanas (40.96297, 23.20546) 拉哈纳斯
Laimos (40.83628, 21.14061) 莱莫斯
Krokos (40.26349, 21.8176) 克罗科斯
Krithia (40.84184, 22.98292) 克里西亚
Kristoni (40.95962, 22.85929) 克里斯托尼
Kryopigi (40.03569, 23.47361) 克里奥皮吉
Krinides (41.01396, 24.29647) 克里尼德斯
Kozani (40.30069, 21.78896) 科扎尼
Kouloura (40.54652, 22.31795) 库洛拉
Koufovouno (41.35533, 26.43691) 库福武诺
Koufalia (40.77778, 22.57194) 库法利亚
Kormista (40.98013, 24.05565) 科尔米斯塔
Korisos (40.5049, 21.37703) 科里索斯
Korinos (40.31659, 22.58817) 科里诺斯
Koryfi (40.60286, 22.50681) 科里菲
Analipsi (40.72111, 23.17463) 阿纳利普西
Kopanos (40.63382, 22.12893) 科帕诺斯
Konstantia (40.99865, 22.17355) 康斯坦蒂亚
Konitsa (40.04861, 20.75667) 科尼察
Kontariotissa (40.22754, 22.461) 孔塔里奥蒂萨
Komotini (41.11917, 25.40535) 科莫蒂尼
Komnina (40.59057, 21.77671) 科姆尼纳
Komara (41.59374, 26.22947) 科马拉
Kolokynthou (40.50503, 21.2111) 科洛金苏
Kolchikon (40.75662, 23.13377) 科尔奇孔
Kolindros (40.47888, 22.48319) 科林德罗斯
Kokkinochoma (40.9269, 24.30805) 科基诺霍马
Koimisi (41.21282, 23.30035) 科伊米西
Koila (40.33055, 21.79102) 科伊拉
Kleitos (40.4314, 21.85806) 克莱托斯
Kleidi (40.56632, 22.59033) 克莱迪
Kitros (40.37399, 22.57862) 基特罗斯
Kyria (41.099, 24.28915) 基里亚
