Kyprinos (41.57542, 26.22905) - 基普里诺斯
Kimmeria (41.14788, 24.93869) - 基梅里亚
Kymina (40.61354, 22.69278) - 基米纳
Kilkis (40.99302, 22.87433) - 基尔基斯
Chrysoupolis (40.98556, 24.69389) - 克里索普利斯
Chryso (41.05806, 23.65108) - 克里索
Chrysochori (40.93328, 24.71088) - 克里索科里
Chrysochorafa (41.18097, 23.23551) - 克里索科拉法
Chrysavgi (40.76478, 23.08104) - 克里萨夫吉
Chortiatis (40.60954, 23.10014) - 霍尔蒂亚蒂斯
Chortero (41.21947, 23.36874) - 霍尔泰罗
Chorygio (40.99594, 22.72637) - 霍里吉奥
Choristi (41.13056, 24.20843) - 霍里斯蒂
Cheimarros (41.11048, 23.25815) - 海马罗斯
Chiliodendro (40.48723, 21.19136) - 希利奥登德罗
Cherso (41.08921, 22.78067) - 赫尔索
Charopo (41.26031, 23.37279) - 哈罗波
Chariessa (40.65139, 22.16659) - 哈里埃萨
Chalkidona (40.73184, 22.59992) - 哈尔基多纳
Kerkini (41.21887, 23.08454) - 克尔基尼
Keramoti (40.85591, 24.70595) - 克拉莫蒂
Kelli (40.78667, 21.68895) - 凯利
Kefalochori (40.56889, 22.36576) - 凯法洛科里
Kavyli (41.56225, 26.5147) - 卡维利
Kavallari (40.71539, 23.04588) - 卡瓦拉里
Kato Scholari (40.42906, 23.02978) - 卡托斯科拉里
Kato Nevrokopi (41.35, 23.86667) - 卡托内夫罗科皮
Kato Milia (40.25403, 22.34342) - 卡托米利亚
Kato Lipochori (40.75754, 22.17962) - 卡托利波科里
Kato Kamila (41.02119, 23.48336) - 卡托卡米拉
Katerini (40.26956, 22.50608) - 卡特里尼
Katachas (40.46693, 22.54204) - 卡塔查斯
Kastoria (40.52165, 21.26341) - 卡斯托里亚
Kastanoussa (41.27743, 22.89398) - 卡斯塔努萨
Kastanies (41.64551, 26.47676) - 卡斯塔涅斯
Kastania (40.17434, 22.02368) - 卡斯塔尼亚
Kastanas (40.81917, 22.65875) - 卡斯塔纳斯
Kassandreia (40.04835, 23.41362) - 卡桑德里亚
Karperi (41.13212, 23.30436) - 卡尔佩里
Karoti (41.40611, 26.42557) - 卡罗蒂
Simantra (40.34563, 23.31026) - 西曼特拉
Karitsa (40.18745, 22.48171) - 卡里察
Karyotissa (40.76915, 22.31331) - 卡里奥蒂萨
Kariani (40.75139, 23.98262) - 卡里亚尼
Kardia (40.46909, 22.99378) - 卡尔迪亚
Kampochori (40.60953, 22.36954) - 坎波科里
Kampanis (40.88951, 22.91682) - 坎帕尼斯
Kamariotissa (40.47501, 25.47456) - 卡马里奥蒂萨
Kalos Agros (41.10543, 24.0857) - 卡洛斯阿格罗斯
Kalochori (40.64189, 22.85734) - 卡洛科里
Kallipoli (40.79004, 22.23339) - 卡利波利
Kallifytos (41.1728, 24.21527) - 卡利菲托斯
Kali Vrysi (41.14653, 23.90667) - 卡利弗里西
Kalyves Polygyrou (40.28659, 23.39033) - 卡利维斯波利吉鲁
Kali (40.81931, 22.17761) - 卡利
Kalamoto (40.55613, 23.3735) - 卡拉莫托
Kalampaki (41.05, 24.18333) - 卡兰帕基
Kalamaria (40.5825, 22.95028) - 卡拉马里亚
Kala Dendra (41.09941, 23.42396) - 卡拉登德拉
Ivira (40.89537, 23.69857) - 伊维拉
Lechovo (40.58442, 21.49218) - 莱霍沃
Iraklion (40.7568, 23.0356) - 伊拉克利翁
Irakleia (41.18217, 23.28243) - 伊拉克利亚
Ierissos (40.39748, 23.87505) - 伊里索斯
Lydia (29.92394, -91.78305) - 利迪亚
Ida (41.00991, 22.1765) - 伊达
Iasmos (41.12747, 25.18573) - 伊阿斯莫斯
Griva (40.95433, 22.41037) - 格里瓦
Grevena (40.08452, 21.42744) - 格雷韦纳
Gravouna (40.99505, 24.6525) - 格拉武纳
Goumenissa (40.94604, 22.44974) - 古梅尼萨
Gorgopi (40.96083, 22.5243) - 戈尔戈皮
Gomati (40.39608, 23.79547) - 戈马蒂
Gazoros (41.02557, 23.77574) - 加佐罗斯
Ganochora (40.30888, 22.49577) - 加诺科拉
Gallikos (40.85817, 22.87604) - 加利科斯
Galatista (40.4682, 23.28015) - 加拉蒂斯塔
Galatini (40.31966, 21.55148) - 加拉蒂尼
Galatades (40.7559, 22.28062) - 加拉塔德斯
Fotolivos (41.06013, 24.04724) - 福托利沃斯
Folia (40.80935, 24.15686) - 福利亚
Nea Flogita (40.26108, 23.22107) - 新弗洛吉塔
Florina (40.78197, 21.40981) - 弗洛里纳
Flamouria (40.75258, 22.01691) - 弗拉穆里亚
Flampouro (40.93132, 23.56667) - 弗拉姆普罗
Anthi (40.94403, 23.5063) - 安西
Fyteia (40.56325, 22.10968) - 菲蒂亚
Filoteia (41.03436, 22.15207) - 菲洛泰亚
Filotas (40.6252, 21.70851) - 菲洛塔斯
Fillyra (41.11667, 25.63333) - 菲利拉
Filiro (40.69151, 23.0046) - 菲利罗
Filippoi (41.02504, 24.33933) - 菲利波伊
Feres (40.89305, 26.17234) - 费雷斯
Exaplatanos (40.97643, 22.12958) - 埃克萨普拉塔诺斯
Evropos (40.89703, 22.55277) - 埃夫罗波斯
Evosmos (40.67056, 22.90833) - 埃沃斯莫斯
Evlalo (40.98333, 24.8) - 埃夫拉洛
Efkarpia (40.68797, 22.95348) - 埃夫卡皮亚
Esovalta (40.70733, 22.26385) - 埃索瓦尔塔
Eratyra (40.34253, 21.51333) - 埃拉蒂拉
