Marlow Lagoon (-12.49132, 130.96407) 马洛泻湖
Googong (-35.43873, 149.2131) 古贡
Torrens Park (-34.97607, 138.61034) 托伦斯公园
Stretton (-27.62205, 153.06609) 斯特雷顿
Grose Vale (-33.58331, 150.6744) 格罗斯谷
Glossop (53.44325, -1.949) 格洛索普
Harrington Park (-34.02405, 150.73501) 哈灵顿公园
Tiwi (13.4585, 123.6805) 提维
Allenstown (-23.39403, 150.50393) 艾伦镇
Cumberland Park (-34.97204, 138.5867) 坎伯兰公园
Busby (-33.91124, 150.88068) 巴斯比
Kulnura (-33.20502, 151.17587) 库尔努拉
Abbey (-33.66364, 115.25635) 阿比
Kings Park (40.88621, -73.25734) 国王公园
Marks Point (-33.05645, 151.64955) 马克斯角
Geebung (-27.37246, 153.04712) 吉邦
Kentlyn (-34.06036, 150.8654) 肯特林
Metford (-32.76497, 151.6094) 梅特福德
Maryland (-32.87888, 151.66143) 马里兰
Taylors Lakes (-37.69863, 144.78631) 泰勒斯湖
Banksia Park (-34.81015, 138.7357) 班克西亚公园
Bouvard (-32.682, 115.623) 布瓦尔
Rapid Creek (-12.38042, 130.85919) 急流溪
Louth Park (-32.77085, 151.54826) 劳斯公园
Gnangara (-31.77612, 115.86623) 格南加拉
Macquarie Park (-33.78105, 151.12757) 麦考瑞公园
Maraylya (-33.59221, 150.91979) 马雷利亚
Centenary Heights (-27.58684, 151.96249) 百年高地
Sandover (-21.95965, 135.5128) 桑多弗
Tindal (-14.53123, 132.37927) 廷达尔
Woodroffe (-12.50173, 130.98016) 伍德罗夫
Calwell (-35.44042, 149.10707) 卡尔韦尔
Pagewood (-33.94137, 151.21093) 佩奇伍德
Kuluin (-26.65779, 153.05608) 库鲁因
Canberra City (-35.28125, 149.12927) 堪培拉市
Farrer (-35.37673, 149.105) 法勒尔
Cherrybrook (-33.72197, 151.04607) 樱桃溪
Evanston (42.04114, -87.69006) 埃文斯顿
Forde (61.45217, 5.85717) 福德
Tatton (-35.1599, 147.35875) 塔顿
Lyneham (51.51667, -1.96667) 莱纳姆
Kensington Park (27.35949, -82.49649) 肯辛顿公园
Woodcroft (-35.10236, 138.56292) 伍德克罗夫特
Menora (-31.91889, 115.86208) 梅诺拉
Russell Lea (-33.85889, 151.14111) 拉塞尔利
Daisy Hill (-27.63026, 153.15784) 黛西山
Pooraka (-34.82471, 138.62637) 普拉卡
Fingal Head (-28.20176, 153.56518) 芬格尔角
Bokarina (-26.73843, 153.13049) 博卡里纳
Chifley (-33.96696, 151.24221) 奇夫利
Ashby (42.67787, -71.82035) 阿什比
Naremburn (-33.81698, 151.20079) 纳伦本
Woodvale (-31.78928, 115.79676) 伍德韦尔
Plumpton (-33.75184, 150.83686) 普拉姆普顿
Bellfield (-37.75309, 145.03848) 贝尔菲尔德
North Rocks (-33.77223, 151.01718) 北岩
Roxburgh Park (-37.62581, 144.92555) 罗克斯堡公园
Old Guildford (-33.86429, 150.98395) 老吉尔福德
Orangeville (43.9168, -80.09967) 奥兰治维尔
Ourimbah (-33.31424, 151.33031) 奥林巴
Underwood (-27.60885, 153.1113) 安德伍德
Mitchell Park (-35.01031, 138.56266) 米切尔公园
Pheasants Nest (-34.25584, 150.63404) 雉鸟巢
Waratah West (-32.90003, 151.7117) 华拉塔西
Jamboree Heights (-27.55634, 152.93402) 集会高地
Eumemmerring (-37.9978, 145.24821) 尤梅梅林
The Narrows (-12.4264, 130.85953) 狭窄地带
Prairiewood (-33.86325, 150.90521) 普雷里伍德
Prestons (-33.94185, 150.8717) 普雷斯顿斯
Wurrumiyanga (-11.76082, 130.62555) 乌鲁米扬加
Razorback (-34.15237, 150.65308) 剃刀背
Eureka (40.80207, -124.16367) 尤里卡
Netley (50.87463, -1.35476) 内特利
Robin Hill (-33.42292, 149.53279) 罗宾山
Reedy Creek (-28.11243, 153.39638) 里迪溪
Wamboin (-35.25073, 149.33284) 瓦姆博因
Voyager Point (-33.95871, 150.97417) 航行者角
Warwick Farm (-33.91291, 150.93701) 沃里克农场
Warriewood (-33.68857, 151.29534) 沃里伍德
Russell Vale (-34.35542, 150.89434) 拉塞尔谷
Pleasure Point (-33.96989, 150.98394) 快乐点
Moil (-12.3885, 130.88088) 莫伊尔
Warilla (-34.55185, 150.85831) 瓦里拉
Scotland Island (-33.64067, 151.28745) 苏格兰岛
Shortland (-32.87883, 151.69105) 肖特兰
Beeliar (-32.13339, 115.80637) 比利亚
Cowandilla (-34.93221, 138.55931) 科万迪拉
Dharruk (-33.74814, 150.81561) 达鲁克
Tanilba Bay (-32.74706, 151.99714) 塔尼尔巴湾
Werrington (-33.7592, 150.75266) 韦灵顿
Winston Hills (-33.77645, 150.98051) 温斯顿山
Wetherill Park (-33.84277, 150.90061) 韦瑟里尔公园
Ardeer (-37.77586, 144.80144) 阿迪尔
Eastern Creek (-33.80628, 150.86121) 东溪
Southside (33.92454, -86.02247) 南区
Flaxton (-26.65712, 152.8641) 弗拉克斯顿
Yarravel (-31.04295, 152.76191) 亚拉维尔
St George (-27.94763, 148.60986) 圣乔治
Westleigh (-33.71176, 151.07139) 西利
Farrar (-12.48028, 130.9982) 法拉尔
