Viros (39.5834, 19.8827) 维罗斯
Spartylas (39.72089, 19.84147) 斯帕尔蒂拉斯
Sinarades (39.56577, 19.8483) 西纳拉德斯
Roda (39.78683, 19.79297) 罗达
Potamos (39.6242, 19.87826) 波塔莫斯
Peroulades (39.78638, 19.67317) 佩鲁拉德斯
Othonoi (39.84231, 19.40494) 奥索尼
Nymfes (39.75594, 19.78492) 宁费斯
Moraitika (39.48467, 19.92469) 莫莱提卡
Liapades (39.66918, 19.7402) 利亚帕德斯
Kontokali (39.64436, 19.85194) 孔托卡利
Kompitsion (39.60527, 19.86719) 科姆皮齐翁
Kokkinion (39.60919, 19.815) 科基尼翁
Kynopiastes (39.56785, 19.88362) 基诺皮亚斯特斯
Corfu (39.62441, 19.92016) 科孚
Kavvadades (39.74554, 19.67943) 卡瓦达德斯
Kato Korakiana (39.68969, 19.82809) 卡托科拉基亚纳
Kato Garouna (39.53916, 19.86483) 卡托加鲁纳
Kastanea (39.59279, 19.88459) 卡斯塔内亚
Kassiopi (39.78822, 19.92125) 卡西奥皮
Karousades (39.78028, 19.74475) 卡鲁萨德斯
Ypsos (39.69472, 19.83667) 伊普索斯
Gouvia (39.65283, 19.8425) 古维亚
Gastouri (39.5611, 19.89842) 加斯图里
Doukades (39.68988, 19.74084) 杜卡德斯
Benitses (39.54367, 19.91369) 贝尼策斯
Agios Matthaios (39.49506, 19.87336) 阿吉奥斯·马泰奥斯
Avliotes (39.77767, 19.66378) 阿夫里奥特斯
Argyrades (39.43517, 19.97632) 阿吉拉德斯
Ano Korakiana (39.70567, 19.79226) 阿诺科拉基亚纳
Alepou (39.61594, 19.89564) 阿莱普
Afra (39.62162, 19.85837) 阿夫拉
Vrilissia (38.03381, 23.82962) 弗里利西亚
Faliraki (36.33981, 28.19942) 法利拉基
Koskinou (36.38794, 28.21506) 科斯基努
Laganas (37.72837, 20.8678) 拉加纳斯
Platys Gialos (37.41448, 25.3422) 普拉蒂斯吉亚洛斯
Potos (40.61154, 24.608) 波托斯
Acharavi (39.7936, 19.81736) 阿查拉维
Agios Georgis (39.72363, 19.69969) 阿吉奥斯·乔吉斯
Ferma (57.9016, 56.3064) 费尔马
Georgioupolis (35.36225, 24.26013) 乔治乌波利斯
Istro (35.12468, 25.73882) 伊斯特罗
Ligia (38.78697, 20.71923) 利吉亚
Ornos (37.42391, 25.32248) 奥尔诺斯
Arvi (20.99585, 78.22914) 阿尔维
Foinikounta (36.80811, 21.80697) 菲尼库塔
Kato Gouves (35.32934, 25.31353) 卡托古维斯
Saronida (37.74809, 23.91059) 萨罗尼达
Karteros (35.32969, 25.2065) 卡特罗斯
Exochi (40.63017, 23.04271) 埃克索希
Ymittos (37.95342, 23.74897) 伊米托斯
MakryGialos (35.03715, 25.97179) 马克里吉亚洛斯
Soroni (36.36212, 28.00267) 索罗尼
Maritsa (36.36045, 28.1171) 马里察
Gerakas (38.02277, 23.8576) 杰拉卡斯
Tourlos (37.4634, 25.33022) 图尔洛斯
Kolonaki (37.97866, 23.74103) 科洛纳基
Adelianos Kampos (35.3721, 24.5414) 阿德利亚诺斯坎波斯
Paralia Ofryniou (40.76663, 23.90039) 帕拉利亚奥夫里尼欧
Agia Kyriaki (39.52264, 20.88358) 阿吉亚基里亚基
Agia Foteini (35.25459, 24.63495) 阿吉亚福泰尼
Ilioupoli (37.93149, 23.76779) 伊利乌波利
Korydallos (37.98468, 23.64711) 科里达洛斯
Paralia Dionysiou (40.25045, 23.24982) 帕拉利亚迪奥尼修
Zografos (37.97574, 23.76911) 佐格拉福斯
Pefki (38.06019, 23.79264) 佩夫基
Fournoi (37.5785, 26.48069) 富尔诺伊
Nea Potidhaia (40.19428, 23.32874) 新波提代亚
Tavronitis (35.52997, 23.82029) 塔夫罗尼蒂斯
Klouvas (37.45265, 25.34863) 克卢瓦斯
Agios Ioannis Rentis (37.96491, 23.66511) 阿吉奥斯·约安尼斯·伦蒂斯
Violi Charaki (35.35864, 24.43857) 维奥利查拉基
Sfakaki (35.38132, 24.58257) 斯法卡基
Vatheianos Kampos (35.32104, 25.24422) 瓦特希亚诺斯坎波斯
Nea Anatoli (35.0092, 25.6617) 新阿纳托利
Drapetsona (37.94988, 23.62309) 德拉佩佐纳
Neo Psychiko (38.00624, 23.78373) 新普西希科
Chloi (40.53918, 21.25923) 克洛伊
Varybobi (38.12723, 23.78729) 瓦里博比
Aghios Panteleimon (38.11643, 23.98182) 阿吉奥斯·潘特莱蒙
Nea Vrasna (40.70592, 23.6985) 新弗拉斯纳
Zefyri (38.06647, 23.71701) 泽菲里
Thrakomakedones (38.12964, 23.75751) 色雷斯马其顿人
Nea Penteli (38.06059, 23.85926) 新彭特利
Nea Chalkidona (38.0271, 23.73051) 新哈尔基多纳
Thymari (37.69581, 23.94483) 蒂玛里
Kitsi (37.85181, 23.84068) 基齐
Karellas (37.93445, 23.86484) 卡雷拉斯
Neos Voutzas (38.04312, 23.97749) 新武扎斯
Argithea (37.97506, 23.88556) 阿吉西亚
Dioni (38.02328, 23.93286) 迪奥尼
Kallitechnoupoli (38.02639, 23.95758) 卡利特赫努波利
Neos Kouvaras (37.82436, 23.95539) 新库瓦拉斯
Agia Kyriakii Spaton (37.99336, 23.97796) 阿吉亚基里亚基斯帕顿
Neapoli Spaton (37.96552, 23.97873) 新波利斯帕顿
Christoupoli (37.97835, 23.9179) 克里斯图波利
Nea Politeia (38.30226, 23.78634) 新波利提亚
Nea Zoi (38.08343, 23.48413) 新佐伊
Vlychada (38.02734, 23.43663) 弗利哈达
