Kerestinec (45.7701, 15.80864) 克雷斯蒂内茨
Kelemen (46.25667, 16.43528) 克莱门
Kastel Sucurac (43.55028, 16.42639) 卡斯特尔苏丘拉茨
Kastel Stari (43.55, 16.35) 卡斯特尔斯塔里
Kastel Stafilic (43.55, 16.33333) 卡斯特尔斯塔菲利奇
Kastel Novi (43.55, 16.33333) 卡斯特尔诺维
Kastel Luksic (43.55528, 16.3675) 卡斯特尔卢克西奇
Kastel Kambelovac (43.55, 16.38333) 卡斯特尔坎贝洛瓦茨
Kastelir (45.30333, 13.68528) 卡斯特利尔
Kastel Gomilica (43.55, 16.4) 卡斯特尔戈米利察
Kastav (45.37528, 14.34861) 卡斯塔夫
Kasina (45.91134, 16.12436) 卡西纳
Karojba (45.30083, 13.82306) 卡罗伊巴
Karlobag (44.5275, 15.07389) 卡尔洛巴格
Karanac (45.76056, 18.68444) 卡拉纳茨
Karakasica (43.73472, 16.63694) 卡拉卡西察
Kaptol (45.43472, 17.72611) 卡普托尔
Kapela (45.98833, 16.85139) 卡佩拉
Kaniza (45.10806, 17.88611) 卡尼扎
Kanfanar (45.12194, 13.83917) 坎法纳尔
Kamanje (45.63528, 15.39583) 卡曼耶
Kalnik (46.12833, 16.4625) 卡尔尼克
Kalinovac (46.02944, 17.11556) 卡利诺瓦茨
Jusici (45.3775, 14.32194) 尤西奇
Sveti Juraj (44.92833, 14.92194) 斯韦蒂尤拉伊
Jurdani (45.38139, 14.31722) 尤尔达尼
Ivanovac (45.48639, 18.63694) 伊瓦诺瓦茨
Josipovac (45.58278, 18.58139) 约西波瓦茨
Josipdol (45.1937, 15.28924) 约西普多尔
Jezera (43.7876, 15.64108) 耶泽拉
Jezdovec (45.7727, 15.85218) 耶兹多韦茨
Jertovec (46.03972, 16.18722) 耶尔托韦茨
Jerovec (46.23889, 16.10861) 耶罗韦茨
Jelsa (43.16139, 16.69306) 耶尔萨
Jelisavac (45.52889, 18.15611) 耶利萨瓦茨
Jelenje (45.38611, 14.45111) 耶莱涅
