Grabovac (44.60049, 20.08539) - 格拉博瓦茨
Graberje Ivanicko (45.7099, 16.47383) - 格拉贝尔耶·伊瓦尼奇科
Grab (43.64694, 16.76139) - 格拉布
Gospic (44.54611, 15.37472) - 戈斯皮奇
Okrug Gornji (43.49473, 16.26531) - 奥克鲁格·戈尔尼
Gornji Mihaljevec (46.43047, 16.32568) - 戈尔尼·米哈列韦茨
Gornji Laduc (45.88409, 15.71268) - 戈尔尼·拉杜茨
Kucan Gornji (46.27778, 16.385) - 库坎·戈尔尼
Gornji Kraljevec (46.46255, 16.47035) - 戈尔尼·克拉列韦茨
Gornji Kneginec (46.25051, 16.37555) - 戈尔尼·克内吉内茨
Gornji Karin (44.13598, 15.63423) - 戈尔尼·卡林
Gornji Hrascan (46.37806, 16.34861) - 戈尔尼·赫拉尚
Gornji Desinec (45.69299, 15.69157) - 戈尔尼·德西内茨
Gornji Bogicevci (45.25944, 17.23611) - 戈尔尼·博吉切夫齐
Gornje Vratno (46.35823, 16.14556) - 戈尔涅·弗拉特诺
Podbablje Gornje (43.39314, 17.17953) - 波德巴布列·戈尔涅
Gornje Plavnice (45.94062, 16.85522) - 戈尔涅·普拉夫尼采
Gornje Ladanje (46.31576, 16.15832) - 戈尔涅·拉达涅
Gornje Jesenje (46.20639, 15.9125) - 戈尔涅·耶塞涅
Gornja Vrba (45.15528, 18.06556) - 戈尔尼亚·弗尔巴
Gornja Stubica (45.97519, 16.01931) - 戈尔尼亚·斯图比察
Gornja Rijeka (46.11121, 16.39229) - 戈尔尼亚·里耶卡
Gornja Pusca (45.92859, 15.77165) - 戈尔尼亚·普沙
Gornja Jelenska (45.59584, 16.68857) - 戈尔尼亚·耶伦斯卡
Gornja Greda (45.81217, 16.32156) - 戈尔尼亚·格雷达
Gornja Gracenica (45.51278, 16.69583) - 戈尔尼亚·格拉切尼察
Gornja Bistra (45.91667, 15.9) - 戈尔尼亚·比斯特拉
Gorjani (45.39889, 18.37222) - 戈尔亚尼
Golubic (44.09638, 16.21785) - 戈卢比奇
Gola (46.19583, 17.05806) - 戈拉
Gojanec (46.28778, 16.30306) - 戈亚内茨
Glogovac (42.62833, 20.89389) - 格洛戈瓦茨
Glina (44.38333, 26.25) - 格利纳
Glavina Donja (43.445, 17.19889) - 格拉维纳·多尼亚
Glavice (43.71181, 16.66154) - 格拉维采
Gerovo (45.51472, 14.64222) - 格罗沃
Generalski Stol (45.34196, 15.37557) - 热内拉尔斯基·斯托尔
Gat (45.70611, 18.32556) - 加特
Gasinci (45.33472, 18.31639) - 加辛齐
Garesnica (45.57444, 16.94139) - 加雷斯尼察
Gardinovec (46.42694, 16.5575) - 加尔迪诺韦茨
Garcin (45.18278, 18.18306) - 加尔钦
Galovac (44.07139, 15.39333) - 加洛瓦茨
Galizana (44.93167, 13.86861) - 加利扎纳
Galgovo (45.74287, 15.75037) - 加尔戈沃
Fuzine (45.30528, 14.71556) - 富济内
Funtana (45.17472, 13.605) - 丰塔纳
