Clagiraba (-27.99387, 153.24238) 克拉吉拉巴
Hillsborough (40.4776, -74.62682) 希尔斯伯勒
Fadden (-35.405, 149.11662) 法登
Tarcoola Beach (-28.81001, 114.62236) 塔库拉海滩
Page (36.91472, -111.45583) 佩奇
Cotswold Hills (-27.52241, 151.89516) 科茨沃尔德山
Teneriffe (-27.45587, 153.04696) 特内里费
Thomson (1.34917, 103.84361) 汤姆森
Bray Park (-27.29246, 152.96783) 布雷公园
Bulgarra (-20.72584, 116.85673) 布尔加拉
St Albans Park (-38.18802, 144.39207) 圣奥尔本斯公园
Kooringal (-35.14069, 147.3768) 库林加尔
East Deep Creek (-26.19761, 152.71747) 东深溪
Glenwood (-33.73333, 150.93284) 格伦伍德
Heathwood (-27.63449, 152.98814) 希斯伍德
Mira Mar (-35.01517, 117.90096) 米拉马尔
Glen Eden (-23.89738, 151.27133) 格伦伊登
Highbury (51.55, -0.1) 海布里
Highland Park (42.18169, -87.80034) 高地公园
Pemulwuy (-33.82274, 150.92395) 佩穆尔韦
Silverwater (-33.83343, 151.04731) 银水
Wattle Camp (-26.45723, 151.96235) 瓦特营地
Petersham (-33.8946, 151.15495) 彼得舍姆
The Range (-23.392, 150.49624) 山脉
Hyde Park (41.7942, -87.59394) 海德公园
Heritage Park (-27.68273, 153.06082) 传统公园
Travancore (-37.78076, 144.93545) 特拉万科尔
Manoora (-16.91706, 145.73665) 马努拉
Panorama (40.58779, 23.0315) 全景
Raby (-34.01846, 150.81764) 雷比
St Andrews (-34.02243, 150.82958) 圣安德鲁斯
Carramar (-31.69023, 115.77159) 卡拉马尔
Ironbark (-36.75478, 144.26378) 铁树
Springdale Heights (-36.03095, 146.94783) 斯普林代尔高地
Macleay Island (-27.61089, 153.35996) 麦克利岛
Baynton (-20.75164, 116.80139) 贝恩顿
Menzies (-20.71809, 139.49717) 门齐斯
Newborough (-38.17171, 146.29264) 新伯勒
Kalkie (-24.84426, 152.38532) 卡尔基
Mission River (-12.59509, 141.9576) 使命河
Lake Gardens (-37.54632, 143.81653) 湖花园
Ascot Park (-34.99175, 138.55768) 阿斯科特公园
Newcomb (-38.16623, 144.39429) 纽科姆
Woodforde (-34.90512, 138.68963) 伍德福德
Para Hills (-34.8121, 138.65802) 帕拉山
O'Connor (-35.25645, 149.11248) 奥康纳
Rushcutters Bay (-33.8748, 151.22799) 拉什卡特湾
Edwardstown (-34.98018, 138.5694) 爱德华兹镇
Andrews Farm (-34.67632, 138.66197) 安德鲁斯农场
Mysterton (-19.28546, 146.79575) 米斯特顿
Railway Estate (-19.2757, 146.81962) 铁路庄园
O'Sullivan Beach (-35.11879, 138.4734) 奥沙利文海滩
Bellevue Heights (-35.03023, 138.58314) 贝尔维尤高地
Broadview (41.86392, -87.85339) 布罗德维尤
Petrie Terrace (-27.46298, 153.01312) 皮特里台地
Clearview (-34.85735, 138.61327) 克利尔维尤
Redridge (-25.1699, 152.36127) 红岭
Regency Downs (-27.53359, 152.44049) 摄政唐斯
Rasmussen (-19.3524, 146.7228) 拉斯穆森
Rosemount (44.73941, -93.12577) 罗斯蒙特
Sheldon (43.18109, -95.85613) 谢尔顿
Rippleside (-38.12568, 144.35497) 涟漪边
Boronia Heights (-27.68855, 153.01959) 博罗尼亚高地
Glen Osmond (-34.9596, 138.64873) 格伦奥斯蒙德
Usher (-33.37982, 115.6292) 阿舍
Sunshine Bay (-35.7454, 150.20792) 阳光湾
Seaholme (-37.864, 144.84504) 海家
Surfside (25.87843, -80.1256) 海滨
Black Forest (39.01305, -104.70081) 黑森林
Tamarama (-33.89835, 151.27059) 塔玛拉玛
Rockville (39.084, -77.15276) 罗克维尔
Townsend (51.76226, -0.3371) 汤森
Athol Park (-34.85608, 138.54282) 阿瑟尔公园
Bowden (-34.90258, 138.57911) 鲍登
Brahma Lodge (-34.77604, 138.65306) 布拉马旅馆
Dover Gardens (-35.024, 138.53695) 多佛花园
Bundall (-28.01111, 153.40479) 邦达尔
Hermit Park (-19.28741, 146.80043) 隐士公园
South Kingsville (-37.83018, 144.8709) 南金斯维尔
Yennora (-33.86173, 150.96865) 耶诺拉
Aberfeldie (-37.75959, 144.8974) 阿伯费尔迪
Onkaparinga Hills (-35.13514, 138.56697) 昂卡帕林加山
Merrimac (-28.05085, 153.37307) 梅里马克
Rosslyn Park (-34.92194, 138.67553) 罗斯林公园
Seacombe Gardens (-35.02336, 138.5458) 西科姆花园
Pimlico (51.48897, -0.13699) 皮姆利科
Molendinar (-27.97409, 153.36069) 莫伦迪纳
Heathpool (-34.93142, 138.6463) 希斯普尔
Stonyfell (-34.93422, 138.67674) 斯托尼费尔
Currajong (-19.27566, 146.77918) 库拉琼
St Agnes (-34.83075, 138.71074) 圣艾格尼丝
Douglas (51.87444, -8.435) 道格拉斯
Milpara (-34.9869, 117.86502) 米尔帕拉
Millbank (-24.87536, 152.32217) 米尔班克
Burnside (-43.49833, 172.56013) 伯恩赛德
Safety Beach (-38.31535, 145.00027) 安全海滩
Parklands (-43.47833, 172.69013) 公园地
Rostrevor (-34.89386, 138.69183) 罗斯特雷弗
Kanimbla (-16.92307, 145.72158) 卡宁布拉
Blind Bight (-38.21427, 145.3377) 盲湾
