Bratina (45.62139, 15.82722) 布拉蒂纳
Branjin Vrh (45.79611, 18.61) 布兰金弗尔赫
Bosnjaci (45.05028, 18.75556) 博斯尼亚齐
Bosiljevo (45.41343, 15.28775) 博西列沃
Bol (13.46729, 14.71352) 博尔
Bogdanovci (45.34083, 18.93083) 博格达诺夫齐
Bobota (47.38333, 22.76667) 博博塔
Blato (42.94083, 16.79167) 布拉托
Blaskovec (45.91161, 16.18894) 布拉什科韦茨
Bjelovar (45.89861, 16.84889) 比耶洛瓦尔
Bizovac (45.59278, 18.45889) 比佐瓦茨
Bistrinci (45.69167, 18.39861) 比斯特林齐
Biskupija (44.01139, 16.23722) 比斯库皮亚
Biskupec Zelinski (45.96131, 16.23324) 比斯库佩茨泽林斯基
Biograd na Moru (43.94333, 15.45194) 比奥格勒纳莫鲁
Bilje (45.60694, 18.74389) 比耶
Bilice (43.78869, 15.87473) 比利采
Bijelo Brdo (45.51722, 18.87083) 比耶洛布尔多
Bibinje (44.07288, 15.28396) 比宾耶
Betina (43.824, 15.60479) 贝蒂纳
Beretinec (46.25, 16.3) 贝雷蒂内茨
Berek (45.73833, 16.83028) 贝雷克
Beravci (45.15139, 18.43028) 贝拉夫齐
Benkovac (44.03444, 15.61278) 本科瓦茨
Beljevina (45.56444, 18.01389) 贝利耶维纳
Belisce (45.68028, 18.40583) 贝利舍
Beli Manastir (45.77, 18.60361) 贝利马纳斯蒂尔
Belica (46.40417, 16.51833) 贝利察
Beletinec (46.21898, 16.30783) 贝莱蒂内茨
Beketinci (45.45528, 18.4775) 贝凯廷齐
Bednja (46.23056, 15.98278) 贝德尼亚
Bedenica (46.03333, 16.24278) 贝德尼察
Bedenec (46.24028, 16.07194) 贝德内茨
Bedekovcina (46.04111, 15.99639) 贝德科夫奇纳
Bebrina (45.09833, 17.83417) 贝布里纳
Batrina (45.18944, 17.66639) 巴特里纳
Batina (45.84611, 18.85) 巴蒂纳
Baska Voda (43.35694, 16.95028) 巴什卡沃达
Bartolovec (46.29806, 16.44111) 巴尔托洛韦茨
Barilovic (45.38333, 15.55) 巴里洛维奇
Barbat (44.73658, 14.80091) 巴尔巴特
Barban (45.06444, 14.01361) 巴尔班
Bapska (45.1975, 19.26) 巴普斯卡
Banova Jaruga (45.44122, 16.89494) 巴诺瓦亚鲁加
Banjole (44.825, 13.86611) 班约莱
Banjol (44.75372, 14.77378) 班约尔
Bale (45.04056, 13.78361) 巴莱
Bakar (45.30861, 14.53028) 巴卡尔
Badljevina (45.51167, 17.19278) 巴德列维纳
Bacina (43.08111, 17.38694) 巴奇纳
Babino Polje (42.73538, 17.55068) 巴比诺波列
Babina Greda (45.11722, 18.53694) 巴比纳格雷达
Antunovac (45.49083, 18.675) 安图诺瓦茨
Antin (45.38167, 18.75111) 安廷
Andrijasevci (45.22472, 18.73806) 安德里亚舍夫齐
Andrasevec (45.9879, 15.94331) 安德拉舍韦茨
Adamovec (45.90485, 16.16376) 阿达莫韦茨
Mliniste (42.9925, 17.61583) 姆利尼什特
Zvekovica (42.57667, 18.23917) 兹韦科维察
Mala Gorica (45.76488, 15.78168) 马拉戈里察
Gornji Stupnik (45.75261, 15.84314) 戈尔尼斯图普尼克
Kladje (45.77941, 15.7323) 克拉杰
Novaki (45.7959, 15.80126) 诺瓦基
Jankomir (45.79167, 15.9) 扬科米尔
Bestovje (45.80833, 15.81667) 贝斯托夫耶
Novi Zagreb (45.78333, 15.98333) 新萨格勒布
Plano (33.01984, -96.69889) 普莱诺
Brodarica (43.68, 15.91972) 布罗达里察
PavlovecZabocki (46.01972, 15.88167) 帕夫洛韦茨扎博茨基
Zagorska Sela (46.09694, 15.635) 扎戈尔斯卡塞拉
Buzdohanj (45.34528, 14.48833) 布兹多汉
OtricSeoci (43.15861, 17.45083) 奥特里克塞奥齐
Stasevica (43.13889, 17.42556) 斯塔舍维察
Donji Vinjani (43.44613, 17.24064) 多尼维尼亚尼
Vukojevci (45.47833, 18.15556) 武科耶夫齐
Vedrine (43.62278, 16.74417) 韦德里内
Godinjak (45.23694, 17.49583) 戈迪尼亚克
Netretic (45.50889, 15.41333) 内特雷蒂奇
Donje Mrzlo Polje (45.45979, 15.50112) 多涅姆尔兹洛波列
Donji Kukuruzari (45.26639, 16.48333) 多涅库库鲁扎里
Mastrinka (43.5125, 16.27722) 马斯特林卡
Lipovljani (45.39667, 16.88972) 利波夫利亚尼
Draskovec (46.34698, 16.67738) 德拉什科韦茨
Lobor (46.15085, 16.06525) 洛博尔
Kukljica (44.03472, 15.24556) 库克利察
Preko (44.08111, 15.1875) 普雷科
Zlatar bistrica (46.04972, 16.08611) 兹拉塔尔比斯特里察
Madzarevo (46.16778, 16.30583) 马扎雷沃
Koprivnicki Ivanec (46.20278, 16.81667) 科普里夫尼茨基伊瓦内茨
Cista Mlaka (45.77001, 16.17814) 奇斯塔姆拉卡
Blagusa (45.92668, 16.13119) 布拉古萨
Podgradina (44.18389, 15.48778) 波德格拉迪纳
Celine (43.64306, 16.57028) 采利内
Farkasevac (45.87944, 16.64083) 法尔卡舍瓦茨
Nin (44.24139, 15.17833) 宁
Stubicka Slatina (45.97639, 15.87306) 斯图比茨卡斯拉蒂纳
Kampor (44.775, 14.71861) 坎波尔
Vranovci (45.18417, 18.09056) 弗拉诺夫齐
Vidovci (45.3325, 17.71472) 维多夫齐
Dervisaga (45.33, 17.72806) 德尔维萨加
