Ciglenica Zagorska (46.07632, 15.92109) 齐格莱尼察扎戈尔斯卡
Podgora Krapinska (46.18052, 15.86281) 波德戈拉克拉平斯卡
Gradna (45.82287, 15.73254) 格拉德纳
Podvrh (45.83429, 15.68632) 波德弗尔赫
Donji Macelj (46.22634, 15.84091) 多尼马切尔
Calinec (46.29056, 16.18074) 卡利内茨
Caginec (45.71307, 16.44782) 卡吉内茨
Nova Mokosica (42.67436, 18.116) 新莫科西察
Gornje Mrzlo Polje (45.46713, 15.50274) 戈尔涅姆尔兹洛波列
Vugrovec (45.88393, 16.1046) 武格罗韦茨
Prekvrsje (45.89627, 16.11002) 普雷克弗尔谢
Paruzevina (45.88786, 16.12654) 帕鲁泽维纳
Lugarski Breg (45.96137, 15.73631) 卢加尔斯基布雷格
Vucilcevo (45.9574, 15.71966) 武奇尔采沃
Prosinec (45.96854, 15.7161) 普罗西内茨
Klepece Selo (45.49425, 14.95017) 克莱佩切塞洛
Naglici (45.51156, 14.92308) 纳格利奇
Dolus (45.50055, 14.91448) 多卢斯
Mreznicke Poljice (45.42756, 15.48858) 梅雷兹尼茨克波利采
Sela Zakanjska (45.60635, 15.34328) 塞拉扎坎斯卡
Gornjaki (46.11222, 16.24144) 戈尔尼亚基
Veliko Selce (45.4295, 14.91373) 维利科塞尔采
Pucak (45.44661, 14.8917) 普察克
Brodic (46.02145, 17.25121) 布罗迪奇
Orisje (45.40485, 15.29114) 奥里谢
Podrebar (45.39803, 15.28796) 波德雷巴尔
Liposcaki (45.40018, 15.27985) 利波沙基
Krc Bosiljevski (45.40583, 15.2756) 克尔茨博西列夫斯基
Veliki Prokop (45.63458, 16.84115) 维利基普罗科普
Rajic (45.30379, 17.10985) 拉伊奇
DubacVarsan (44.61541, 14.81603) 杜巴茨瓦尔桑
Podstrana Sita (43.50365, 16.53729) 波德斯特拉纳西塔
Verrettes (19.0505, -72.46585) 韦雷特
Trou du Nord (19.61668, -72.02442) 特鲁杜诺尔
Torbeck (18.16338, -73.80949) 托贝克
Tiburon (37.87354, -122.45664) 蒂布龙
Thomonde (19.0173, -71.96235) 托蒙德
Thomazeau (18.65297, -72.09391) 托马佐
Thomassique (19.08209, -71.83855) 托马西克
Thiotte (18.24384, -71.84157) 蒂奥特
Terre Neuve (19.59946, -72.78088) 特雷讷夫
SaintLouis du Sud (18.26241, -73.54603) 圣路易杜苏德
SaintLouis du Nord (19.93397, -72.72138) 圣路易杜诺尔
SaintJean du Sud (18.07611, -73.81254) 圣让杜苏德
Rochea-Bateau (18.18182, -74.00345) 罗谢巴托
Ranquitte (19.41327, -72.08077) 兰基特
Quartier Morin (19.69696, -72.15712) 卡尔捷莫林
PortMargot (19.7518, -72.43006) 波尔特马戈
Portde-Paix (19.93984, -72.83037) 波尔德佩
Portau-Prince (18.54349, -72.33881) 太子港
Porta-Piment (18.24963, -74.0971) 波尔塔皮芒
Plaine du Nord (19.67707, -72.26969) 普莱讷杜诺尔
Pilate (19.66745, -72.55229) 皮拉特
Pignon (19.33594, -72.11662) 皮尼翁
Phaeton (19.67525, -71.89691) 法埃通
Petit Trou de Nippes (18.52535, -73.50815) 小特鲁德尼普
Tigwav (18.43117, -72.86521) 蒂格瓦夫
Petite Anse (19.63011, -73.15499) 小安斯
Petionville (18.5125, -72.28528) 佩蒂翁维尔
Perches (19.52201, -71.92323) 佩尔什
Ouanaminthe (19.54934, -71.72475) 瓦纳明特
Montorganize (19.40815, -71.78132) 蒙特奥尔加尼泽
Mole SaintNicolas (19.80794, -73.37786) 圣尼古拉斯角
Mirebalais (18.83455, -72.1048) 米雷巴莱
Miragoane (18.44599, -73.08957) 米拉瓜纳
Marmelade (19.51736, -72.36133) 马尔梅拉德
Mayisad (19.17607, -72.13958) 马伊萨德
Limonade (19.67014, -72.1243) 利蒙纳德
Lenbe (19.70603, -72.40336) 伦贝
Les Irois (18.4049, -74.4528) 莱伊鲁瓦
Les Anglais (18.3054, -74.21968) 莱昂格莱
Leogane (18.5111, -72.63343) 莱奥甘
Borgne (19.84507, -72.52349) 博尔涅
L'Asile (18.38398, -73.41435) 拉西勒
Lascahobas (18.83047, -71.93563) 拉斯卡霍巴斯
Kenscoff (18.44773, -72.28398) 肯斯科夫
Jeremie (18.65, -74.11667) 热雷米
JeanRabel (19.85379, -73.19131) 让拉贝尔
Jacmel (18.23427, -72.53539) 雅克梅勒
Hinche (19.15, -72.01667) 恩什
Gros Morne (19.6708, -72.67808) 格罗莫尔讷
Gressier (18.54091, -72.52679) 格雷西耶
Grangwav (18.4259, -72.76995) 格朗瓜夫
Grande Saline (19.26513, -72.76897) 大萨林
Gonaives (19.44755, -72.68928) 戈纳伊夫
Fort Liberte (19.66273, -71.83798) 自由堡
Fonds Verrettes (18.39566, -71.85634) 丰德韦雷特
Fond Parisien (18.50547, -71.98122) 丰德巴黎西安
Fond des Blancs (18.27782, -73.12733) 丰德布朗
Fond Bassin Bleu (19.79445, -72.79949) 丰德巴桑布勒
Ferrier (19.61549, -71.77792) 费里耶
Dondon (19.52734, -72.24337) 东东
Dessalines (19.26177, -72.51611) 德萨林
Desarmes (18.99345, -72.39058) 德萨尔梅
Derac (19.65476, -71.81451) 德拉克
Delmas (18.54478, -72.30036) 德尔马斯
DameMarie (18.56107, -74.42167) 达姆玛丽
Croixdes-Bouquets (18.57677, -72.22625) 克鲁瓦德布凯
Kotdefe (18.18872, -73.00287) 科特德费
Koto (18.20601, -74.04013) 科托
