Dombrad (48.23333, 21.93333) - 东布拉德
Dombegyhaz (46.33333, 21.13333) - 东贝吉哈兹
Domaszek (46.24917, 20.01111) - 多马塞克
Doge (48.26246, 22.06339) - 多格
Doboz (46.73333, 21.25) - 多博兹
Devavanya (47.03333, 20.96667) - 德瓦瓦尼亚
Deszk (46.21802, 20.24322) - 德斯克
Derecske (47.35, 21.56667) - 德雷奇克
Demecser (48.11648, 21.92624) - 德梅切尔
Debrecen (47.53167, 21.62444) - 德布勒森
Csorvas (46.63333, 20.83333) - 乔尔瓦什
Csongrad (46.71332, 20.14241) - 琼格拉德
Csokmo (47.03333, 21.3) - 乔克莫
Csincse (47.887, 20.76811) - 琼切
Cserkeszolo (46.8632, 20.18701) - 切尔凯索洛
Csenger (47.83582, 22.68096) - 琼格尔
Csanytelek (46.59501, 20.12342) - 乔尼泰莱克
Csanadpalota (46.25, 20.73333) - 乔纳德帕洛塔
Csanadapaca (46.55, 20.88333) - 乔纳达帕卡
Cigand (48.25561, 21.89195) - 齐甘德
Cibakhaza (46.95976, 20.19753) - 齐巴哈扎
Buj (48.1, 21.65) - 布伊
Bucsa (47.2, 21) - 布恰
Borsodnadasd (48.11667, 20.25) - 博尔绍德纳达什德
Boldva (48.21667, 20.8) - 博尔德瓦
Bokony (47.73333, 21.75) - 博科尼
Bogacs (47.9, 20.53333) - 博加奇
Bocs (48.05, 20.96667) - 博奇
Biharnagybajom (47.21667, 21.23333) - 比哈尔纳吉巴约姆
Biharkeresztes (47.13333, 21.71667) - 比哈尔克雷斯特什
Besenyszog (47.3, 20.26667) - 贝谢尼索格
Besenyotelek (47.7, 20.43333) - 贝谢尼泰莱克
Berettyoujfalu (47.22362, 21.53656) - 贝雷蒂乌伊法卢
Belapatfalva (48.05, 20.36667) - 贝拉帕特法尔瓦
Bekesszentandras (46.86667, 20.48333) - 贝凯什圣安德拉什
Bekessamson (46.41667, 20.63333) - 贝凯什山姆松
Bekescsaba (46.68333, 21.1) - 贝凯什乔包
Bekes (46.76667, 21.13333) - 贝凯什
Bekecs (48.15, 21.18333) - 贝凯奇
Battonya (46.28333, 21.01667) - 巴托尼亚
Barand (47.3, 21.23333) - 巴兰德
Balmazujvaros (47.61667, 21.35) - 巴尔马祖伊瓦罗斯
Balkany (47.77066, 21.86314) - 巴尔卡尼
Balastya (46.42277, 20.00816) - 巴拉什蒂亚
Baktaloranthaza (48, 22.08333) - 巴克塔洛兰塔哈扎
Baks (46.54297, 20.10213) - 巴克什
Bagamer (47.44882, 21.989) - 巴加梅尔
Aszalo (48.21667, 20.96667) - 阿萨洛
Arnot (48.13058, 20.85832) - 阿尔诺特
Arlo (48.18333, 20.26667) - 阿尔洛
Aranyosapati (48.20595, 22.25916) - 阿拉尼奥沙帕蒂
Batorliget (47.76218, 22.27255) - 巴托尔利盖特
Apatfalva (46.16667, 20.58333) - 阿帕特法尔瓦
Apagy (47.96431, 21.93539) - 阿帕吉
Andornaktalya (47.85, 20.41667) - 安多尔纳克塔利亚
Anarcs (48.17642, 22.11167) - 阿纳尔奇
Ambrozfalva (46.35, 20.73333) - 安布罗兹法尔瓦
Alsozsolca (48.06982, 20.88046) - 奥尔索佐尔察
Alattyan (47.42705, 20.04219) - 阿拉蒂安
Ajak (48.17664, 22.06273) - 阿亚克
Abony (47.1899, 20.00476) - 阿博尼
Abaujszanto (48.28333, 21.2) - 阿包伊桑托
Abasar (47.79705, 20.00324) - 阿巴沙尔
Abadszalok (47.46667, 20.6) - 阿巴德萨洛克
Zuglo (47.51758, 19.10549) - 祖格洛
Zsombo (46.32566, 19.97464) - 佐姆博
Zsambok (47.54381, 19.61048) - 赞博克
Zsambek (47.54814, 18.72011) - 赞贝克
Zomba (-15.38596, 35.3188) - 宗巴
Zirc (47.26362, 17.87373) - 齐尔茨
Zanka (46.87146, 17.68473) - 桑卡
Zamoly (47.31667, 18.4081) - 扎莫伊
Zamardi (46.88488, 17.95366) - 扎马尔迪
Zalaszentgrot (46.94474, 17.07925) - 扎拉圣格罗特
Zalalovo (46.84802, 16.5875) - 扎拉洛沃
Zalakomar (46.53795, 17.18094) - 扎拉科马尔
Zalaegerszeg (46.84, 16.84389) - 扎拉埃格尔塞格
Zakanyszek (46.27453, 19.88975) - 扎卡尼塞克
Zagyvaszanto (47.77703, 19.67092) - 扎吉瓦桑托
Vonyarcvashegy (46.75742, 17.31172) - 沃尼亚尔茨瓦什赫吉
Villany (45.86889, 18.45389) - 维拉尼
Veszprem (47.09327, 17.91149) - 维斯普雷姆
Vertesszolos (47.62106, 18.3813) - 维尔泰斯索洛什
Veroce (47.82468, 19.03484) - 维罗采
Veresegyhaz (47.6459, 19.29536) - 维雷谢吉哈兹
Vep (47.23041, 16.72248) - 维普
Velence (47.23855, 18.65484) - 维伦采
Vecses (47.40705, 19.28648) - 维切什
Vasvar (47.04928, 16.79954) - 瓦什瓦尔
Vaskut (46.10782, 18.98514) - 瓦什库特
Varpalota (47.19936, 18.13954) - 瓦尔帕洛塔
Varosfoeld (46.81674, 19.75668) - 瓦罗什菲尔德
Vamosgyork (47.68429, 19.92924) - 瓦莫什焦尔克
Valko (47.56391, 19.51267) - 瓦尔科
Val (47.36264, 18.67931) - 瓦尔
Vajszlo (45.85957, 17.98406) - 瓦伊斯洛
Vacszentlaszlo (47.574, 19.53771) - 瓦茨圣拉斯洛
Vac (47.77591, 19.13612) - 瓦茨
Urom (47.59674, 19.01583) - 乌罗姆
Urkut (47.08505, 17.64393) - 乌尔库特
