Caruban (-7.5447, 111.6566) 卡鲁班
Carita (-6.3178, 105.8382) 卡里塔
Caringin (-6.70611, 106.82139) 卡林金
Caringin Lor (-6.3503, 105.8272) 卡林金洛尔
Capar (-7.1192, 108.7338) 卡帕尔
Cantilan (9.33361, 125.9775) 坎蒂兰
Cangkuang (-7.1031, 107.912) 苍广
Candipuro (-8.1884, 113.0763) 灿迪普罗
Campurdarat (-8.1652, 111.8535) 坎普尔达拉特
Campor (-6.9729, 112.8851) 坎波尔
Ciampea (-6.55472, 106.70083) 贾姆佩亚
Campaka (-7.0336, 107.1323) 坎帕卡
Camming (-4.8118, 120.0771) 卡明
Calingcing Satu (-7.2136, 108.1552) 卡林青萨图
Cakke (-3.4101, 119.7985) 卡克
Buriwutung (-8.1832, 123.8088) 布里武通
Buraga (-8.4205, 124.4871) 布拉加
Buol (1.15631, 121.43805) 布奥尔
Buntok (-1.72139, 114.8397) 本托克
Buniseuri (-7.2425, 108.3778) 布尼瑟里
Bunigeulis (-7.0594, 108.4337) 布尼格里斯
Bungku (-2.5471, 121.972) 邦库
Bungkal (-8.0079, 111.4541) 邦卡尔
Bungbulang (-7.4568, 107.5991) 邦布朗
Bunga Mas (-3.7011, 103.3686) 邦加马斯
Bunder (-7.1867, 113.52967) 邦德尔
Bulumanis Kidul (-6.6128, 111.0689) 布鲁马尼斯基杜尔
Bulukumba (-5.55, 120.18333) 布鲁昆巴
Bulakan (-6.6454, 106.0329) 布拉坎
Bulakamba (-6.8748, 108.9559) 布拉坎巴
Bukittinggi (-0.30907, 100.37055) 武吉丁宜
Bukitkemuning (-4.85962, 104.57373) 武吉克穆宁
Karangbugis (-8.4966, 117.4219) 卡朗布吉斯
Banjar Bugbug (-8.4889, 115.5935) 班贾尔布格布格
Buduran (-7.4281, 112.7234) 布杜兰
Buaran (-7.05, 109.55) 布阿兰
Bualu (-8.796, 115.2172) 布阿鲁
Brondong (-6.877, 112.2915) 布隆东
Brebes (-6.8691, 109.0378) 布勒贝斯
Berbek (-7.34639, 112.76361) 贝尔贝克
Brakas (-7.1521, 114.6143) 布拉卡斯
Boyolangu (-8.1181, 111.8935) 博约朗古
Boyolali (-7.53306, 110.59583) 博约拉利
Bosnik (-1.1572, 136.2283) 博斯尼克
Boroko (0.9083, 123.2679) 博罗科
Bontang (0.1324, 117.4854) 邦唐
Bunobogu (1.0407, 121.6126) 布诺博古
Bonjol (-0.01785, 100.22748) 邦佐尔
Bonebone (-2.6005, 120.5195) 博内博内
Bondowoso (-7.91346, 113.82145) 邦多沃索
Bondokodi (-9.5943, 118.9934) 邦多科迪
Bonang (-6.6619, 111.4666) 博南
Boleng (28.33412, 94.96232) 博冷
Bolang (-6.7658, 105.9928) 博朗
Bolaang (0.9411, 124.1556) 博朗
Bolangitang (0.9068, 123.3067) 博朗伊唐
Bokong Timur (-9.9727, 124.0611) 博孔蒂穆尔
Bikondini (-3.65836, 138.57468) 比孔迪尼
Bokat (1.08848, 121.50238) 博卡特
Bojongmanik Girang (-6.5843, 106.1662) 博仲马尼克吉朗
Bojongjengkol (-7.0929, 106.7655) 博仲真科尔
Bojonghaur (-7.1274, 106.7421) 博仲豪尔
Bojonggenteng (-7.2883, 106.6218) 博仲根登
Ciawi (-7.5117, 107.9767) 贾维
Bojong (-7.59638, 107.73545) 博仲
Bojonegoro (-7.1502, 111.8817) 博约内戈罗
Bojonegara (-5.97, 106.0955) 博约内加拉
Bogorejo (-6.9404, 111.5186) 博戈雷乔
Bogor (-6.59444, 106.78917) 茂物
Bobong (-1.94625, 124.38394) 博邦
Boawae (-8.7639, 121.1694) 博阿韦
Boafeo (-8.6903, 121.626) 博阿费奥
Bluto (-7.10334, 113.80964) 布鲁托
Baluburlimbangan (-7.0357, 107.9829) 巴鲁布尔林邦安
Blora (-6.9698, 111.4186) 布罗拉
Blitar (-8.0983, 112.1681) 布里塔尔
Belimbingdesa (-8.407, 115.0366) 贝林宾德萨
Baranusa (-8.3622, 124.0888) 巴拉努萨
Bitung (1.44059, 125.12824) 比通
Birayang (-2.5328, 115.4549) 比拉扬
Binuang (5.95694, 121.06) 比努昂
Bintuni (-2.10967, 133.52461) 宾图尼
Bintuhan (-4.79371, 103.34836) 宾图汉
Bingintelok (-2.6232, 103.1173) 宾金特洛克
Binangun (-8.2343, 112.336) 比南贡
Bima (-8.46006, 118.72667) 比马
Bilungala (0.3815, 123.2135) 比隆加拉
Biha (-5.3296, 104.0295) 比哈
Biak (-1.1767, 136.082) 比亚克
Betaf (-2.11422, 139.25282) 贝塔夫
Besuki Satu (-8.2088, 111.7755) 贝苏基萨图
Besuki (-7.73379, 113.69785) 贝苏基
Beo (4.22665, 126.79194) 贝奥
Benteng (-6.1184, 120.4605) 本滕
Bengkulu (-3.80044, 102.26554) 明古鲁
Bengkayang (0.83194, 109.43589) 明加央
Bengkalis (1.46667, 102.13333) 明加利斯
Belopa (-3.3849, 120.3676) 贝洛帕
Belimbing (-2.9823, 115.3502) 贝林宾
Blambangan Umpu (-4.50263, 104.51926) 布兰邦安乌姆普
