Prioso Barat (-7.0494, 112.4885) 普里奥索巴拉特
Kebon (-7.04, 112.4717) 克邦
Baturono (-7.0464, 112.4762) 巴图罗诺
Pompongan (-7.0622, 112.4708) 庞蓬甘
Duni (-7.0701, 112.4678) 杜尼
Turi (40.91657, 17.02038) 图里
Getung (-7.0784, 112.3904) 格通
Pagerwojo (-7.1196, 112.4021) 帕格尔沃乔
Made (51.67667, 4.79306) 马德
Bilo (-7.1114, 112.3782) 比洛
Ngaglik Timur (-7.1183, 112.4126) 伍格利克蒂穆尔
Tumenggungan (-7.1147, 112.4145) 图蒙贡安
Kendaruan (-7.1185, 112.422) 肯达鲁安
Deket Kulon (-7.1184, 112.4395) 德克库隆
Keset (-7.1061, 112.4276) 克塞特
Glugu (-7.0883, 112.4259) 格鲁古
Balun (-7.0877, 112.4073) 巴伦
Mlanggeng (-7.0748, 112.4303) 姆朗根
Rawaglagah (-7.0775, 112.4453) 拉瓦格拉加
Keputran (-7.0912, 112.447) 克普特兰
Gajah (-7.1125, 112.4534) 加贾
Bendungan (-7.1177, 112.4981) 本杜甘
Nginjen (-7.1187, 112.4742) 恩金真
Semambung (-7.0972, 112.459) 塞曼邦
Kebon Tengah (-7.0937, 112.4667) 克邦登加
Dagangan (-7.0913, 112.4604) 达加南
Sampangan (-7.072, 112.4587) 桑邦安
Bucu Lor (-7.0728, 112.4799) 布楚洛尔
Bucu Kidul (-7.0764, 112.4789) 布楚基杜尔
Sudangan (-7.0832, 112.4955) 苏丹安
Mendogo Lor (-7.0879, 112.4924) 门多戈洛尔
Plosobuden (-7.099, 112.4956) 普洛索布登
Began (-7.0963, 112.4813) 贝甘
Mungli (-7.013, 112.3859) 蒙利
Lukrejo (-7.0194, 112.3939) 卢克雷乔
Deket Wetan (-7.1184, 112.4439) 德克韦坦
Niwen (-8.0003, 112.5955) 尼文
Kenongo (-8.0089, 112.5393) 克农戈
Ardirejo (-8.1245, 112.5734) 阿尔迪雷乔
Bendo (-8.0723, 112.5926) 本多
Sukonolo Krajan (-8.1031, 112.6167) 苏科诺洛克拉简
Wagir (-8.0132, 112.5942) 瓦吉尔
Kepuh (-8.006, 112.6188) 克普
Bumiayu (-8.0151, 112.6347) 布米阿尤
Sekarsari (-8.0366, 112.6542) 塞卡尔萨里
Watudakon (-8.0453, 112.6276) 瓦图达孔
Sidoaji (-8.0874, 112.6326) 西多阿吉
Krapyak Kidul (-8.094, 112.6468) 克拉皮亚克基杜尔
Napel (-8.1088, 112.71) 纳佩尔
Jambekumbu (-8.1006, 113.0674) 贾姆贝库姆布
Pasrukrajan Satu (-8.1192, 113.0582) 帕斯鲁克拉简萨图
Burno (-8.0853, 113.0723) 布尔诺
Krajanjambearum (-8.117, 113.0794) 克拉简贾姆贝阿鲁姆
Bedayutalang (-8.0698, 113.1151) 贝达尤塔朗
Bedayu (-8.071, 113.1016) 贝达尤
Gasri (-8.1164, 113.1123) 加斯里
Wringinsari (-8.1247, 113.2019) 伍林金萨里
Wonoayu (-8.0766, 113.134) 沃诺阿尤
Sidomakmur (-8.056, 113.1448) 西多马克穆尔
Sekartanjung (-8.0298, 113.1777) 塞卡尔坦琼
Antrukan (-8.008, 113.1976) 安特鲁坎
Makam (-8.0033, 113.2154) 马卡姆
Umpak (-8.0776, 113.2104) 乌姆帕克
Sidodadi (-8.1063, 113.2194) 西多达迪
Darungan Lor (-8.0438, 113.2345) 达鲁甘洛尔
Srunikrajan (-8.003, 113.2353) 斯鲁尼克拉简
Krajan Wetan (-8.0885, 113.2423) 克拉简韦坦
Sekarputih (-8.1205, 113.2408) 塞卡尔普提
Krajan Baru (-8.0879, 113.2481) 克拉简巴鲁
Sukodono (-8.1046, 113.2322) 苏科多诺
Rogotrunan (-8.1191, 113.2283) 罗戈特鲁南
Jalinan (-8.2542, 113.8191) 贾利南
Karangharjo (-8.2536, 113.8363) 卡朗哈乔
Sukmoilang (-8.2631, 113.8575) 苏克莫伊朗
Baban Tengah (-8.3357, 113.851) 巴班登加
Sedati (-7.3952, 112.7675) 塞达蒂
Pasembon (-8.5081, 114.1571) 帕森邦
Kedungrejo (-8.5141, 114.1726) 克东雷乔
Sineporejo Krajan (-8.5333, 114.1558) 西内波雷乔克拉简
Curahjati (-8.546, 114.2419) 丘拉哈蒂
Sumberkepoh (-8.5191, 114.3192) 森伯克波
Sumberluhur (-8.5131, 114.2822) 森伯鲁胡尔
Jatimulyo (-8.5136, 114.2571) 贾蒂穆略
Persen (-8.5311, 114.3245) 佩尔森
Kendalrejo (-8.5507, 114.3199) 肯达尔雷乔
Sumberasri (-8.5455, 114.2668) 森伯阿斯里
Purwojoyo (-8.332, 114.0979) 普尔沃乔约
Parangharjo Krajan (-8.2529, 114.2063) 帕朗哈乔克拉简
Tambakbayan (-8.2656, 114.2356) 坦巴克巴扬
Wiyayu Barat (-8.2889, 114.2229) 维亚尤巴拉特
Padang Krajan (-8.2916, 114.2416) 帕当克拉简
Cantuk Kidul (-8.2983, 114.2275) 参图克基杜尔
Rukem (-8.2959, 114.211) 鲁克姆
Kopen (-8.3085, 114.1738) 科彭
Gendoh Krajan (-8.3044, 114.2099) 根多克拉简
Pasinan Barat (-8.3147, 114.2374) 帕西南巴拉特
Gumirih Krajan (-8.3149, 114.2301) 古米里克拉简
Gambor Krajan (-8.3379, 114.2442) 甘博尔克拉简
Melikkrajan (-8.3482, 114.2281) 梅利克拉简
Payaman (-8.3561, 114.2497) 帕亚曼
