Kadulari (-6.5445, 106.1612) 卡杜拉里
Kemancing (-6.5557, 106.2257) 克曼青
Bantarnaga Tonggoh (-6.5609, 106.2443) 班塔尔纳加通戈
Kadurahayu (-6.569, 106.1287) 卡杜拉哈尤
Babakansukamulya (-6.5827, 106.1676) 巴巴坎苏卡穆利亚
Kaduketug (-6.598, 106.2248) 卡杜克图
Ciboleger (-6.5944, 106.2255) 奇博勒格
Sumberwaras (-6.5954, 106.153) 森伯瓦拉斯
Pajagan (-6.6065, 106.1667) 帕贾甘
Gunungjulang (-6.6317, 106.4161) 古农朱朗
Nagreg (-6.2556, 106.0056) 纳格雷格
Peuteuy (-6.2607, 106.0028) 佩乌特伊
Citajur (-6.2845, 105.8273) 奇塔朱尔
Kasepen (-6.3124, 105.8426) 卡塞彭
Tembol (-6.3221, 105.8427) 坦博尔
Cibango (-6.3441, 105.8339) 奇邦戈
Tangkil (-6.3153, 105.8503) 唐基尔
Kaducondong (-6.3472, 105.855) 卡杜孔东
Picungbera (-6.35357, 105.84432) 皮聪贝拉
Sepenmasjid (-6.36796, 105.84753) 塞彭马斯吉德
Sukacai (-6.3487, 105.8667) 苏卡采
Sukacai Tengah (-6.3517, 105.8652) 苏卡采登加
Sarampu (-6.3643, 105.8694) 萨兰普
Padahayu (-6.3722, 105.8609) 帕达哈尤
Teluk (-6.3722, 105.8252) 特鲁克
Makui (-6.3731, 105.8312) 马奎
Kalepasan (-6.26, 106.0799) 卡勒帕桑
Tanagara (-6.2654, 106.0953) 塔纳加拉
Jalanbaru (-6.2612, 106.1203) 贾兰巴鲁
Juhut (-6.2955, 106.1064) 朱胡特
Campraksanta (-6.3019, 106.0776) 坎普拉克桑塔
Gobang (-6.3716, 106.0072) 戈邦
Kadulomber (-6.37, 106.0414) 卡杜隆伯
Rancapiit (-6.3677, 106.0908) 兰卡皮特
Garawati (-6.3636, 106.1193) 加拉瓦蒂
Gunungputri (-6.3606, 106.0937) 古农普特里
Salinggara (-6.3638, 106.0792) 萨林加拉
Kalahang (-6.3606, 106.0531) 卡拉杭
Cimongkor (-6.3639, 106.0248) 奇蒙科尔
Rocek (-6.3571, 106.0476) 罗切克
Kadubincarung (-6.3523, 106.1086) 卡杜宾卡龙
Curuggaru (-6.3441, 106.0666) 丘鲁格加鲁
Panday (-6.3498, 106.0457) 潘代
Rancanyenang (-6.3376, 106.0164) 兰卡耶南
Cibebek (-6.34156, 106.07674) 奇贝贝克
Kadomas (-6.3293, 106.1101) 卡杜马斯
Majamasjid (-6.3288, 106.0931) 马贾马斯吉德
Cipacung Landeuh (-6.329, 106.0825) 奇帕聪兰德
Girihieum (-6.3319, 106.069) 吉里希乌姆
Rokoy (-6.3328, 106.0606) 罗科伊
Kukulu (-6.3321, 106.0476) 库库鲁
Cilanggar (-6.3319, 106.0414) 奇朗加尔
Bengkung (-6.3306, 106.0372) 本孔
Pasarnangka (-6.3302, 106.0343) 帕萨南卡
Cibulakan (-6.3271, 106.0213) 奇布拉坎
Calincing (-6.3261, 106.0051) 卡林青
Kurungkambing (-6.3102, 106.0096) 库龙康宾
Garokgek (-6.3112, 106.0322) 加罗克格克
Nagrog (-6.3182, 106.0342) 纳格罗格
Cidahu (-6.3113, 106.0568) 奇达胡
Cilaja (-6.3128, 106.091) 奇拉贾
Ciekek (-6.3204, 106.0996) 奇埃克
Kabayancitiis (-6.3117, 106.1097) 卡巴扬奇蒂斯
Gardutanjak (-6.3133, 106.1013) 加尔杜坦贾克
Penikebon (-6.342, 106.0875) 佩尼克邦
Kadumantung (-6.28991, 106.11835) 卡杜曼通
Karangcombong (-6.6302, 106.2666) 卡朗康邦
Hariang (-6.6301, 106.2928) 哈里昂
Pasireurih (-6.6564, 106.3084) 帕西尔乌里
Babakannagamukti (-6.69865, 106.33434) 巴巴坎纳加穆克蒂
Cikuning (-6.6627, 106.3391) 奇库宁
Ciparasi (-6.6606, 106.3441) 奇帕拉西
Guradog (-6.6958, 106.3381) 古拉多格
Kopibera (-6.1548, 105.8734) 科皮贝拉
Kopibaru (-6.162, 105.8729) 科皮巴鲁
Bantarwaru (-6.2026, 105.8642) 班塔尔瓦鲁
Kawoyang (-6.2428, 105.8627) 卡沃扬
Bengras (-6.2481, 105.8324) 本格拉斯
Umbultanjung (-6.2337, 105.8316) 翁布尔坦中
Tawingmuara (-6.1637, 105.8548) 塔温穆阿拉
Pondokwaru (-6.1972, 105.8394) 庞多克瓦鲁
Talaga (15.38403, 120.58933) 塔拉加
Kadukotok (-6.3571, 105.8907) 卡杜科托克
Jami (-6.3681, 105.8826) 贾米
Panghadangan (-6.3052, 105.8971) 庞哈当安
Kadubamban (-6.3192, 105.8994) 卡杜班班
Kaduheuleut (-6.3361, 105.8981) 卡杜赫勒特
Pamarayan (-6.3554, 105.8989) 帕马拉扬
Cukangpanjang (-6.334, 105.9098) 朱康潘贾
Cigadung (-6.3336, 105.9227) 奇加东
Sampangbitung (-6.3502, 105.9175) 桑邦比通
Sorodot (-6.3623, 105.9128) 索罗多特
Kadupager (-6.3487, 105.9354) 卡杜帕格尔
Cigandeng (-6.3692, 105.93) 奇甘登
Kupahandap (-6.3745, 105.9314) 库帕汉达普
Kadujangkung (-6.2602, 105.9467) 卡杜江孔
Kadutalahab (-6.3475, 105.9482) 卡杜塔拉哈布
Bojongpinang (-6.3612, 105.9456) 博仲皮南
Pasargunung (-6.3639, 105.9523) 帕萨尔古农
Kadukoneng (-6.265, 105.9681) 卡杜科宁
