Torserajah (-6.9797, 112.8991) 托瑟拉贾
Kenamoen (-10.5411, 123.2875) 克纳莫恩
Hailean (-10.6214, 123.3615) 海莱安
Karafao (-10.5817, 123.259) 卡拉法奥
Oesuti Dua (-10.616, 123.3092) 奥苏提杜阿
Sowau (-10.5694, 123.3753) 索瓦乌
Tuanai (-10.6146, 123.3875) 图阿奈
Baeoen (-10.62664, 123.39636) 巴埃恩
Talon (11.56, 122.68111) 塔隆
Rukgaruk (-6.9544, 113.0022) 鲁克加鲁克
Mandepa Barat (-6.9888, 113.0036) 曼德帕巴拉特
Timur (-6.8856, 113.0286) 提穆尔
Temana (-6.8894, 113.045) 特马纳
Pangalangan (-6.8913, 113.0621) 潘加朗安
Dangkah (-6.9078, 113.0641) 当卡
Pedaringan (-6.9021, 113.0268) 佩达林根
Pakpak (-6.9125, 113.024) 帕克帕克
Korogan Timur (-6.9322, 113.0284) 科罗甘提穆尔
Kerbuyan (-6.9663, 113.0286) 克尔布扬
Sreseh (-6.9514, 113.0643) 斯雷塞
Dangbigih (-6.97, 113.0758) 当比吉
Sokadan (-6.9174, 113.0914) 索卡丹
Rangmanten (-6.8903, 113.0852) 朗曼滕
Tebanah (-6.9096, 113.0781) 特巴纳
Karang Tengah (-6.8883, 113.0805) 卡朗登加
Kaisalun (-10.3016, 123.3573) 凯萨伦
Batakte (-10.2559, 123.5566) 巴塔克特
Oenesu (-10.2624, 123.5682) 奥内苏
Luti (-10.2545, 123.604) 卢蒂
Klamik (-10.3201, 123.4942) 克拉米克
Uiasa (-10.1542, 123.4625) 乌亚萨
Otan (-10.1732, 123.3891) 奥坦
Koblain (-10.168, 123.4767) 科布莱恩
Uitao (-10.1907, 123.4073) 乌伊陶
Huilelot (-10.1897, 123.4417) 惠勒洛特
Piaklain (-10.2117, 123.3839) 皮亚克莱恩
Todekisar (-10.1577, 123.5842) 托德基萨尔
Fatufeto (-10.1635, 123.5751) 法图费托
Mukifeto (-10.3157, 123.6204) 穆基费托
Tasikona (-10.3568, 123.6207) 塔西科纳
Tuanak (-10.3081, 123.5119) 图阿纳克
Oematnunu (-10.2931, 123.5382) 奥马特努努
Sumlili (-10.3007, 123.5473) 苏姆利利
Bonipoi (-10.16166, 123.58028) 博尼波伊
Solor (-10.1609, 123.5819) 索洛尔
Fontein (-10.1661, 123.5822) 丰泰因
Merdeka (-10.162, 123.5865) 默德卡
Oetete (-10.165, 123.5873) 奥特特
Oeba (-10.1594, 123.5918) 奥巴
Oebufu (-10.1786, 123.621) 奥布富
Oebobo (-10.1678, 123.5992) 奥博博
Kuanino (-10.1709, 123.5898) 库阿尼诺
Naikoten Dua (-10.1729, 123.598) 奈科滕杜阿
Airnona (-10.1814, 123.5847) 艾尔诺纳
Airmata (-10.1663, 123.5777) 艾尔马塔
Mantasi (-10.1733, 123.5804) 曼塔西
Manutapen (-10.1766, 123.5764) 马努塔彭
Nunhila (-10.1675, 123.5714) 努恩希拉
Nunbaundelha (-10.172, 123.5698) 努恩包恩德拉
Nunbaunsabu (-10.1724, 123.5662) 努恩包恩萨布
Alak (-10.1973, 123.5334) 阿拉克
Airsagu (-10.1999, 123.58) 艾尔萨古
Bakunase (-10.186, 123.5864) 巴库纳塞
Oepura (-10.189, 123.6076) 奥普拉
Bonik (-10.2016, 123.6056) 博尼克
Tabun (-10.2175, 123.5751) 塔本
Kuanheum (-10.2403, 123.5109) 库安赫姆
Bolok (-10.225, 123.5186) 博洛克
Kuanfeu (-10.2272, 123.5266) 库安费乌
Fatukoa (-10.2315, 123.6069) 法图科阿
Lai Lai Bisi Kopan (-10.1628, 123.5781) 莱莱比西科潘
Pajung (-6.8982, 113.2463) 帕琼
Nepa (-6.8964, 113.2136) 内帕
Ramaram (-6.8982, 113.1705) 拉马拉姆
Mandeman Daya (-6.9, 113.1565) 曼德曼达亚
Tlagah Timur (-6.9153, 113.2127) 特拉加提穆尔
Morbatoh (-6.9168, 113.166) 莫尔巴托
Pandian (-6.9163, 113.1449) 潘迪安
Minian (-6.9159, 113.1389) 米尼安
Korbukor (-6.9234, 113.1926) 科尔布科尔
Tiara (-6.9403, 113.1341) 蒂亚拉
Sebegen (-6.948, 113.1874) 塞贝根
Tapaan Timur (-6.9525, 113.164) 塔帕安提穆尔
Taposan (-6.9579, 113.1741) 塔波桑
Tenggina Daya (-6.9596, 113.1965) 腾吉纳达亚
Bateke (-6.9629, 113.1754) 巴特克
Baih (-6.9706, 113.1353) 拜赫
Kiupakas (-10.27397, 123.65833) 基乌帕卡斯
Tanenofunan (-10.27009, 123.67455) 塔内诺富南
Nonpuah (-10.25555, 123.66792) 农普阿
Bieto (-10.28917, 123.70037) 比埃托
Oeri'u (-10.31, 123.69983) 奥里乌
Sonaf (-10.3202, 123.71277) 索纳夫
Oesain (-10.35303, 123.74067) 奥赛因
Potibaun (-10.27587, 123.7394) 波提包恩
Sumberbakti (-6.896, 113.2737) 森伯巴克提
Duk Timur (-6.8926, 113.2874) 杜克提穆尔
Gilin (-6.896, 113.313) 吉林
Tetean (-6.8913, 113.351) 特特安
Kendung Timur (-6.9185, 113.3676) 肯东提穆尔
