Redcliffe (-31.93845, 115.94645) 红崖
Millstream (-17.65318, 145.41401) 磨坊溪
Kings Beach (39.23768, -120.02658) 国王海滩
Wavell Heights (-27.39385, 153.04698) 韦维尔高地
Spring Creek (40.72659, -115.5859) 春溪
Sandy Creek (43.64424, -76.08603) 沙溪
Hunchy (-26.67994, 152.9109) 汉奇
Heatley (-19.29035, 146.75355) 希特利
Goldsborough (-17.15469, 145.7372) 戈尔兹伯勒
Moresby (-28.73525, 114.67238) 莫尔斯比
Jindalee (-27.53446, 152.93843) 金达利
Shelley (53.6, -1.68333) 谢利
Waterford (42.69303, -83.41181) 沃特福德
Shadforth (-34.96382, 117.2692) 沙德福斯
Wakeley (-33.87427, 150.90976) 韦克利
Wattle Grove (-33.95443, 150.94447) 瓦特尔格罗夫
Araluen (-23.69601, 133.854) 阿拉鲁恩
Miandetta (-41.1955, 146.35322) 米安德塔
Mowbray (-41.40243, 147.15059) 莫布雷
Norwood (42.19454, -71.1995) 诺伍德
The Vines (-31.75492, 116.00238) 葡萄园
Mothar Mountain (-26.24987, 152.77374) 莫萨山
Waverley (-45.88238, 170.53913) 韦弗利
Ravenswood (38.94814, -81.76096) 雷文斯伍德
Cossack (-14.45551, 132.17482) 哥萨克
Lansdowne (-33.98735, 18.49746) 兰斯当
Bruce (-35.24405, 149.09083) 布鲁斯
Chisholm (-35.41249, 149.12825) 奇泽姆
Fisher (-35.36126, 149.05704) 菲舍尔
Flynn (-35.20593, 149.04389) 弗林
Holder (-35.33439, 149.04614) 霍尔德
Latham (42.74702, -73.75901) 莱瑟姆
Bonogin (-28.1393, 153.35297) 博诺金
Spence (-35.19873, 149.06438) 斯彭斯
Kamerunga (-16.87321, 145.7013) 卡梅伦加
Ooralea (-21.17394, 149.14797) 乌拉利亚
Palmview (26.23341, -98.37085) 棕榈景
Glenvale (-27.56818, 151.8934) 格伦维尔
St Johns Park (-33.88295, 150.90182) 圣约翰公园
Rangewood (-19.31138, 146.63877) 兰吉伍德
St Clair (-33.79728, 150.7847) 圣克莱尔
Mawson Lakes (-34.81589, 138.60809) 莫森湖
Sumner (47.20316, -122.2404) 萨姆纳
Scullin (-35.23462, 149.039) 斯卡林
The Ponds (-33.70228, 150.91086) 池塘
Tolland (41.87149, -72.36869) 托兰德
Amaroo (-35.16959, 149.12802) 阿马鲁
Holden Hill (-34.85161, 138.67232) 霍尔登山
Aranda (10.2365, 122.9467) 阿兰达
Auldana (-34.91801, 138.68689) 奥尔达纳
Vincent (34.50055, -118.11646) 文森特
Willmot (-33.72534, 150.79259) 威尔莫特
Holmview (-27.71631, 153.17045) 霍姆维尤
Graceville (-27.52201, 152.98222) 格雷斯维尔
Hemmant (-27.44776, 153.13174) 赫曼特
Woodrising (-32.98595, 151.60657) 伍德莱辛
Bunya (-27.3694, 152.94331) 邦亚
Hendra (-27.41775, 153.07025) 亨德拉
Middle Ridge (-27.60709, 151.96688) 中岭
Crace (-35.20282, 149.10736) 克雷斯
Kirwan (-19.30323, 146.72531) 柯尔温
McKail (-34.98533, 117.8301) 麦凯尔
Mons (50.45413, 3.95229) 蒙斯
Valley View (-34.83994, 138.66072) 山谷景
Beldon (-31.77466, 115.7627) 贝尔登
St James (-32.00004, 115.9098) 圣詹姆斯
Floreat (-31.93862, 115.79211) 弗洛里特
Braybrook (-37.78671, 144.85484) 布雷布鲁克
Hillbank (-34.73588, 138.68723) 希尔班克
Currimundi (-26.76925, 153.12237) 库里蒙迪
Jane Brook (-31.86368, 116.05039) 简溪
Highgate (51.56565, -0.15904) 海格特
Cairnlea (-37.75931, 144.78781) 凯恩利
California Gully (-36.72887, 144.26089) 加利福尼亚峡谷
Bundoora (-37.69825, 145.05967) 本杜拉
Hawker (-35.24707, 149.03666) 霍克
Parramatta Park (-16.92598, 145.76643) 帕拉玛塔公园
Kureelpa (-26.60674, 152.89097) 库里尔帕
Melville (40.79343, -73.41512) 梅尔维尔
Munster (41.56448, -87.51254) 明斯特
Sadadeen (-23.70399, 133.90043) 萨达丁
Burton (42.99947, -83.61634) 伯顿
Weston (26.10037, -80.39977) 韦斯顿
Patterson Lakes (-38.06934, 145.14327) 帕特森湖
Gilmore (-35.41994, 149.13481) 吉尔摩
Torrington (41.80065, -73.12122) 托灵顿
Cedar Creek (-27.86176, 153.19988) 雪松溪
Mountain Creek (-26.70278, 153.10133) 山溪
Wulagi (-12.38345, 130.89543) 乌拉吉
Cranbrook (49.49991, -115.76879) 克兰布鲁克
Millbridge (-33.30617, 115.735) 米尔布里奇
Marmion (-31.84158, 115.75692) 马米恩
Orana (-34.99601, 117.85925) 奥拉纳
Lammermoor (-23.16076, 150.76079) 拉默穆尔
Duffy (-35.33459, 149.03188) 达菲
Southern River (-32.10658, 115.95896) 南河
Joslin (-34.89967, 138.62655) 乔斯林
Mansfield Park (-34.85655, 138.55186) 曼斯菲尔德公园
Springfield (37.21533, -93.29824) 斯普林菲尔德
Taperoo (-34.80425, 138.49593) 塔佩鲁
