Bone (-9.8136, 124.46413) 博内
Neosob (-9.76056, 124.48161) 内奥索布
Oemollo (-9.7089, 124.2564) 奥莫洛
Talmanu (-9.7424, 124.2601) 塔尔马努
Tutem (-9.6553, 124.2654) 图特姆
Besnakeh (-9.6825, 124.2733) 贝斯纳克
Obesi (-9.7273, 124.276) 奥贝西
Beskolen (-9.6883, 124.2784) 贝斯科伦
Tobu (-9.6578, 124.2883) 托布
Bosen (-9.7187, 124.2883) 博森
Bestamuti (-9.637, 124.3011) 贝斯塔穆蒂
Bijeli (-9.6682, 124.3329) 比耶利
Laob (-9.698, 124.3495) 劳布
Toifae (-9.6994, 124.4268) 托伊法
Oeoh (-9.7366, 124.4852) 奥厄
Nifunaibesi (-9.6685, 124.4889) 尼富奈贝西
Polen (-9.687, 124.4804) 波伦
Nelabesa (-9.6268, 124.6068) 内拉贝萨
Oelet (-9.7075, 124.5329) 奥莱特
Biito (-9.6481, 124.5579) 比托
Kuaeno (-9.7084, 124.5803) 库埃诺
Oetua (-9.6841, 124.6051) 奥图阿
Oeekam (-9.7087, 124.5886) 奥埃卡姆
Pisan (-9.7364, 124.5975) 皮桑
Oesapi (-9.7181, 124.6103) 奥萨皮
Partikan (-6.907, 114.0174) 帕尔蒂坎
Jerukporot (-6.9403, 114.001) 杰鲁克波罗特
Sekolan (-6.947, 114.0376) 塞科兰
Kalerker (-6.9181, 114.0365) 卡勒克尔
Samburat (-6.9082, 114.0376) 桑布拉特
Tekay (-6.908, 114.0311) 特凯
Karangkeng (-6.9304, 114.0184) 卡朗肯
BunginBungin (-6.938, 114.082) 邦金邦金
Dungkek Laok (-6.9769, 114.0854) 邓克克劳克
Budagan (-6.9854, 114.0808) 布达甘
Daja Lorong (-6.9715, 114.0757) 达贾洛龙
Ginyang (-6.9706, 114.0613) 吉尼扬
Somorpenang (-6.9949, 114.0612) 索莫尔佩南
Patandun (-6.9969, 114.0524) 帕坦敦
Poja (-6.962, 114.0351) 波贾
Ngabungan (-6.9574, 114.0267) 恩加布甘
Jurangara (-6.9727, 114.0153) 朱朗加拉
Petong (-6.9735, 114.0254) 佩通
Polay (-6.9964, 114.0011) 波莱
Muesanaik (-9.5084, 124.3692) 穆埃萨奈克
Saenam (-9.5409, 124.3034) 萨埃南
Oesena (-9.5553, 124.2908) 奥塞纳
Fatufaun (-9.5517, 124.3173) 法图法恩
Eban (-9.5541, 124.3242) 埃班
Seoam (-9.555, 124.3307) 塞奥阿姆
Suanae (-9.5644, 124.3333) 苏阿奈
Oenaik (-9.5701, 124.3556) 奥奈克
Binab (-9.5834, 124.2896) 比纳布
Oenam (-9.5953, 124.3317) 奥南
Nunsena (-9.5188, 124.4488) 努恩塞纳
Bijaepasu (-9.5281, 124.4252) 比贾埃帕苏
Metkono (-9.5392, 124.413) 梅特科诺
Oebaki (-9.5541, 124.385) 奥巴基
Fatumuti (-9.5682, 124.4853) 法图穆蒂
Pakaebena (-9.5739, 124.4933) 帕卡埃贝纳
Kiuola (-9.5889, 124.458) 基乌奥拉
Galtek (-7.0728, 114.0294) 加尔特克
Taen Tengah (-9.6406, 123.6832) 塔恩腾加
Kasmabaki (-9.67, 123.6839) 卡斯马巴基
Kaem (-9.7732, 123.8661) 卡姆
Letkole (-9.6853, 123.8044) 勒特科勒
Taimaman (-9.8076, 123.9023) 泰马曼
Meobesi (-9.8458, 123.9827) 梅奥贝西
Bitobe (-9.6331, 123.987) 比托贝
Fatupael (-9.7054, 123.9555) 法图帕尔
Leloboko (-9.7008, 123.9288) 勒洛博科
Oelbanu (-9.7057, 123.8993) 奥尔巴努
Anoek (-9.7172, 123.9899) 阿诺克
Fatumetan (-9.7403, 123.952) 法图梅坦
Hueknutu (-9.8576, 124.0216) 休克努图
Binafun (-9.6617, 124.0356) 比纳芬
Oenenas (-9.6764, 124.0118) 奥内纳斯
Huelkail (-9.6239, 124.0019) 休尔凯尔
Nonggunong (-7.0731, 114.349) 农古农
Tanamera (-7.0769, 114.3371) 塔纳梅拉
Pocok (-7.0979, 114.3642) 波科克
Klebu (-7.1371, 114.3054) 克勒布
Guder Lao (-7.1396, 114.3272) 古德尔劳
Kengkang (-7.1373, 114.3425) 肯康
Koatas Lao (-7.1432, 114.3603) 科阿塔斯劳
Prengbatu (-7.1454, 114.3443) 普伦巴图
Jambuir Timur (-7.1532, 114.3304) 贾姆布尔蒂穆尔
Rokoro (-7.1609, 114.3431) 罗科罗
Fatumnasi (-9.6511, 124.2218) 法图纳西
Nifu (-9.6711, 124.1503) 尼富
Oehala (-9.6821, 124.2478) 奥哈拉
Liliana (-9.6976, 124.1397) 莉莉安娜
Nefokoko (-9.7249, 124.1532) 内福科科
Huineno (-9.7372, 124.2198) 惠内诺
Pabungkon Daja (-7.1551, 114.3929) 帕邦孔达贾
Nenas (-9.5827, 124.2047) 内纳斯
Alasmalang (-7.139, 114.5895) 阿拉斯马朗
Timurembung (-7.1497, 114.6131) 蒂穆伦邦
Poteran (-7.1523, 114.6001) 波特兰
Karangnangka (-7.1517, 114.5703) 卡朗南卡
